W,Re_T,Im_T
0.1615E+04,0.5110E-06,0.1626E-06
0.1620E+04,0.3452E-05,0.1104E-05
0.1625E+04,0.9944E-05,0.3203E-05
0.1630E+04,0.2068E-04,0.6721E-05
0.1635E+04,0.3615E-04,0.1189E-04
0.1640E+04,0.5668E-04,0.1891E-04
0.1645E+04,0.8250E-04,0.2800E-04
0.1650E+04,0.1137E-03,0.3933E-04
0.1655E+04,0.1503E-03,0.5308E-04
0.1660E+04,0.1923E-03,0.6936E-04
0.1665E+04,0.2394E-03,0.8825E-04
0.1670E+04,0.2915E-03,0.1097E-03
0.1675E+04,0.3484E-03,0.1338E-03
0.1680E+04,0.4099E-03,0.1603E-03
0.1685E+04,0.4758E-03,0.1892E-03
0.1690E+04,0.5459E-03,0.2202E-03
0.1695E+04,0.6200E-03,0.2533E-03
0.1700E+04,0.6981E-03,0.2883E-03
0.1705E+04,0.7801E-03,0.3250E-03
0.1710E+04,0.8657E-03,0.3634E-03
0.1715E+04,0.9550E-03,0.4032E-03
0.1720E+04,0.1048E-02,0.4445E-03
0.1725E+04,0.1144E-02,0.4871E-03
0.1730E+04,0.1244E-02,0.5310E-03
0.1735E+04,0.1347E-02,0.5760E-03
0.1740E+04,0.1453E-02,0.6220E-03
0.1745E+04,0.1562E-02,0.6691E-03
0.1750E+04,0.1674E-02,0.7171E-03
0.1755E+04,0.1789E-02,0.7659E-03
0.1760E+04,0.1907E-02,0.8156E-03
0.1765E+04,0.2028E-02,0.8660E-03
0.1770E+04,0.2152E-02,0.9171E-03
0.1775E+04,0.2279E-02,0.9689E-03
0.1780E+04,0.2408E-02,0.1021E-02
0.1785E+04,0.2540E-02,0.1074E-02
0.1790E+04,0.2675E-02,0.1128E-02
0.1795E+04,0.2813E-02,0.1182E-02
0.1800E+04,0.2953E-02,0.1237E-02
0.1805E+04,0.3096E-02,0.1292E-02
0.1810E+04,0.3241E-02,0.1348E-02
0.1815E+04,0.3389E-02,0.1404E-02
0.1820E+04,0.3540E-02,0.1461E-02
0.1825E+04,0.3693E-02,0.1518E-02
0.1830E+04,0.3849E-02,0.1576E-02
0.1835E+04,0.4007E-02,0.1635E-02
0.1840E+04,0.4167E-02,0.1694E-02
0.1845E+04,0.4330E-02,0.1754E-02
0.1850E+04,0.4495E-02,0.1814E-02
0.1855E+04,0.4663E-02,0.1875E-02
0.1860E+04,0.4832E-02,0.1937E-02
0.1865E+04,0.5004E-02,0.2000E-02
0.1870E+04,0.5178E-02,0.2063E-02
0.1875E+04,0.5355E-02,0.2128E-02
0.1880E+04,0.5533E-02,0.2193E-02
0.1885E+04,0.5713E-02,0.2259E-02
0.1890E+04,0.5896E-02,0.2326E-02
0.1895E+04,0.6080E-02,0.2394E-02
0.1900E+04,0.6266E-02,0.2463E-02
0.1905E+04,0.6455E-02,0.2533E-02
0.1910E+04,0.6644E-02,0.2604E-02
0.1915E+04,0.6836E-02,0.2676E-02
0.1920E+04,0.7029E-02,0.2749E-02
0.1925E+04,0.7225E-02,0.2824E-02
0.1930E+04,0.7421E-02,0.2900E-02
0.1935E+04,0.7620E-02,0.2977E-02
0.1940E+04,0.7820E-02,0.3056E-02
0.1945E+04,0.8022E-02,0.3136E-02
0.1950E+04,0.8225E-02,0.3218E-02
0.1955E+04,0.8429E-02,0.3302E-02
0.1960E+04,0.8636E-02,0.3387E-02
0.1965E+04,0.8843E-02,0.3474E-02
0.1970E+04,0.9052E-02,0.3563E-02
0.1975E+04,0.9262E-02,0.3655E-02
0.1980E+04,0.9474E-02,0.3748E-02
0.1985E+04,0.9686E-02,0.3844E-02
0.1990E+04,0.9899E-02,0.3943E-02
0.1995E+04,0.1011E-01,0.4043E-02
0.2000E+04,0.1033E-01,0.4147E-02
0.2005E+04,0.1054E-01,0.4253E-02
0.2010E+04,0.1076E-01,0.4362E-02
0.2015E+04,0.1098E-01,0.4473E-02
0.2020E+04,0.1119E-01,0.4588E-02
0.2025E+04,0.1141E-01,0.4705E-02
0.2030E+04,0.1163E-01,0.4826E-02
0.2035E+04,0.1184E-01,0.4949E-02
0.2040E+04,0.1206E-01,0.5076E-02
0.2045E+04,0.1227E-01,0.5205E-02
0.2050E+04,0.1249E-01,0.5337E-02
0.2055E+04,0.1270E-01,0.5473E-02
0.2060E+04,0.1291E-01,0.5611E-02
0.2065E+04,0.1312E-01,0.5752E-02
0.2070E+04,0.1333E-01,0.5896E-02
0.2075E+04,0.1354E-01,0.6044E-02
0.2080E+04,0.1375E-01,0.6194E-02
0.2085E+04,0.1395E-01,0.6346E-02
0.2090E+04,0.1415E-01,0.6502E-02
0.2095E+04,0.1435E-01,0.6660E-02
0.2100E+04,0.1455E-01,0.6820E-02
0.2105E+04,0.1475E-01,0.6983E-02
0.2110E+04,0.1494E-01,0.7149E-02
0.2115E+04,0.1513E-01,0.7317E-02
0.2120E+04,0.1532E-01,0.7487E-02
0.2125E+04,0.1550E-01,0.7659E-02
0.2130E+04,0.1568E-01,0.7834E-02
0.2135E+04,0.1586E-01,0.8010E-02
0.2140E+04,0.1604E-01,0.8187E-02
0.2145E+04,0.1621E-01,0.8366E-02
0.2150E+04,0.1637E-01,0.8546E-02
0.2155E+04,0.1653E-01,0.8727E-02
0.2160E+04,0.1669E-01,0.8908E-02
0.2165E+04,0.1685E-01,0.9090E-02
0.2170E+04,0.1700E-01,0.9271E-02
0.2175E+04,0.1715E-01,0.9452E-02
0.2180E+04,0.1729E-01,0.9632E-02
0.2185E+04,0.1743E-01,0.9812E-02
0.2190E+04,0.1757E-01,0.9990E-02
0.2195E+04,0.1770E-01,0.1017E-01
0.2200E+04,0.1784E-01,0.1034E-01
