W,Re_T,Im_T
0.1615E+04,0.1304E-07,0.5931E-08
0.1620E+04,0.1884E-06,0.9391E-07
0.1625E+04,0.8215E-06,0.4507E-06
0.1630E+04,0.2256E-05,0.1369E-05
0.1635E+04,0.4822E-05,0.3254E-05
0.1640E+04,0.8770E-05,0.6618E-05
0.1645E+04,0.1421E-04,0.1206E-04
0.1650E+04,0.2103E-04,0.2020E-04
0.1655E+04,0.2889E-04,0.3160E-04
0.1660E+04,0.3721E-04,0.4662E-04
0.1665E+04,0.4529E-04,0.6532E-04
0.1670E+04,0.5241E-04,0.8742E-04
0.1675E+04,0.5804E-04,0.1123E-03
0.1680E+04,0.6193E-04,0.1392E-03
0.1685E+04,0.6415E-04,0.1673E-03
0.1690E+04,0.6505E-04,0.1959E-03
0.1695E+04,0.6517E-04,0.2244E-03
0.1700E+04,0.6510E-04,0.2524E-03
0.1705E+04,0.6542E-04,0.2800E-03
0.1710E+04,0.6667E-04,0.3069E-03
0.1715E+04,0.6928E-04,0.3335E-03
0.1720E+04,0.7360E-04,0.3597E-03
0.1725E+04,0.7989E-04,0.3858E-03
0.1730E+04,0.8834E-04,0.4120E-03
0.1735E+04,0.9910E-04,0.4384E-03
0.1740E+04,0.1123E-03,0.4652E-03
0.1745E+04,0.1279E-03,0.4925E-03
0.1750E+04,0.1460E-03,0.5204E-03
0.1755E+04,0.1667E-03,0.5489E-03
0.1760E+04,0.1899E-03,0.5783E-03
0.1765E+04,0.2157E-03,0.6085E-03
0.1770E+04,0.2439E-03,0.6396E-03
0.1775E+04,0.2747E-03,0.6716E-03
0.1780E+04,0.3080E-03,0.7045E-03
0.1785E+04,0.3438E-03,0.7384E-03
0.1790E+04,0.3821E-03,0.7732E-03
0.1795E+04,0.4229E-03,0.8089E-03
0.1800E+04,0.4662E-03,0.8456E-03
0.1805E+04,0.5119E-03,0.8831E-03
0.1810E+04,0.5601E-03,0.9216E-03
0.1815E+04,0.6108E-03,0.9610E-03
0.1820E+04,0.6640E-03,0.1001E-02
0.1825E+04,0.7196E-03,0.1042E-02
0.1830E+04,0.7777E-03,0.1084E-02
0.1835E+04,0.8383E-03,0.1127E-02
0.1840E+04,0.9013E-03,0.1171E-02
0.1845E+04,0.9669E-03,0.1215E-02
0.1850E+04,0.1035E-02,0.1261E-02
0.1855E+04,0.1105E-02,0.1307E-02
0.1860E+04,0.1178E-02,0.1354E-02
0.1865E+04,0.1254E-02,0.1402E-02
0.1870E+04,0.1332E-02,0.1451E-02
0.1875E+04,0.1412E-02,0.1501E-02
0.1880E+04,0.1495E-02,0.1551E-02
0.1885E+04,0.1580E-02,0.1603E-02
0.1890E+04,0.1667E-02,0.1656E-02
0.1895E+04,0.1757E-02,0.1709E-02
0.1900E+04,0.1849E-02,0.1764E-02
0.1905E+04,0.1944E-02,0.1819E-02
0.1910E+04,0.2040E-02,0.1876E-02
0.1915E+04,0.2139E-02,0.1934E-02
0.1920E+04,0.2240E-02,0.1992E-02
0.1925E+04,0.2344E-02,0.2052E-02
0.1930E+04,0.2449E-02,0.2113E-02
0.1935E+04,0.2557E-02,0.2176E-02
0.1940E+04,0.2667E-02,0.2239E-02
0.1945E+04,0.2779E-02,0.2304E-02
0.1950E+04,0.2892E-02,0.2370E-02
0.1955E+04,0.3008E-02,0.2437E-02
0.1960E+04,0.3126E-02,0.2505E-02
0.1965E+04,0.3245E-02,0.2575E-02
0.1970E+04,0.3367E-02,0.2646E-02
0.1975E+04,0.3490E-02,0.2719E-02
0.1980E+04,0.3615E-02,0.2793E-02
0.1985E+04,0.3741E-02,0.2868E-02
0.1990E+04,0.3870E-02,0.2944E-02
0.1995E+04,0.4000E-02,0.3022E-02
0.2000E+04,0.4131E-02,0.3101E-02
0.2005E+04,0.4264E-02,0.3181E-02
0.2010E+04,0.4399E-02,0.3263E-02
0.2015E+04,0.4535E-02,0.3346E-02
0.2020E+04,0.4673E-02,0.3430E-02
0.2025E+04,0.4812E-02,0.3515E-02
0.2030E+04,0.4953E-02,0.3602E-02
0.2035E+04,0.5095E-02,0.3690E-02
0.2040E+04,0.5239E-02,0.3778E-02
0.2045E+04,0.5384E-02,0.3868E-02
0.2050E+04,0.5531E-02,0.3960E-02
0.2055E+04,0.5680E-02,0.4052E-02
0.2060E+04,0.5830E-02,0.4145E-02
0.2065E+04,0.5983E-02,0.4240E-02
0.2070E+04,0.6136E-02,0.4336E-02
0.2075E+04,0.6292E-02,0.4433E-02
0.2080E+04,0.6450E-02,0.4532E-02
0.2085E+04,0.6609E-02,0.4632E-02
0.2090E+04,0.6770E-02,0.4734E-02
0.2095E+04,0.6934E-02,0.4837E-02
0.2100E+04,0.7099E-02,0.4942E-02
0.2105E+04,0.7266E-02,0.5048E-02
0.2110E+04,0.7435E-02,0.5156E-02
0.2115E+04,0.7606E-02,0.5267E-02
0.2120E+04,0.7778E-02,0.5379E-02
0.2125E+04,0.7953E-02,0.5493E-02
0.2130E+04,0.8129E-02,0.5610E-02
0.2135E+04,0.8307E-02,0.5729E-02
0.2140E+04,0.8487E-02,0.5850E-02
0.2145E+04,0.8668E-02,0.5974E-02
0.2150E+04,0.8851E-02,0.6100E-02
0.2155E+04,0.9035E-02,0.6228E-02
0.2160E+04,0.9221E-02,0.6360E-02
0.2165E+04,0.9407E-02,0.6494E-02
0.2170E+04,0.9595E-02,0.6630E-02
0.2175E+04,0.9784E-02,0.6769E-02
0.2180E+04,0.9974E-02,0.6911E-02
0.2185E+04,0.1017E-01,0.7056E-02
0.2190E+04,0.1036E-01,0.7203E-02
0.2195E+04,0.1055E-01,0.7353E-02
0.2200E+04,0.1074E-01,0.7505E-02
