W,Re_T,Im_T
0.1615E+04,0.2039E-10,0.1488E-11
0.1620E+04,0.6363E-09,0.4684E-10
0.1625E+04,0.4278E-08,0.3169E-09
0.1630E+04,0.1600E-07,0.1190E-08
0.1635E+04,0.4378E-07,0.3264E-08
0.1640E+04,0.9863E-07,0.7362E-08
0.1645E+04,0.1946E-06,0.1453E-07
0.1650E+04,0.3485E-06,0.2602E-07
0.1655E+04,0.5802E-06,0.4331E-07
0.1660E+04,0.9120E-06,0.6807E-07
0.1665E+04,0.1369E-05,0.1022E-06
0.1670E+04,0.1977E-05,0.1477E-06
0.1675E+04,0.2767E-05,0.2071E-06
0.1680E+04,0.3768E-05,0.2827E-06
0.1685E+04,0.5014E-05,0.3774E-06
0.1690E+04,0.6538E-05,0.4943E-06
0.1695E+04,0.8377E-05,0.6366E-06
0.1700E+04,0.1057E-04,0.8079E-06
0.1705E+04,0.1314E-04,0.1012E-05
0.1710E+04,0.1615E-04,0.1253E-05
0.1715E+04,0.1962E-04,0.1535E-05
0.1720E+04,0.2359E-04,0.1862E-05
0.1725E+04,0.2811E-04,0.2240E-05
0.1730E+04,0.3322E-04,0.2674E-05
0.1735E+04,0.3896E-04,0.3167E-05
0.1740E+04,0.4537E-04,0.3726E-05
0.1745E+04,0.5248E-04,0.4356E-05
0.1750E+04,0.6036E-04,0.5062E-05
0.1755E+04,0.6902E-04,0.5850E-05
0.1760E+04,0.7853E-04,0.6726E-05
0.1765E+04,0.8891E-04,0.7696E-05
0.1770E+04,0.1002E-03,0.8766E-05
0.1775E+04,0.1125E-03,0.9944E-05
0.1780E+04,0.1258E-03,0.1124E-04
0.1785E+04,0.1401E-03,0.1265E-04
0.1790E+04,0.1555E-03,0.1419E-04
0.1795E+04,0.1721E-03,0.1587E-04
0.1800E+04,0.1898E-03,0.1771E-04
0.1805E+04,0.2087E-03,0.1970E-04
0.1810E+04,0.2289E-03,0.2186E-04
0.1815E+04,0.2504E-03,0.2421E-04
0.1820E+04,0.2732E-03,0.2676E-04
0.1825E+04,0.2974E-03,0.2952E-04
0.1830E+04,0.3230E-03,0.3252E-04
0.1835E+04,0.3500E-03,0.3577E-04
0.1840E+04,0.3785E-03,0.3929E-04
0.1845E+04,0.4086E-03,0.4310E-04
0.1850E+04,0.4401E-03,0.4723E-04
0.1855E+04,0.4733E-03,0.5171E-04
0.1860E+04,0.5081E-03,0.5656E-04
0.1865E+04,0.5445E-03,0.6180E-04
0.1870E+04,0.5826E-03,0.6749E-04
0.1875E+04,0.6224E-03,0.7363E-04
0.1880E+04,0.6639E-03,0.8028E-04
0.1885E+04,0.7071E-03,0.8747E-04
0.1890E+04,0.7522E-03,0.9524E-04
0.1895E+04,0.7989E-03,0.1036E-03
0.1900E+04,0.8476E-03,0.1127E-03
0.1905E+04,0.8980E-03,0.1224E-03
0.1910E+04,0.9503E-03,0.1330E-03
0.1915E+04,0.1004E-02,0.1443E-03
0.1920E+04,0.1060E-02,0.1565E-03
0.1925E+04,0.1118E-02,0.1696E-03
0.1930E+04,0.1178E-02,0.1837E-03
0.1935E+04,0.1240E-02,0.1988E-03
0.1940E+04,0.1303E-02,0.2151E-03
0.1945E+04,0.1368E-02,0.2325E-03
0.1950E+04,0.1436E-02,0.2511E-03
0.1955E+04,0.1505E-02,0.2710E-03
0.1960E+04,0.1576E-02,0.2923E-03
0.1965E+04,0.1649E-02,0.3151E-03
0.1970E+04,0.1723E-02,0.3394E-03
0.1975E+04,0.1800E-02,0.3653E-03
0.1980E+04,0.1878E-02,0.3928E-03
0.1985E+04,0.1958E-02,0.4222E-03
0.1990E+04,0.2040E-02,0.4534E-03
0.1995E+04,0.2124E-02,0.4866E-03
0.2000E+04,0.2209E-02,0.5219E-03
0.2005E+04,0.2296E-02,0.5594E-03
0.2010E+04,0.2384E-02,0.5992E-03
0.2015E+04,0.2474E-02,0.6415E-03
0.2020E+04,0.2566E-02,0.6864E-03
0.2025E+04,0.2658E-02,0.7340E-03
0.2030E+04,0.2753E-02,0.7845E-03
0.2035E+04,0.2848E-02,0.8380E-03
0.2040E+04,0.2944E-02,0.8948E-03
0.2045E+04,0.3041E-02,0.9550E-03
0.2050E+04,0.3138E-02,0.1019E-02
0.2055E+04,0.3236E-02,0.1086E-02
0.2060E+04,0.3334E-02,0.1157E-02
0.2065E+04,0.3432E-02,0.1233E-02
0.2070E+04,0.3529E-02,0.1312E-02
0.2075E+04,0.3625E-02,0.1395E-02
0.2080E+04,0.3720E-02,0.1483E-02
0.2085E+04,0.3812E-02,0.1574E-02
0.2090E+04,0.3903E-02,0.1670E-02
0.2095E+04,0.3991E-02,0.1769E-02
0.2100E+04,0.4075E-02,0.1872E-02
0.2105E+04,0.4156E-02,0.1978E-02
0.2110E+04,0.4233E-02,0.2086E-02
0.2115E+04,0.4306E-02,0.2197E-02
0.2120E+04,0.4374E-02,0.2310E-02
0.2125E+04,0.4438E-02,0.2424E-02
0.2130E+04,0.4497E-02,0.2539E-02
0.2135E+04,0.4551E-02,0.2653E-02
0.2140E+04,0.4601E-02,0.2768E-02
0.2145E+04,0.4647E-02,0.2881E-02
0.2150E+04,0.4688E-02,0.2993E-02
0.2155E+04,0.4726E-02,0.3103E-02
0.2160E+04,0.4761E-02,0.3211E-02
0.2165E+04,0.4793E-02,0.3317E-02
0.2170E+04,0.4823E-02,0.3420E-02
0.2175E+04,0.4850E-02,0.3521E-02
0.2180E+04,0.4877E-02,0.3620E-02
0.2185E+04,0.4902E-02,0.3717E-02
0.2190E+04,0.4927E-02,0.3811E-02
0.2195E+04,0.4951E-02,0.3904E-02
0.2200E+04,0.4974E-02,0.3995E-02
