W,Re_T,Im_T
0.1615E+04,0.6838E-13,0.1519E-13
0.1620E+04,0.1269E-10,0.1039E-11
0.1625E+04,0.1326E-09,0.1088E-10
0.1630E+04,0.6622E-09,0.5560E-10
0.1635E+04,0.2251E-08,0.1940E-09
0.1640E+04,0.6030E-08,0.5339E-09
0.1645E+04,0.1373E-07,0.1250E-08
0.1650E+04,0.2778E-07,0.2600E-08
0.1655E+04,0.5141E-07,0.4951E-08
0.1660E+04,0.8868E-07,0.8790E-08
0.1665E+04,0.1446E-06,0.1475E-07
0.1670E+04,0.2250E-06,0.2364E-07
0.1675E+04,0.3367E-06,0.3645E-07
0.1680E+04,0.4877E-06,0.5438E-07
0.1685E+04,0.6866E-06,0.7884E-07
0.1690E+04,0.9431E-06,0.1115E-06
0.1695E+04,0.1268E-05,0.1543E-06
0.1700E+04,0.1673E-05,0.2094E-06
0.1705E+04,0.2170E-05,0.2793E-06
0.1710E+04,0.2772E-05,0.3666E-06
0.1715E+04,0.3494E-05,0.4743E-06
0.1720E+04,0.4349E-05,0.6055E-06
0.1725E+04,0.5355E-05,0.7639E-06
0.1730E+04,0.6526E-05,0.9529E-06
0.1735E+04,0.7879E-05,0.1176E-05
0.1740E+04,0.9432E-05,0.1438E-05
0.1745E+04,0.1120E-04,0.1742E-05
0.1750E+04,0.1321E-04,0.2093E-05
0.1755E+04,0.1547E-04,0.2495E-05
0.1760E+04,0.1800E-04,0.2952E-05
0.1765E+04,0.2082E-04,0.3468E-05
0.1770E+04,0.2396E-04,0.4049E-05
0.1775E+04,0.2742E-04,0.4697E-05
0.1780E+04,0.3123E-04,0.5418E-05
0.1785E+04,0.3542E-04,0.6215E-05
0.1790E+04,0.3999E-04,0.7094E-05
0.1795E+04,0.4497E-04,0.8058E-05
0.1800E+04,0.5038E-04,0.9113E-05
0.1805E+04,0.5624E-04,0.1026E-04
0.1810E+04,0.6256E-04,0.1151E-04
0.1815E+04,0.6937E-04,0.1286E-04
0.1820E+04,0.7669E-04,0.1432E-04
0.1825E+04,0.8453E-04,0.1589E-04
0.1830E+04,0.9291E-04,0.1758E-04
0.1835E+04,0.1018E-03,0.1939E-04
0.1840E+04,0.1114E-03,0.2133E-04
0.1845E+04,0.1215E-03,0.2340E-04
0.1850E+04,0.1322E-03,0.2560E-04
0.1855E+04,0.1435E-03,0.2795E-04
0.1860E+04,0.1555E-03,0.3045E-04
0.1865E+04,0.1681E-03,0.3310E-04
0.1870E+04,0.1814E-03,0.3591E-04
0.1875E+04,0.1954E-03,0.3889E-04
0.1880E+04,0.2101E-03,0.4203E-04
0.1885E+04,0.2255E-03,0.4535E-04
0.1890E+04,0.2416E-03,0.4885E-04
0.1895E+04,0.2584E-03,0.5253E-04
0.1900E+04,0.2760E-03,0.5640E-04
0.1905E+04,0.2944E-03,0.6047E-04
0.1910E+04,0.3135E-03,0.6474E-04
0.1915E+04,0.3334E-03,0.6922E-04
0.1920E+04,0.3541E-03,0.7391E-04
0.1925E+04,0.3755E-03,0.7881E-04
0.1930E+04,0.3978E-03,0.8393E-04
0.1935E+04,0.4209E-03,0.8928E-04
0.1940E+04,0.4448E-03,0.9486E-04
0.1945E+04,0.4696E-03,0.1007E-03
0.1950E+04,0.4952E-03,0.1067E-03
0.1955E+04,0.5217E-03,0.1130E-03
0.1960E+04,0.5490E-03,0.1196E-03
0.1965E+04,0.5772E-03,0.1263E-03
0.1970E+04,0.6063E-03,0.1334E-03
0.1975E+04,0.6362E-03,0.1407E-03
0.1980E+04,0.6670E-03,0.1482E-03
0.1985E+04,0.6988E-03,0.1561E-03
0.1990E+04,0.7314E-03,0.1642E-03
0.1995E+04,0.7649E-03,0.1725E-03
0.2000E+04,0.7994E-03,0.1812E-03
0.2005E+04,0.8347E-03,0.1901E-03
0.2010E+04,0.8710E-03,0.1994E-03
0.2015E+04,0.9083E-03,0.2089E-03
