W,Re_T,Im_T
0.1615E+04,0.2580E-03,0.3361E-04
0.1620E+04,0.7982E-03,0.1118E-03
0.1625E+04,0.1482E-02,0.2237E-03
0.1630E+04,0.2263E-02,0.3690E-03
0.1635E+04,0.3116E-02,0.5499E-03
0.1640E+04,0.4022E-02,0.7694E-03
0.1645E+04,0.4968E-02,0.1032E-02
0.1650E+04,0.5942E-02,0.1341E-02
0.1655E+04,0.6932E-02,0.1702E-02
0.1660E+04,0.7928E-02,0.2120E-02
0.1665E+04,0.8917E-02,0.2599E-02
0.1670E+04,0.9888E-02,0.3140E-02
0.1675E+04,0.1083E-01,0.3746E-02
0.1680E+04,0.1172E-01,0.4414E-02
0.1685E+04,0.1255E-01,0.5136E-02
0.1690E+04,0.1332E-01,0.5908E-02
0.1695E+04,0.1399E-01,0.6718E-02
0.1700E+04,0.1458E-01,0.7546E-02
0.1705E+04,0.1507E-01,0.8372E-02
0.1710E+04,0.1549E-01,0.9182E-02
0.1715E+04,0.1582E-01,0.9965E-02
0.1720E+04,0.1610E-01,0.1071E-01
0.1725E+04,0.1633E-01,0.1142E-01
0.1730E+04,0.1652E-01,0.1209E-01
0.1735E+04,0.1668E-01,0.1273E-01
0.1740E+04,0.1682E-01,0.1333E-01
0.1745E+04,0.1694E-01,0.1391E-01
0.1750E+04,0.1704E-01,0.1447E-01
0.1755E+04,0.1713E-01,0.1501E-01
0.1760E+04,0.1720E-01,0.1553E-01
0.1765E+04,0.1725E-01,0.1604E-01
0.1770E+04,0.1729E-01,0.1654E-01
0.1775E+04,0.1731E-01,0.1702E-01
0.1780E+04,0.1732E-01,0.1750E-01
0.1785E+04,0.1731E-01,0.1796E-01
0.1790E+04,0.1728E-01,0.1841E-01
0.1795E+04,0.1724E-01,0.1884E-01
0.1800E+04,0.1719E-01,0.1926E-01
0.1805E+04,0.1712E-01,0.1967E-01
0.1810E+04,0.1704E-01,0.2007E-01
0.1815E+04,0.1695E-01,0.2045E-01
0.1820E+04,0.1684E-01,0.2082E-01
0.1825E+04,0.1673E-01,0.2117E-01
0.1830E+04,0.1660E-01,0.2151E-01
0.1835E+04,0.1646E-01,0.2183E-01
0.1840E+04,0.1632E-01,0.2214E-01
0.1845E+04,0.1616E-01,0.2243E-01
0.1850E+04,0.1600E-01,0.2270E-01
0.1855E+04,0.1583E-01,0.2296E-01
0.1860E+04,0.1566E-01,0.2320E-01
0.1865E+04,0.1548E-01,0.2341E-01
0.1870E+04,0.1530E-01,0.2362E-01
0.1875E+04,0.1512E-01,0.2380E-01
0.1880E+04,0.1495E-01,0.2396E-01
0.1885E+04,0.1478E-01,0.2410E-01
0.1890E+04,0.1461E-01,0.2423E-01
0.1895E+04,0.1445E-01,0.2434E-01
0.1900E+04,0.1430E-01,0.2443E-01
0.1905E+04,0.1416E-01,0.2451E-01
0.1910E+04,0.1403E-01,0.2457E-01
0.1915E+04,0.1392E-01,0.2463E-01
0.1920E+04,0.1381E-01,0.2467E-01
0.1925E+04,0.1373E-01,0.2472E-01
0.1930E+04,0.1365E-01,0.2475E-01
0.1935E+04,0.1359E-01,0.2478E-01
0.1940E+04,0.1355E-01,0.2481E-01
0.1945E+04,0.1351E-01,0.2484E-01
0.1950E+04,0.1349E-01,0.2487E-01
0.1955E+04,0.1348E-01,0.2490E-01
0.1960E+04,0.1348E-01,0.2494E-01
0.1965E+04,0.1349E-01,0.2498E-01
0.1970E+04,0.1350E-01,0.2503E-01
0.1975E+04,0.1352E-01,0.2508E-01
0.1980E+04,0.1354E-01,0.2514E-01
0.1985E+04,0.1357E-01,0.2520E-01
0.1990E+04,0.1361E-01,0.2527E-01
0.1995E+04,0.1364E-01,0.2535E-01
0.2000E+04,0.1367E-01,0.2543E-01
0.2005E+04,0.1371E-01,0.2551E-01
0.2010E+04,0.1375E-01,0.2560E-01
0.2015E+04,0.1378E-01,0.2570E-01
0.2020E+04,0.1381E-01,0.2579E-01
0.2025E+04,0.1384E-01,0.2589E-01
0.2030E+04,0.1386E-01,0.2599E-01
0.2035E+04,0.1389E-01,0.2610E-01
0.2040E+04,0.1391E-01,0.2620E-01
0.2045E+04,0.1392E-01,0.2630E-01
0.2050E+04,0.1394E-01,0.2641E-01
0.2055E+04,0.1395E-01,0.2651E-01
0.2060E+04,0.1395E-01,0.2660E-01
0.2065E+04,0.1396E-01,0.2670E-01
0.2070E+04,0.1396E-01,0.2679E-01
0.2075E+04,0.1396E-01,0.2688E-01
0.2080E+04,0.1396E-01,0.2696E-01
0.2085E+04,0.1397E-01,0.2704E-01
0.2090E+04,0.1397E-01,0.2711E-01
0.2095E+04,0.1397E-01,0.2718E-01
0.2100E+04,0.1398E-01,0.2725E-01
0.2105E+04,0.1398E-01,0.2731E-01
0.2110E+04,0.1399E-01,0.2736E-01
0.2115E+04,0.1401E-01,0.2742E-01
0.2120E+04,0.1403E-01,0.2747E-01
0.2125E+04,0.1405E-01,0.2752E-01
0.2130E+04,0.1407E-01,0.2756E-01
0.2135E+04,0.1410E-01,0.2761E-01
0.2140E+04,0.1414E-01,0.2765E-01
0.2145E+04,0.1417E-01,0.2770E-01
0.2150E+04,0.1421E-01,0.2774E-01
0.2155E+04,0.1426E-01,0.2778E-01
0.2160E+04,0.1430E-01,0.2783E-01
0.2165E+04,0.1435E-01,0.2787E-01
0.2170E+04,0.1440E-01,0.2792E-01
0.2175E+04,0.1445E-01,0.2796E-01
0.2180E+04,0.1451E-01,0.2800E-01
0.2185E+04,0.1456E-01,0.2805E-01
0.2190E+04,0.1462E-01,0.2809E-01
0.2195E+04,0.1468E-01,0.2814E-01
0.2200E+04,0.1474E-01,0.2818E-01
