W,Re_T,Im_T
0.1615E+04,-0.2198E-02,0.1358E-01
0.1620E+04,-0.2939E-02,0.1942E-01
0.1625E+04,-0.3224E-02,0.2350E-01
0.1630E+04,-0.3194E-02,0.2674E-01
0.1635E+04,-0.2905E-02,0.2951E-01
0.1640E+04,-0.2403E-02,0.3201E-01
0.1645E+04,-0.1736E-02,0.3439E-01
0.1650E+04,-0.9577E-03,0.3674E-01
0.1655E+04,-0.1192E-03,0.3913E-01
0.1660E+04,0.7334E-03,0.4159E-01
0.1665E+04,0.1568E-02,0.4414E-01
0.1670E+04,0.2384E-02,0.4677E-01
0.1675E+04,0.3275E-02,0.4949E-01
0.1680E+04,0.4677E-02,0.5245E-01
0.1685E+04,0.7320E-02,0.5760E-01
0.1690E+04,0.2475E-02,0.6826E-01
0.1695E+04,-0.4109E-02,0.6853E-01
0.1700E+04,-0.7189E-02,0.6802E-01
0.1705E+04,-0.9220E-02,0.6788E-01
0.1710E+04,-0.1083E-01,0.6786E-01
0.1715E+04,-0.1218E-01,0.6790E-01
0.1720E+04,-0.1336E-01,0.6796E-01
0.1725E+04,-0.1441E-01,0.6802E-01
0.1730E+04,-0.1538E-01,0.6808E-01
0.1735E+04,-0.1629E-01,0.6812E-01
0.1740E+04,-0.1714E-01,0.6814E-01
0.1745E+04,-0.1795E-01,0.6814E-01
0.1750E+04,-0.1872E-01,0.6811E-01
0.1755E+04,-0.1946E-01,0.6804E-01
0.1760E+04,-0.2017E-01,0.6794E-01
0.1765E+04,-0.2085E-01,0.6781E-01
0.1770E+04,-0.2149E-01,0.6764E-01
0.1775E+04,-0.2211E-01,0.6745E-01
0.1780E+04,-0.2270E-01,0.6721E-01
0.1785E+04,-0.2325E-01,0.6695E-01
0.1790E+04,-0.2378E-01,0.6666E-01
0.1795E+04,-0.2426E-01,0.6635E-01
0.1800E+04,-0.2472E-01,0.6600E-01
0.1805E+04,-0.2513E-01,0.6564E-01
0.1810E+04,-0.2552E-01,0.6527E-01
0.1815E+04,-0.2586E-01,0.6488E-01
0.1820E+04,-0.2617E-01,0.6447E-01
0.1825E+04,-0.2645E-01,0.6406E-01
0.1830E+04,-0.2670E-01,0.6365E-01
0.1835E+04,-0.2691E-01,0.6324E-01
0.1840E+04,-0.2709E-01,0.6282E-01
0.1845E+04,-0.2725E-01,0.6241E-01
0.1850E+04,-0.2738E-01,0.6201E-01
0.1855E+04,-0.2749E-01,0.6161E-01
0.1860E+04,-0.2758E-01,0.6121E-01
0.1865E+04,-0.2765E-01,0.6083E-01
0.1870E+04,-0.2770E-01,0.6045E-01
0.1875E+04,-0.2774E-01,0.6008E-01
0.1880E+04,-0.2776E-01,0.5972E-01
0.1885E+04,-0.2778E-01,0.5937E-01
0.1890E+04,-0.2778E-01,0.5902E-01
0.1895E+04,-0.2777E-01,0.5868E-01
0.1900E+04,-0.2776E-01,0.5835E-01
