W,Re_T,Im_T
0.1690E+04,0.8889E-05,-0.1893E-04
0.1695E+04,0.4086E-04,-0.9427E-04
0.1700E+04,0.7630E-04,-0.1919E-03
0.1705E+04,0.1113E-03,-0.3069E-03
0.1710E+04,0.1438E-03,-0.4376E-03
0.1715E+04,0.1724E-03,-0.5827E-03
0.1720E+04,0.1960E-03,-0.7413E-03
0.1725E+04,0.2139E-03,-0.9127E-03
0.1730E+04,0.2256E-03,-0.1096E-02
0.1735E+04,0.2305E-03,-0.1290E-02
0.1740E+04,0.2285E-03,-0.1494E-02
0.1745E+04,0.2190E-03,-0.1707E-02
0.1750E+04,0.2016E-03,-0.1928E-02
0.1755E+04,0.1759E-03,-0.2155E-02
0.1760E+04,0.1413E-03,-0.2387E-02
0.1765E+04,0.9711E-04,-0.2623E-02
0.1770E+04,0.4261E-04,-0.2862E-02
0.1775E+04,-0.2303E-04,-0.3103E-02
0.1780E+04,-0.1006E-03,-0.3344E-02
0.1785E+04,-0.1911E-03,-0.3586E-02
0.1790E+04,-0.2952E-03,-0.3827E-02
0.1795E+04,-0.4139E-03,-0.4066E-02
0.1800E+04,-0.5478E-03,-0.4305E-02
0.1805E+04,-0.6977E-03,-0.4541E-02
0.1810E+04,-0.8641E-03,-0.4776E-02
0.1815E+04,-0.1048E-02,-0.5008E-02
0.1820E+04,-0.1248E-02,-0.5237E-02
0.1825E+04,-0.1467E-02,-0.5465E-02
0.1830E+04,-0.1704E-02,-0.5689E-02
0.1835E+04,-0.1959E-02,-0.5910E-02
0.1840E+04,-0.2233E-02,-0.6128E-02
0.1845E+04,-0.2527E-02,-0.6343E-02
0.1850E+04,-0.2840E-02,-0.6554E-02
0.1855E+04,-0.3173E-02,-0.6761E-02
0.1860E+04,-0.3527E-02,-0.6964E-02
0.1865E+04,-0.3903E-02,-0.7164E-02
0.1870E+04,-0.4301E-02,-0.7359E-02
0.1875E+04,-0.4723E-02,-0.7552E-02
0.1880E+04,-0.5169E-02,-0.7741E-02
0.1885E+04,-0.5640E-02,-0.7928E-02
0.1890E+04,-0.6136E-02,-0.8114E-02
0.1895E+04,-0.6660E-02,-0.8300E-02
0.1900E+04,-0.7211E-02,-0.8487E-02
0.1905E+04,-0.7790E-02,-0.8677E-02
0.1910E+04,-0.8398E-02,-0.8871E-02
0.1915E+04,-0.9034E-02,-0.9071E-02
0.1920E+04,-0.9699E-02,-0.9279E-02
0.1925E+04,-0.1039E-01,-0.9498E-02
0.1930E+04,-0.1111E-01,-0.9729E-02
0.1935E+04,-0.1186E-01,-0.9974E-02
0.1940E+04,-0.1264E-01,-0.1024E-01
0.1945E+04,-0.1344E-01,-0.1052E-01
0.1950E+04,-0.1426E-01,-0.1082E-01
0.1955E+04,-0.1510E-01,-0.1114E-01
0.1960E+04,-0.1596E-01,-0.1149E-01
0.1965E+04,-0.1684E-01,-0.1186E-01
0.1970E+04,-0.1774E-01,-0.1226E-01
0.1975E+04,-0.1864E-01,-0.1268E-01
0.1980E+04,-0.1956E-01,-0.1314E-01
0.1985E+04,-0.2048E-01,-0.1362E-01
0.1990E+04,-0.2141E-01,-0.1413E-01
0.1995E+04,-0.2234E-01,-0.1467E-01
0.2000E+04,-0.2327E-01,-0.1524E-01
0.2005E+04,-0.2419E-01,-0.1583E-01
0.2010E+04,-0.2511E-01,-0.1646E-01
0.2015E+04,-0.2603E-01,-0.1711E-01
0.2020E+04,-0.2693E-01,-0.1778E-01
0.2025E+04,-0.2782E-01,-0.1848E-01
0.2030E+04,-0.2870E-01,-0.1920E-01
0.2035E+04,-0.2956E-01,-0.1995E-01
0.2040E+04,-0.3040E-01,-0.2072E-01
0.2045E+04,-0.3122E-01,-0.2150E-01
0.2050E+04,-0.3202E-01,-0.2230E-01
0.2055E+04,-0.3280E-01,-0.2312E-01
0.2060E+04,-0.3356E-01,-0.2395E-01
0.2065E+04,-0.3429E-01,-0.2480E-01
0.2070E+04,-0.3500E-01,-0.2565E-01
0.2075E+04,-0.3568E-01,-0.2651E-01
0.2080E+04,-0.3634E-01,-0.2737E-01
0.2085E+04,-0.3697E-01,-0.2824E-01
0.2090E+04,-0.3757E-01,-0.2911E-01
0.2095E+04,-0.3815E-01,-0.2998E-01
0.2100E+04,-0.3870E-01,-0.3085E-01
0.2105E+04,-0.3923E-01,-0.3172E-01
0.2110E+04,-0.3973E-01,-0.3258E-01
0.2115E+04,-0.4021E-01,-0.3343E-01
0.2120E+04,-0.4067E-01,-0.3428E-01
0.2125E+04,-0.4110E-01,-0.3512E-01
0.2130E+04,-0.4151E-01,-0.3595E-01
0.2135E+04,-0.4190E-01,-0.3677E-01
0.2140E+04,-0.4227E-01,-0.3757E-01
0.2145E+04,-0.4262E-01,-0.3836E-01
0.2150E+04,-0.4295E-01,-0.3914E-01
0.2155E+04,-0.4326E-01,-0.3989E-01
0.2160E+04,-0.4356E-01,-0.4064E-01
0.2165E+04,-0.4385E-01,-0.4136E-01
0.2170E+04,-0.4412E-01,-0.4207E-01
0.2175E+04,-0.4439E-01,-0.4276E-01
0.2180E+04,-0.4465E-01,-0.4344E-01
0.2185E+04,-0.4490E-01,-0.4410E-01
0.2190E+04,-0.4515E-01,-0.4474E-01
0.2195E+04,-0.4539E-01,-0.4537E-01
0.2200E+04,-0.4562E-01,-0.4598E-01
