W,Re_T,Im_T
0.1690E+04,-0.1357E-06,0.1050E-07
0.1695E+04,-0.1342E-05,0.9583E-07
0.1700E+04,-0.3779E-05,0.2477E-06
0.1705E+04,-0.7578E-05,0.4532E-06
0.1710E+04,-0.1290E-04,0.6985E-06
0.1715E+04,-0.1992E-04,0.9679E-06
0.1720E+04,-0.2880E-04,0.1242E-05
0.1725E+04,-0.3971E-04,0.1501E-05
0.1730E+04,-0.5284E-04,0.1718E-05
0.1735E+04,-0.6833E-04,0.1868E-05
0.1740E+04,-0.8635E-04,0.1922E-05
0.1745E+04,-0.1071E-03,0.1847E-05
0.1750E+04,-0.1306E-03,0.1608E-05
0.1755E+04,-0.1571E-03,0.1171E-05
0.1760E+04,-0.1868E-03,0.4943E-06
0.1765E+04,-0.2196E-03,-0.4623E-06
0.1770E+04,-0.2559E-03,-0.1744E-05
0.1775E+04,-0.2956E-03,-0.3398E-05
0.1780E+04,-0.3390E-03,-0.5476E-05
0.1785E+04,-0.3860E-03,-0.8032E-05
0.1790E+04,-0.4368E-03,-0.1113E-04
0.1795E+04,-0.4914E-03,-0.1482E-04
0.1800E+04,-0.5500E-03,-0.1919E-04
0.1805E+04,-0.6126E-03,-0.2429E-04
0.1810E+04,-0.6793E-03,-0.3022E-04
0.1815E+04,-0.7501E-03,-0.3705E-04
0.1820E+04,-0.8250E-03,-0.4486E-04
0.1825E+04,-0.9041E-03,-0.5377E-04
0.1830E+04,-0.9874E-03,-0.6386E-04
0.1835E+04,-0.1075E-02,-0.7523E-04
0.1840E+04,-0.1167E-02,-0.8799E-04
0.1845E+04,-0.1263E-02,-0.1023E-03
0.1850E+04,-0.1363E-02,-0.1181E-03
0.1855E+04,-0.1467E-02,-0.1357E-03
0.1860E+04,-0.1575E-02,-0.1552E-03
0.1865E+04,-0.1688E-02,-0.1766E-03
0.1870E+04,-0.1804E-02,-0.2000E-03
0.1875E+04,-0.1924E-02,-0.2256E-03
0.1880E+04,-0.2048E-02,-0.2535E-03
0.1885E+04,-0.2176E-02,-0.2838E-03
0.1890E+04,-0.2307E-02,-0.3166E-03
0.1895E+04,-0.2442E-02,-0.3520E-03
0.1900E+04,-0.2580E-02,-0.3900E-03
0.1905E+04,-0.2722E-02,-0.4308E-03
0.1910E+04,-0.2867E-02,-0.4745E-03
0.1915E+04,-0.3014E-02,-0.5211E-03
0.1920E+04,-0.3165E-02,-0.5706E-03
0.1925E+04,-0.3318E-02,-0.6233E-03
0.1930E+04,-0.3473E-02,-0.6790E-03
0.1935E+04,-0.3631E-02,-0.7379E-03
0.1940E+04,-0.3791E-02,-0.8000E-03
0.1945E+04,-0.3953E-02,-0.8653E-03
0.1950E+04,-0.4117E-02,-0.9340E-03
0.1955E+04,-0.4283E-02,-0.1006E-02
0.1960E+04,-0.4450E-02,-0.1081E-02
0.1965E+04,-0.4619E-02,-0.1159E-02
0.1970E+04,-0.4789E-02,-0.1241E-02
0.1975E+04,-0.4960E-02,-0.1326E-02
0.1980E+04,-0.5131E-02,-0.1414E-02
0.1985E+04,-0.5304E-02,-0.1506E-02
0.1990E+04,-0.5477E-02,-0.1600E-02
0.1995E+04,-0.5651E-02,-0.1698E-02
0.2000E+04,-0.5825E-02,-0.1799E-02
0.2005E+04,-0.5999E-02,-0.1904E-02
0.2010E+04,-0.6173E-02,-0.2011E-02
0.2015E+04,-0.6348E-02,-0.2122E-02
0.2020E+04,-0.6522E-02,-0.2236E-02
0.2025E+04,-0.6696E-02,-0.2353E-02
0.2030E+04,-0.6869E-02,-0.2474E-02
0.2035E+04,-0.7041E-02,-0.2599E-02
0.2040E+04,-0.7213E-02,-0.2726E-02
0.2045E+04,-0.7383E-02,-0.2857E-02
0.2050E+04,-0.7552E-02,-0.2992E-02
0.2055E+04,-0.7719E-02,-0.3131E-02
0.2060E+04,-0.7884E-02,-0.3273E-02
0.2065E+04,-0.8047E-02,-0.3418E-02
0.2070E+04,-0.8207E-02,-0.3567E-02
0.2075E+04,-0.8363E-02,-0.3720E-02
0.2080E+04,-0.8516E-02,-0.3875E-02
0.2085E+04,-0.8665E-02,-0.4033E-02
0.2090E+04,-0.8810E-02,-0.4194E-02
0.2095E+04,-0.8950E-02,-0.4357E-02
0.2100E+04,-0.9085E-02,-0.4522E-02
0.2105E+04,-0.9214E-02,-0.4689E-02
0.2110E+04,-0.9338E-02,-0.4856E-02
0.2115E+04,-0.9456E-02,-0.5024E-02
0.2120E+04,-0.9569E-02,-0.5191E-02
0.2125E+04,-0.9676E-02,-0.5358E-02
0.2130E+04,-0.9777E-02,-0.5523E-02
0.2135E+04,-0.9872E-02,-0.5686E-02
0.2140E+04,-0.9962E-02,-0.5847E-02
0.2145E+04,-0.1005E-01,-0.6005E-02
0.2150E+04,-0.1013E-01,-0.6158E-02
0.2155E+04,-0.1021E-01,-0.6308E-02
0.2160E+04,-0.1028E-01,-0.6454E-02
0.2165E+04,-0.1035E-01,-0.6594E-02
0.2170E+04,-0.1042E-01,-0.6731E-02
0.2175E+04,-0.1048E-01,-0.6862E-02
0.2180E+04,-0.1055E-01,-0.6989E-02
0.2185E+04,-0.1061E-01,-0.7111E-02
0.2190E+04,-0.1068E-01,-0.7230E-02
0.2195E+04,-0.1074E-01,-0.7344E-02
0.2200E+04,-0.1081E-01,-0.7455E-02
