W,Re_T,Im_T
0.1690E+04,-0.2739E-08,0.7947E-09
0.1695E+04,-0.5114E-07,0.1458E-07
0.1700E+04,-0.1902E-06,0.5328E-07
0.1705E+04,-0.4578E-06,0.1259E-06
0.1710E+04,-0.8936E-06,0.2413E-06
0.1715E+04,-0.1540E-05,0.4085E-06
0.1720E+04,-0.2441E-05,0.6363E-06
0.1725E+04,-0.3646E-05,0.9337E-06
0.1730E+04,-0.5203E-05,0.1310E-05
0.1735E+04,-0.7164E-05,0.1774E-05
0.1740E+04,-0.9583E-05,0.2335E-05
0.1745E+04,-0.1251E-04,0.3002E-05
0.1750E+04,-0.1601E-04,0.3784E-05
0.1755E+04,-0.2014E-04,0.4689E-05
0.1760E+04,-0.2494E-04,0.5728E-05
0.1765E+04,-0.3049E-04,0.6907E-05
0.1770E+04,-0.3683E-04,0.8236E-05
0.1775E+04,-0.4403E-04,0.9722E-05
0.1780E+04,-0.5213E-04,0.1137E-04
0.1785E+04,-0.6120E-04,0.1320E-04
0.1790E+04,-0.7130E-04,0.1520E-04
0.1795E+04,-0.8247E-04,0.1739E-04
0.1800E+04,-0.9476E-04,0.1976E-04
0.1805E+04,-0.1082E-03,0.2233E-04
0.1810E+04,-0.1229E-03,0.2511E-04
0.1815E+04,-0.1389E-03,0.2808E-04
0.1820E+04,-0.1563E-03,0.3126E-04
0.1825E+04,-0.1749E-03,0.3465E-04
0.1830E+04,-0.1951E-03,0.3824E-04
0.1835E+04,-0.2167E-03,0.4205E-04
0.1840E+04,-0.2398E-03,0.4606E-04
0.1845E+04,-0.2645E-03,0.5028E-04
0.1850E+04,-0.2907E-03,0.5470E-04
0.1855E+04,-0.3187E-03,0.5933E-04
0.1860E+04,-0.3483E-03,0.6416E-04
0.1865E+04,-0.3797E-03,0.6918E-04
0.1870E+04,-0.4129E-03,0.7439E-04
0.1875E+04,-0.4479E-03,0.7978E-04
0.1880E+04,-0.4848E-03,0.8536E-04
0.1885E+04,-0.5236E-03,0.9110E-04
0.1890E+04,-0.5644E-03,0.9700E-04
0.1895E+04,-0.6072E-03,0.1031E-03
0.1900E+04,-0.6520E-03,0.1093E-03
0.1905E+04,-0.6989E-03,0.1156E-03
0.1910E+04,-0.7479E-03,0.1221E-03
0.1915E+04,-0.7991E-03,0.1287E-03
0.1920E+04,-0.8525E-03,0.1354E-03
0.1925E+04,-0.9081E-03,0.1423E-03
0.1930E+04,-0.9660E-03,0.1492E-03
0.1935E+04,-0.1026E-02,0.1562E-03
0.1940E+04,-0.1089E-02,0.1633E-03
0.1945E+04,-0.1154E-02,0.1705E-03
0.1950E+04,-0.1221E-02,0.1777E-03
0.1955E+04,-0.1291E-02,0.1850E-03
0.1960E+04,-0.1363E-02,0.1923E-03
0.1965E+04,-0.1438E-02,0.1997E-03
0.1970E+04,-0.1515E-02,0.2070E-03
0.1975E+04,-0.1595E-02,0.2144E-03
0.1980E+04,-0.1678E-02,0.2217E-03
0.1985E+04,-0.1763E-02,0.2291E-03
0.1990E+04,-0.1851E-02,0.2363E-03
0.1995E+04,-0.1942E-02,0.2435E-03
0.2000E+04,-0.2035E-02,0.2506E-03
0.2005E+04,-0.2132E-02,0.2577E-03
0.2010E+04,-0.2230E-02,0.2645E-03
0.2015E+04,-0.2332E-02,0.2712E-03
0.2020E+04,-0.2437E-02,0.2777E-03
0.2025E+04,-0.2544E-02,0.2840E-03
0.2030E+04,-0.2655E-02,0.2900E-03
0.2035E+04,-0.2768E-02,0.2957E-03
0.2040E+04,-0.2884E-02,0.3011E-03
0.2045E+04,-0.3003E-02,0.3061E-03
0.2050E+04,-0.3125E-02,0.3106E-03
0.2055E+04,-0.3250E-02,0.3147E-03
0.2060E+04,-0.3378E-02,0.3183E-03
0.2065E+04,-0.3509E-02,0.3213E-03
0.2070E+04,-0.3643E-02,0.3238E-03
0.2075E+04,-0.3780E-02,0.3255E-03
0.2080E+04,-0.3920E-02,0.3266E-03
0.2085E+04,-0.4063E-02,0.3269E-03
0.2090E+04,-0.4208E-02,0.3264E-03
0.2095E+04,-0.4357E-02,0.3251E-03
0.2100E+04,-0.4509E-02,0.3228E-03
0.2105E+04,-0.4663E-02,0.3196E-03
0.2110E+04,-0.4820E-02,0.3155E-03
0.2115E+04,-0.4980E-02,0.3103E-03
0.2120E+04,-0.5143E-02,0.3040E-03
0.2125E+04,-0.5308E-02,0.2966E-03
0.2130E+04,-0.5476E-02,0.2881E-03
0.2135E+04,-0.5647E-02,0.2784E-03
0.2140E+04,-0.5821E-02,0.2675E-03
0.2145E+04,-0.5997E-02,0.2554E-03
0.2150E+04,-0.6175E-02,0.2420E-03
0.2155E+04,-0.6356E-02,0.2274E-03
0.2160E+04,-0.6539E-02,0.2115E-03
0.2165E+04,-0.6725E-02,0.1943E-03
0.2170E+04,-0.6913E-02,0.1758E-03
0.2175E+04,-0.7104E-02,0.1560E-03
0.2180E+04,-0.7297E-02,0.1348E-03
0.2185E+04,-0.7492E-02,0.1124E-03
0.2190E+04,-0.7689E-02,0.8860E-04
0.2195E+04,-0.7888E-02,0.6347E-04
0.2200E+04,-0.8090E-02,0.3699E-04
