W,Re_T,Im_T
0.1690E+04,-0.1349E-01,-0.5348E-02
0.1695E+04,-0.3525E-01,-0.1500E-01
0.1700E+04,-0.5346E-01,-0.2456E-01
0.1705E+04,-0.6978E-01,-0.3463E-01
0.1710E+04,-0.8456E-01,-0.4533E-01
0.1715E+04,-0.9787E-01,-0.5658E-01
0.1720E+04,-0.1098E+00,-0.6825E-01
0.1725E+04,-0.1202E+00,-0.8017E-01
0.1730E+04,-0.1293E+00,-0.9220E-01
0.1735E+04,-0.1371E+00,-0.1042E+00
0.1740E+04,-0.1436E+00,-0.1160E+00
0.1745E+04,-0.1490E+00,-0.1276E+00
0.1750E+04,-0.1534E+00,-0.1388E+00
0.1755E+04,-0.1568E+00,-0.1496E+00
0.1760E+04,-0.1593E+00,-0.1599E+00
0.1765E+04,-0.1610E+00,-0.1696E+00
0.1770E+04,-0.1620E+00,-0.1788E+00
0.1775E+04,-0.1624E+00,-0.1874E+00
0.1780E+04,-0.1623E+00,-0.1955E+00
0.1785E+04,-0.1617E+00,-0.2029E+00
0.1790E+04,-0.1608E+00,-0.2097E+00
0.1795E+04,-0.1596E+00,-0.2159E+00
0.1800E+04,-0.1583E+00,-0.2216E+00
0.1805E+04,-0.1567E+00,-0.2268E+00
0.1810E+04,-0.1551E+00,-0.2316E+00
0.1815E+04,-0.1534E+00,-0.2359E+00
0.1820E+04,-0.1516E+00,-0.2399E+00
0.1825E+04,-0.1498E+00,-0.2435E+00
0.1830E+04,-0.1480E+00,-0.2468E+00
0.1835E+04,-0.1462E+00,-0.2499E+00
0.1840E+04,-0.1444E+00,-0.2527E+00
0.1845E+04,-0.1425E+00,-0.2553E+00
0.1850E+04,-0.1406E+00,-0.2577E+00
0.1855E+04,-0.1387E+00,-0.2599E+00
0.1860E+04,-0.1368E+00,-0.2618E+00
0.1865E+04,-0.1348E+00,-0.2636E+00
0.1870E+04,-0.1328E+00,-0.2652E+00
0.1875E+04,-0.1308E+00,-0.2666E+00
0.1880E+04,-0.1288E+00,-0.2679E+00
0.1885E+04,-0.1268E+00,-0.2690E+00
0.1890E+04,-0.1249E+00,-0.2698E+00
0.1895E+04,-0.1229E+00,-0.2706E+00
0.1900E+04,-0.1210E+00,-0.2711E+00
0.1905E+04,-0.1191E+00,-0.2715E+00
0.1910E+04,-0.1173E+00,-0.2718E+00
0.1915E+04,-0.1156E+00,-0.2720E+00
0.1920E+04,-0.1139E+00,-0.2720E+00
0.1925E+04,-0.1123E+00,-0.2720E+00
0.1930E+04,-0.1108E+00,-0.2718E+00
0.1935E+04,-0.1094E+00,-0.2716E+00
0.1940E+04,-0.1080E+00,-0.2714E+00
0.1945E+04,-0.1067E+00,-0.2711E+00
0.1950E+04,-0.1055E+00,-0.2708E+00
0.1955E+04,-0.1044E+00,-0.2705E+00
0.1960E+04,-0.1033E+00,-0.2701E+00
0.1965E+04,-0.1023E+00,-0.2698E+00
0.1970E+04,-0.1013E+00,-0.2695E+00
0.1975E+04,-0.1003E+00,-0.2692E+00
0.1980E+04,-0.9940E-01,-0.2689E+00
0.1985E+04,-0.9848E-01,-0.2686E+00
0.1990E+04,-0.9757E-01,-0.2683E+00
0.1995E+04,-0.9667E-01,-0.2681E+00
0.2000E+04,-0.9577E-01,-0.2678E+00
0.2005E+04,-0.9487E-01,-0.2676E+00
0.2010E+04,-0.9395E-01,-0.2674E+00
0.2015E+04,-0.9302E-01,-0.2672E+00
0.2020E+04,-0.9208E-01,-0.2670E+00
0.2025E+04,-0.9113E-01,-0.2667E+00
0.2030E+04,-0.9016E-01,-0.2665E+00
0.2035E+04,-0.8918E-01,-0.2663E+00
0.2040E+04,-0.8819E-01,-0.2660E+00
0.2045E+04,-0.8719E-01,-0.2658E+00
0.2050E+04,-0.8618E-01,-0.2655E+00
0.2055E+04,-0.8516E-01,-0.2652E+00
0.2060E+04,-0.8413E-01,-0.2649E+00
0.2065E+04,-0.8310E-01,-0.2646E+00
0.2070E+04,-0.8207E-01,-0.2643E+00
0.2075E+04,-0.8104E-01,-0.2640E+00
0.2080E+04,-0.8000E-01,-0.2636E+00
0.2085E+04,-0.7897E-01,-0.2633E+00
0.2090E+04,-0.7793E-01,-0.2630E+00
0.2095E+04,-0.7689E-01,-0.2626E+00
0.2100E+04,-0.7584E-01,-0.2622E+00
0.2105E+04,-0.7480E-01,-0.2619E+00
0.2110E+04,-0.7374E-01,-0.2615E+00
0.2115E+04,-0.7268E-01,-0.2612E+00
0.2120E+04,-0.7162E-01,-0.2608E+00
0.2125E+04,-0.7054E-01,-0.2604E+00
0.2130E+04,-0.6946E-01,-0.2601E+00
0.2135E+04,-0.6837E-01,-0.2597E+00
0.2140E+04,-0.6726E-01,-0.2593E+00
0.2145E+04,-0.6615E-01,-0.2589E+00
0.2150E+04,-0.6502E-01,-0.2586E+00
0.2155E+04,-0.6388E-01,-0.2582E+00
0.2160E+04,-0.6273E-01,-0.2578E+00
0.2165E+04,-0.6157E-01,-0.2574E+00
0.2170E+04,-0.6039E-01,-0.2570E+00
0.2175E+04,-0.5920E-01,-0.2566E+00
0.2180E+04,-0.5800E-01,-0.2562E+00
0.2185E+04,-0.5679E-01,-0.2558E+00
0.2190E+04,-0.5556E-01,-0.2553E+00
0.2195E+04,-0.5432E-01,-0.2549E+00
0.2200E+04,-0.5306E-01,-0.2545E+00
