W,Re_T,Im_T
0.1690E+04,-0.2300E-06,0.2884E-07
0.1695E+04,-0.4482E-05,0.6956E-06
0.1700E+04,-0.1441E-04,0.2821E-05
0.1705E+04,-0.2810E-04,0.7112E-05
0.1710E+04,-0.4225E-04,0.1432E-04
0.1715E+04,-0.5287E-04,0.2529E-04
0.1720E+04,-0.5559E-04,0.4097E-04
0.1725E+04,-0.4583E-04,0.6247E-04
0.1730E+04,-0.1896E-04,0.9105E-04
0.1735E+04,0.2965E-04,0.1282E-03
0.1740E+04,0.1045E-03,0.1756E-03
0.1745E+04,0.2102E-03,0.2351E-03
0.1750E+04,0.3508E-03,0.3091E-03
0.1755E+04,0.5306E-03,0.4000E-03
0.1760E+04,0.7534E-03,0.5109E-03
0.1765E+04,0.1023E-02,0.6450E-03
0.1770E+04,0.1342E-02,0.8061E-03
0.1775E+04,0.1715E-02,0.9985E-03
0.1780E+04,0.2144E-02,0.1227E-02
0.1785E+04,0.2630E-02,0.1497E-02
0.1790E+04,0.3177E-02,0.1814E-02
0.1795E+04,0.3784E-02,0.2184E-02
0.1800E+04,0.4453E-02,0.2616E-02
0.1805E+04,0.5182E-02,0.3115E-02
0.1810E+04,0.5970E-02,0.3691E-02
0.1815E+04,0.6815E-02,0.4352E-02
0.1820E+04,0.7713E-02,0.5107E-02
0.1825E+04,0.8657E-02,0.5965E-02
0.1830E+04,0.9642E-02,0.6935E-02
0.1835E+04,0.1066E-01,0.8026E-02
0.1840E+04,0.1169E-01,0.9246E-02
0.1845E+04,0.1274E-01,0.1060E-01
0.1850E+04,0.1378E-01,0.1210E-01
0.1855E+04,0.1479E-01,0.1374E-01
0.1860E+04,0.1577E-01,0.1553E-01
0.1865E+04,0.1669E-01,0.1747E-01
0.1870E+04,0.1754E-01,0.1955E-01
0.1875E+04,0.1830E-01,0.2177E-01
0.1880E+04,0.1895E-01,0.2412E-01
0.1885E+04,0.1947E-01,0.2659E-01
0.1890E+04,0.1986E-01,0.2916E-01
0.1895E+04,0.2009E-01,0.3182E-01
0.1900E+04,0.2016E-01,0.3456E-01
0.1905E+04,0.2006E-01,0.3736E-01
0.1910E+04,0.1978E-01,0.4020E-01
0.1915E+04,0.1932E-01,0.4305E-01
0.1920E+04,0.1867E-01,0.4591E-01
0.1925E+04,0.1785E-01,0.4875E-01
0.1930E+04,0.1684E-01,0.5156E-01
0.1935E+04,0.1565E-01,0.5432E-01
0.1940E+04,0.1430E-01,0.5700E-01
0.1945E+04,0.1279E-01,0.5959E-01
0.1950E+04,0.1113E-01,0.6208E-01
0.1955E+04,0.9326E-02,0.6445E-01
0.1960E+04,0.7405E-02,0.6670E-01
0.1965E+04,0.5379E-02,0.6881E-01
0.1970E+04,0.3263E-02,0.7077E-01
0.1975E+04,0.1075E-02,0.7258E-01
0.1980E+04,-0.1167E-02,0.7424E-01
0.1985E+04,-0.3448E-02,0.7575E-01
0.1990E+04,-0.5750E-02,0.7712E-01
0.1995E+04,-0.8061E-02,0.7834E-01
0.2000E+04,-0.1037E-01,0.7943E-01
0.2005E+04,-0.1266E-01,0.8039E-01
0.2010E+04,-0.1492E-01,0.8124E-01
0.2015E+04,-0.1715E-01,0.8198E-01
0.2020E+04,-0.1935E-01,0.8261E-01
0.2025E+04,-0.2150E-01,0.8316E-01
0.2030E+04,-0.2361E-01,0.8363E-01
0.2035E+04,-0.2568E-01,0.8403E-01
0.2040E+04,-0.2770E-01,0.8436E-01
0.2045E+04,-0.2968E-01,0.8464E-01
0.2050E+04,-0.3161E-01,0.8487E-01
0.2055E+04,-0.3351E-01,0.8505E-01
0.2060E+04,-0.3537E-01,0.8519E-01
0.2065E+04,-0.3719E-01,0.8529E-01
0.2070E+04,-0.3898E-01,0.8535E-01
0.2075E+04,-0.4074E-01,0.8538E-01
0.2080E+04,-0.4247E-01,0.8538E-01
0.2085E+04,-0.4417E-01,0.8534E-01
0.2090E+04,-0.4585E-01,0.8527E-01
0.2095E+04,-0.4750E-01,0.8516E-01
0.2100E+04,-0.4912E-01,0.8502E-01
0.2105E+04,-0.5072E-01,0.8485E-01
0.2110E+04,-0.5229E-01,0.8464E-01
0.2115E+04,-0.5382E-01,0.8440E-01
0.2120E+04,-0.5533E-01,0.8413E-01
0.2125E+04,-0.5680E-01,0.8382E-01
0.2130E+04,-0.5823E-01,0.8348E-01
0.2135E+04,-0.5961E-01,0.8312E-01
0.2140E+04,-0.6096E-01,0.8273E-01
0.2145E+04,-0.6225E-01,0.8232E-01
0.2150E+04,-0.6350E-01,0.8189E-01
0.2155E+04,-0.6470E-01,0.8146E-01
0.2160E+04,-0.6585E-01,0.8102E-01
0.2165E+04,-0.6695E-01,0.8057E-01
0.2170E+04,-0.6800E-01,0.8014E-01
0.2175E+04,-0.6901E-01,0.7971E-01
0.2180E+04,-0.6997E-01,0.7930E-01
0.2185E+04,-0.7089E-01,0.7890E-01
0.2190E+04,-0.7177E-01,0.7853E-01
0.2195E+04,-0.7262E-01,0.7818E-01
0.2200E+04,-0.7344E-01,0.7786E-01
