W,Re_T,Im_T
0.1690E+04,-0.2833E-09,0.1754E-10
0.1695E+04,-0.2283E-07,0.1494E-08
0.1700E+04,-0.1508E-06,0.1045E-07
0.1705E+04,-0.5099E-06,0.3748E-07
0.1710E+04,-0.1253E-05,0.9785E-07
0.1715E+04,-0.2553E-05,0.2120E-06
0.1720E+04,-0.4596E-05,0.4062E-06
0.1725E+04,-0.7574E-05,0.7133E-06
0.1730E+04,-0.1169E-04,0.1174E-05
0.1735E+04,-0.1713E-04,0.1835E-05
0.1740E+04,-0.2411E-04,0.2756E-05
0.1745E+04,-0.3281E-04,0.4004E-05
0.1750E+04,-0.4342E-04,0.5659E-05
0.1755E+04,-0.5611E-04,0.7814E-05
0.1760E+04,-0.7107E-04,0.1058E-04
0.1765E+04,-0.8845E-04,0.1407E-04
0.1770E+04,-0.1084E-03,0.1844E-04
0.1775E+04,-0.1311E-03,0.2385E-04
0.1780E+04,-0.1567E-03,0.3048E-04
0.1785E+04,-0.1853E-03,0.3855E-04
0.1790E+04,-0.2171E-03,0.4829E-04
0.1795E+04,-0.2523E-03,0.5997E-04
0.1800E+04,-0.2910E-03,0.7388E-04
0.1805E+04,-0.3334E-03,0.9034E-04
0.1810E+04,-0.3799E-03,0.1097E-03
0.1815E+04,-0.4307E-03,0.1323E-03
0.1820E+04,-0.4861E-03,0.1586E-03
0.1825E+04,-0.5466E-03,0.1889E-03
0.1830E+04,-0.6127E-03,0.2235E-03
0.1835E+04,-0.6850E-03,0.2628E-03
0.1840E+04,-0.7642E-03,0.3071E-03
0.1845E+04,-0.8509E-03,0.3564E-03
0.1850E+04,-0.9462E-03,0.4108E-03
0.1855E+04,-0.1051E-02,0.4702E-03
0.1860E+04,-0.1165E-02,0.5343E-03
0.1865E+04,-0.1291E-02,0.6026E-03
0.1870E+04,-0.1428E-02,0.6744E-03
0.1875E+04,-0.1578E-02,0.7491E-03
0.1880E+04,-0.1740E-02,0.8255E-03
0.1885E+04,-0.1915E-02,0.9028E-03
0.1890E+04,-0.2103E-02,0.9798E-03
0.1895E+04,-0.2304E-02,0.1056E-02
0.1900E+04,-0.2517E-02,0.1130E-02
0.1905E+04,-0.2741E-02,0.1201E-02
0.1910E+04,-0.2977E-02,0.1268E-02
0.1915E+04,-0.3222E-02,0.1332E-02
0.1920E+04,-0.3477E-02,0.1392E-02
0.1925E+04,-0.3740E-02,0.1448E-02
0.1930E+04,-0.4011E-02,0.1499E-02
0.1935E+04,-0.4290E-02,0.1547E-02
0.1940E+04,-0.4574E-02,0.1590E-02
0.1945E+04,-0.4865E-02,0.1631E-02
0.1950E+04,-0.5162E-02,0.1668E-02
0.1955E+04,-0.5464E-02,0.1702E-02
0.1960E+04,-0.5771E-02,0.1734E-02
0.1965E+04,-0.6083E-02,0.1763E-02
0.1970E+04,-0.6400E-02,0.1790E-02
0.1975E+04,-0.6721E-02,0.1816E-02
0.1980E+04,-0.7047E-02,0.1840E-02
0.1985E+04,-0.7378E-02,0.1863E-02
0.1990E+04,-0.7712E-02,0.1885E-02
0.1995E+04,-0.8052E-02,0.1906E-02
0.2000E+04,-0.8395E-02,0.1926E-02
0.2005E+04,-0.8743E-02,0.1945E-02
0.2010E+04,-0.9096E-02,0.1964E-02
0.2015E+04,-0.9452E-02,0.1982E-02
0.2020E+04,-0.9813E-02,0.1999E-02
0.2025E+04,-0.1018E-01,0.2015E-02
0.2030E+04,-0.1055E-01,0.2032E-02
0.2035E+04,-0.1092E-01,0.2047E-02
0.2040E+04,-0.1129E-01,0.2063E-02
0.2045E+04,-0.1167E-01,0.2078E-02
0.2050E+04,-0.1206E-01,0.2093E-02
0.2055E+04,-0.1244E-01,0.2108E-02
0.2060E+04,-0.1283E-01,0.2123E-02
0.2065E+04,-0.1323E-01,0.2138E-02
0.2070E+04,-0.1362E-01,0.2154E-02
0.2075E+04,-0.1402E-01,0.2170E-02
0.2080E+04,-0.1442E-01,0.2187E-02
0.2085E+04,-0.1482E-01,0.2205E-02
0.2090E+04,-0.1523E-01,0.2224E-02
0.2095E+04,-0.1564E-01,0.2244E-02
0.2100E+04,-0.1606E-01,0.2265E-02
0.2105E+04,-0.1647E-01,0.2288E-02
0.2110E+04,-0.1689E-01,0.2312E-02
0.2115E+04,-0.1732E-01,0.2338E-02
0.2120E+04,-0.1774E-01,0.2366E-02
0.2125E+04,-0.1817E-01,0.2395E-02
0.2130E+04,-0.1861E-01,0.2426E-02
0.2135E+04,-0.1904E-01,0.2459E-02
0.2140E+04,-0.1948E-01,0.2494E-02
0.2145E+04,-0.1993E-01,0.2531E-02
0.2150E+04,-0.2038E-01,0.2569E-02
0.2155E+04,-0.2083E-01,0.2609E-02
0.2160E+04,-0.2129E-01,0.2651E-02
0.2165E+04,-0.2175E-01,0.2694E-02
0.2170E+04,-0.2221E-01,0.2738E-02
0.2175E+04,-0.2268E-01,0.2783E-02
0.2180E+04,-0.2316E-01,0.2829E-02
0.2185E+04,-0.2364E-01,0.2876E-02
0.2190E+04,-0.2412E-01,0.2923E-02
0.2195E+04,-0.2461E-01,0.2970E-02
0.2200E+04,-0.2510E-01,0.3017E-02
