W,Re_T,Im_T
0.1690E+04,-0.2243E-11,0.9536E-15
0.1695E+04,-0.6052E-09,0.2644E-12
0.1700E+04,-0.6524E-08,0.2955E-11
0.1705E+04,-0.2984E-07,0.1401E-10
0.1710E+04,-0.9091E-07,0.4425E-10
0.1715E+04,-0.2183E-06,0.1102E-09
0.1720E+04,-0.4484E-06,0.2346E-09
0.1725E+04,-0.8247E-06,0.4476E-09
0.1730E+04,-0.1397E-05,0.7865E-09
0.1735E+04,-0.2220E-05,0.1297E-08
0.1740E+04,-0.3355E-05,0.2036E-08
0.1745E+04,-0.4865E-05,0.3067E-08
0.1750E+04,-0.6818E-05,0.4468E-08
0.1755E+04,-0.9284E-05,0.6328E-08
0.1760E+04,-0.1233E-04,0.8752E-08
0.1765E+04,-0.1604E-04,0.1186E-07
0.1770E+04,-0.2049E-04,0.1579E-07
0.1775E+04,-0.2574E-04,0.2070E-07
0.1780E+04,-0.3188E-04,0.2677E-07
0.1785E+04,-0.3898E-04,0.3421E-07
0.1790E+04,-0.4711E-04,0.4326E-07
0.1795E+04,-0.5636E-04,0.5420E-07
0.1800E+04,-0.6679E-04,0.6734E-07
0.1805E+04,-0.7847E-04,0.8303E-07
0.1810E+04,-0.9149E-04,0.1017E-06
0.1815E+04,-0.1059E-03,0.1237E-06
0.1820E+04,-0.1218E-03,0.1497E-06
0.1825E+04,-0.1392E-03,0.1802E-06
0.1830E+04,-0.1582E-03,0.2158E-06
0.1835E+04,-0.1789E-03,0.2574E-06
0.1840E+04,-0.2013E-03,0.3056E-06
0.1845E+04,-0.2255E-03,0.3614E-06
0.1850E+04,-0.2516E-03,0.4258E-06
0.1855E+04,-0.2795E-03,0.4999E-06
0.1860E+04,-0.3095E-03,0.5848E-06
0.1865E+04,-0.3414E-03,0.6820E-06
0.1870E+04,-0.3753E-03,0.7928E-06
0.1875E+04,-0.4114E-03,0.9188E-06
0.1880E+04,-0.4497E-03,0.1062E-05
0.1885E+04,-0.4901E-03,0.1223E-05
0.1890E+04,-0.5328E-03,0.1405E-05
0.1895E+04,-0.5778E-03,0.1610E-05
0.1900E+04,-0.6251E-03,0.1839E-05
0.1905E+04,-0.6748E-03,0.2096E-05
0.1910E+04,-0.7269E-03,0.2382E-05
0.1915E+04,-0.7814E-03,0.2700E-05
0.1920E+04,-0.8384E-03,0.3053E-05
0.1925E+04,-0.8979E-03,0.3443E-05
0.1930E+04,-0.9599E-03,0.3874E-05
0.1935E+04,-0.1025E-02,0.4348E-05
0.1940E+04,-0.1092E-02,0.4868E-05
0.1945E+04,-0.1161E-02,0.5438E-05
0.1950E+04,-0.1234E-02,0.6061E-05
0.1955E+04,-0.1309E-02,0.6740E-05
0.1960E+04,-0.1387E-02,0.7478E-05
0.1965E+04,-0.1467E-02,0.8280E-05
0.1970E+04,-0.1550E-02,0.9148E-05
0.1975E+04,-0.1636E-02,0.1009E-04
0.1980E+04,-0.1725E-02,0.1110E-04
0.1985E+04,-0.1816E-02,0.1219E-04
0.1990E+04,-0.1911E-02,0.1337E-04
0.1995E+04,-0.2008E-02,0.1463E-04
0.2000E+04,-0.2107E-02,0.1598E-04
0.2005E+04,-0.2210E-02,0.1744E-04
0.2010E+04,-0.2315E-02,0.1899E-04
0.2015E+04,-0.2423E-02,0.2065E-04
0.2020E+04,-0.2534E-02,0.2243E-04
0.2025E+04,-0.2648E-02,0.2433E-04
0.2030E+04,-0.2765E-02,0.2636E-04
0.2035E+04,-0.2885E-02,0.2852E-04
0.2040E+04,-0.3007E-02,0.3083E-04
0.2045E+04,-0.3132E-02,0.3329E-04
0.2050E+04,-0.3260E-02,0.3591E-04
0.2055E+04,-0.3391E-02,0.3869E-04
0.2060E+04,-0.3525E-02,0.4165E-04
0.2065E+04,-0.3662E-02,0.4479E-04
0.2070E+04,-0.3802E-02,0.4812E-04
0.2075E+04,-0.3944E-02,0.5164E-04
0.2080E+04,-0.4089E-02,0.5536E-04
0.2085E+04,-0.4238E-02,0.5929E-04
0.2090E+04,-0.4389E-02,0.6341E-04
0.2095E+04,-0.4543E-02,0.6774E-04
0.2100E+04,-0.4700E-02,0.7228E-04
0.2105E+04,-0.4860E-02,0.7701E-04
0.2110E+04,-0.5023E-02,0.8194E-04
0.2115E+04,-0.5188E-02,0.8706E-04
0.2120E+04,-0.5357E-02,0.9236E-04
0.2125E+04,-0.5528E-02,0.9783E-04
0.2130E+04,-0.5703E-02,0.1035E-03
0.2135E+04,-0.5880E-02,0.1092E-03
0.2140E+04,-0.6060E-02,0.1152E-03
0.2145E+04,-0.6243E-02,0.1212E-03
0.2150E+04,-0.6429E-02,0.1274E-03
0.2155E+04,-0.6618E-02,0.1336E-03
0.2160E+04,-0.6809E-02,0.1400E-03
0.2165E+04,-0.7004E-02,0.1465E-03
0.2170E+04,-0.7201E-02,0.1531E-03
0.2175E+04,-0.7400E-02,0.1598E-03
0.2180E+04,-0.7603E-02,0.1666E-03
0.2185E+04,-0.7808E-02,0.1735E-03
0.2190E+04,-0.8016E-02,0.1805E-03
0.2195E+04,-0.8226E-02,0.1876E-03
0.2200E+04,-0.8439E-02,0.1949E-03
