W,Re_T,Im_T
0.1690E+04,0.7837E-14,0.9201E-15
0.1695E+04,0.1939E-10,0.8423E-12
0.1700E+04,0.3609E-09,0.1519E-10
0.1705E+04,0.2343E-08,0.9585E-10
0.1710E+04,0.9246E-08,0.3675E-09
0.1715E+04,0.2727E-07,0.1053E-08
0.1720E+04,0.6641E-07,0.2489E-08
0.1725E+04,0.1412E-06,0.5140E-08
0.1730E+04,0.2715E-06,0.9601E-08
0.1735E+04,0.4828E-06,0.1660E-07
0.1740E+04,0.8068E-06,0.2702E-07
0.1745E+04,0.1282E-05,0.4186E-07
0.1750E+04,0.1952E-05,0.6229E-07
0.1755E+04,0.2870E-05,0.8964E-07
0.1760E+04,0.4094E-05,0.1254E-06
0.1765E+04,0.5688E-05,0.1713E-06
0.1770E+04,0.7726E-05,0.2292E-06
0.1775E+04,0.1029E-04,0.3012E-06
0.1780E+04,0.1345E-04,0.3896E-06
0.1785E+04,0.1732E-04,0.4971E-06
0.1790E+04,0.2198E-04,0.6262E-06
0.1795E+04,0.2755E-04,0.7801E-06
0.1800E+04,0.3412E-04,0.9618E-06
0.1805E+04,0.4182E-04,0.1175E-05
0.1810E+04,0.5076E-04,0.1422E-05
0.1815E+04,0.6108E-04,0.1708E-05
0.1820E+04,0.7290E-04,0.2035E-05
0.1825E+04,0.8635E-04,0.2409E-05
0.1830E+04,0.1016E-03,0.2831E-05
0.1835E+04,0.1187E-03,0.3305E-05
0.1840E+04,0.1379E-03,0.3836E-05
0.1845E+04,0.1593E-03,0.4427E-05
0.1850E+04,0.1831E-03,0.5080E-05
0.1855E+04,0.2094E-03,0.5798E-05
0.1860E+04,0.2384E-03,0.6585E-05
0.1865E+04,0.2701E-03,0.7443E-05
0.1870E+04,0.3049E-03,0.8374E-05
0.1875E+04,0.3428E-03,0.9381E-05
0.1880E+04,0.3841E-03,0.1047E-04
0.1885E+04,0.4288E-03,0.1163E-04
0.1890E+04,0.4771E-03,0.1288E-04
0.1895E+04,0.5292E-03,0.1421E-04
0.1900E+04,0.5853E-03,0.1563E-04
0.1905E+04,0.6455E-03,0.1713E-04
0.1910E+04,0.7100E-03,0.1873E-04
0.1915E+04,0.7789E-03,0.2041E-04
0.1920E+04,0.8525E-03,0.2220E-04
0.1925E+04,0.9307E-03,0.2408E-04
0.1930E+04,0.1014E-02,0.2607E-04
0.1935E+04,0.1102E-02,0.2816E-04
0.1940E+04,0.1196E-02,0.3036E-04
0.1945E+04,0.1295E-02,0.3268E-04
0.1950E+04,0.1399E-02,0.3511E-04
0.1955E+04,0.1509E-02,0.3768E-04
0.1960E+04,0.1625E-02,0.4038E-04
0.1965E+04,0.1747E-02,0.4322E-04
0.1970E+04,0.1875E-02,0.4621E-04
0.1975E+04,0.2009E-02,0.4935E-04
0.1980E+04,0.2150E-02,0.5266E-04
0.1985E+04,0.2298E-02,0.5614E-04
0.1990E+04,0.2452E-02,0.5982E-04
0.1995E+04,0.2612E-02,0.6368E-04
0.2000E+04,0.2780E-02,0.6776E-04
0.2005E+04,0.2955E-02,0.7206E-04
0.2010E+04,0.3137E-02,0.7660E-04
0.2015E+04,0.3327E-02,0.8138E-04
0.2020E+04,0.3524E-02,0.8643E-04
0.2025E+04,0.3728E-02,0.9175E-04
0.2030E+04,0.3941E-02,0.9737E-04
0.2035E+04,0.4161E-02,0.1033E-03
0.2040E+04,0.4389E-02,0.1096E-03
0.2045E+04,0.4625E-02,0.1162E-03
0.2050E+04,0.4869E-02,0.1232E-03
0.2055E+04,0.5122E-02,0.1305E-03
0.2060E+04,0.5383E-02,0.1383E-03
0.2065E+04,0.5652E-02,0.1465E-03
0.2070E+04,0.5930E-02,0.1551E-03
0.2075E+04,0.6217E-02,0.1642E-03
0.2080E+04,0.6512E-02,0.1738E-03
0.2085E+04,0.6817E-02,0.1839E-03
0.2090E+04,0.7130E-02,0.1946E-03
0.2095E+04,0.7452E-02,0.2058E-03
0.2100E+04,0.7783E-02,0.2176E-03
0.2105E+04,0.8123E-02,0.2299E-03
0.2110E+04,0.8473E-02,0.2429E-03
0.2115E+04,0.8831E-02,0.2565E-03
0.2120E+04,0.9199E-02,0.2708E-03
0.2125E+04,0.9577E-02,0.2857E-03
0.2130E+04,0.9964E-02,0.3014E-03
0.2135E+04,0.1036E-01,0.3177E-03
0.2140E+04,0.1077E-01,0.3348E-03
0.2145E+04,0.1118E-01,0.3527E-03
0.2150E+04,0.1161E-01,0.3713E-03
0.2155E+04,0.1204E-01,0.3907E-03
0.2160E+04,0.1248E-01,0.4108E-03
0.2165E+04,0.1294E-01,0.4318E-03
0.2170E+04,0.1340E-01,0.4536E-03
0.2175E+04,0.1388E-01,0.4763E-03
0.2180E+04,0.1436E-01,0.4998E-03
0.2185E+04,0.1485E-01,0.5242E-03
0.2190E+04,0.1536E-01,0.5495E-03
0.2195E+04,0.1587E-01,0.5758E-03
0.2200E+04,0.1639E-01,0.6030E-03
