W,Re_T,Im_T
0.1690E+04,-0.1353E-03,0.7020E-04
0.1695E+04,-0.7558E-03,0.4642E-03
0.1700E+04,-0.1419E-02,0.1055E-02
0.1705E+04,-0.1947E-02,0.1807E-02
0.1710E+04,-0.2240E-02,0.2708E-02
0.1715E+04,-0.2234E-02,0.3757E-02
0.1720E+04,-0.1881E-02,0.4961E-02
0.1725E+04,-0.1147E-02,0.6331E-02
0.1730E+04,-0.6108E-05,0.7880E-02
0.1735E+04,0.1559E-02,0.9628E-02
0.1740E+04,0.3560E-02,0.1160E-01
0.1745E+04,0.6003E-02,0.1382E-01
0.1750E+04,0.8888E-02,0.1632E-01
0.1755E+04,0.1221E-01,0.1913E-01
0.1760E+04,0.1596E-01,0.2228E-01
0.1765E+04,0.2011E-01,0.2582E-01
0.1770E+04,0.2465E-01,0.2979E-01
0.1775E+04,0.2954E-01,0.3421E-01
0.1780E+04,0.3475E-01,0.3913E-01
0.1785E+04,0.4023E-01,0.4458E-01
0.1790E+04,0.4594E-01,0.5060E-01
0.1795E+04,0.5181E-01,0.5720E-01
0.1800E+04,0.5780E-01,0.6442E-01
0.1805E+04,0.6384E-01,0.7228E-01
0.1810E+04,0.6986E-01,0.8079E-01
0.1815E+04,0.7578E-01,0.8995E-01
0.1820E+04,0.8155E-01,0.9977E-01
0.1825E+04,0.8707E-01,0.1102E+00
0.1830E+04,0.9228E-01,0.1213E+00
0.1835E+04,0.9709E-01,0.1330E+00
0.1840E+04,0.1014E+00,0.1453E+00
0.1845E+04,0.1052E+00,0.1581E+00
0.1850E+04,0.1084E+00,0.1714E+00
0.1855E+04,0.1108E+00,0.1851E+00
0.1860E+04,0.1126E+00,0.1991E+00
0.1865E+04,0.1135E+00,0.2133E+00
0.1870E+04,0.1136E+00,0.2277E+00
0.1875E+04,0.1129E+00,0.2421E+00
0.1880E+04,0.1113E+00,0.2564E+00
0.1885E+04,0.1089E+00,0.2706E+00
0.1890E+04,0.1057E+00,0.2845E+00
0.1895E+04,0.1018E+00,0.2980E+00
0.1900E+04,0.9725E-01,0.3112E+00
0.1905E+04,0.9206E-01,0.3238E+00
0.1910E+04,0.8635E-01,0.3360E+00
0.1915E+04,0.8017E-01,0.3476E+00
0.1920E+04,0.7360E-01,0.3587E+00
0.1925E+04,0.6670E-01,0.3692E+00
0.1930E+04,0.5952E-01,0.3791E+00
0.1935E+04,0.5212E-01,0.3885E+00
0.1940E+04,0.4455E-01,0.3973E+00
0.1945E+04,0.3683E-01,0.4057E+00
0.1950E+04,0.2901E-01,0.4135E+00
0.1955E+04,0.2111E-01,0.4209E+00
0.1960E+04,0.1316E-01,0.4277E+00
0.1965E+04,0.5194E-02,0.4341E+00
0.1970E+04,-0.2776E-02,0.4400E+00
0.1975E+04,-0.1072E-01,0.4455E+00
0.1980E+04,-0.1861E-01,0.4505E+00
0.1985E+04,-0.2643E-01,0.4551E+00
0.1990E+04,-0.3414E-01,0.4594E+00
0.1995E+04,-0.4174E-01,0.4632E+00
0.2000E+04,-0.4918E-01,0.4667E+00
0.2005E+04,-0.5646E-01,0.4698E+00
0.2010E+04,-0.6356E-01,0.4726E+00
0.2015E+04,-0.7046E-01,0.4752E+00
0.2020E+04,-0.7715E-01,0.4774E+00
0.2025E+04,-0.8362E-01,0.4795E+00
0.2030E+04,-0.8987E-01,0.4814E+00
0.2035E+04,-0.9591E-01,0.4830E+00
0.2040E+04,-0.1017E+00,0.4846E+00
0.2045E+04,-0.1074E+00,0.4860E+00
0.2050E+04,-0.1128E+00,0.4874E+00
0.2055E+04,-0.1180E+00,0.4886E+00
0.2060E+04,-0.1231E+00,0.4898E+00
0.2065E+04,-0.1280E+00,0.4910E+00
0.2070E+04,-0.1328E+00,0.4922E+00
0.2075E+04,-0.1375E+00,0.4933E+00
0.2080E+04,-0.1421E+00,0.4944E+00
0.2085E+04,-0.1467E+00,0.4955E+00
0.2090E+04,-0.1511E+00,0.4966E+00
0.2095E+04,-0.1556E+00,0.4977E+00
0.2100E+04,-0.1600E+00,0.4987E+00
0.2105E+04,-0.1644E+00,0.4996E+00
0.2110E+04,-0.1688E+00,0.5006E+00
0.2115E+04,-0.1732E+00,0.5014E+00
0.2120E+04,-0.1776E+00,0.5021E+00
0.2125E+04,-0.1819E+00,0.5028E+00
0.2130E+04,-0.1863E+00,0.5033E+00
0.2135E+04,-0.1906E+00,0.5037E+00
0.2140E+04,-0.1950E+00,0.5039E+00
0.2145E+04,-0.1992E+00,0.5040E+00
0.2150E+04,-0.2034E+00,0.5040E+00
0.2155E+04,-0.2075E+00,0.5038E+00
0.2160E+04,-0.2115E+00,0.5034E+00
0.2165E+04,-0.2154E+00,0.5029E+00
0.2170E+04,-0.2191E+00,0.5023E+00
0.2175E+04,-0.2227E+00,0.5015E+00
0.2180E+04,-0.2261E+00,0.5006E+00
0.2185E+04,-0.2294E+00,0.4996E+00
0.2190E+04,-0.2324E+00,0.4986E+00
0.2195E+04,-0.2353E+00,0.4975E+00
0.2200E+04,-0.2380E+00,0.4963E+00
