W,Re_T,Im_T
0.1690E+04,-0.6444E-01,0.4436E-02
0.1695E+04,-0.1162E+00,0.1475E-01
0.1700E+04,-0.1481E+00,0.2397E-01
0.1705E+04,-0.1716E+00,0.3205E-01
0.1710E+04,-0.1900E+00,0.3936E-01
0.1715E+04,-0.2049E+00,0.4603E-01
0.1720E+04,-0.2175E+00,0.5209E-01
0.1725E+04,-0.2281E+00,0.5759E-01
0.1730E+04,-0.2372E+00,0.6257E-01
0.1735E+04,-0.2451E+00,0.6708E-01
0.1740E+04,-0.2519E+00,0.7117E-01
0.1745E+04,-0.2579E+00,0.7489E-01
0.1750E+04,-0.2631E+00,0.7827E-01
0.1755E+04,-0.2678E+00,0.8137E-01
0.1760E+04,-0.2719E+00,0.8421E-01
0.1765E+04,-0.2755E+00,0.8682E-01
0.1770E+04,-0.2787E+00,0.8924E-01
0.1775E+04,-0.2817E+00,0.9147E-01
0.1780E+04,-0.2843E+00,0.9354E-01
0.1785E+04,-0.2867E+00,0.9546E-01
0.1790E+04,-0.2889E+00,0.9724E-01
0.1795E+04,-0.2909E+00,0.9888E-01
0.1800E+04,-0.2928E+00,0.1004E+00
0.1805E+04,-0.2945E+00,0.1018E+00
0.1810E+04,-0.2962E+00,0.1030E+00
0.1815E+04,-0.2977E+00,0.1042E+00
0.1820E+04,-0.2991E+00,0.1052E+00
0.1825E+04,-0.3004E+00,0.1061E+00
0.1830E+04,-0.3017E+00,0.1070E+00
0.1835E+04,-0.3028E+00,0.1077E+00
0.1840E+04,-0.3039E+00,0.1083E+00
0.1845E+04,-0.3048E+00,0.1089E+00
0.1850E+04,-0.3057E+00,0.1095E+00
0.1855E+04,-0.3065E+00,0.1099E+00
0.1860E+04,-0.3072E+00,0.1104E+00
0.1865E+04,-0.3079E+00,0.1108E+00
0.1870E+04,-0.3084E+00,0.1112E+00
0.1875E+04,-0.3090E+00,0.1116E+00
0.1880E+04,-0.3094E+00,0.1120E+00
0.1885E+04,-0.3099E+00,0.1124E+00
0.1890E+04,-0.3103E+00,0.1128E+00
0.1895E+04,-0.3106E+00,0.1132E+00
0.1900E+04,-0.3110E+00,0.1136E+00
0.1905E+04,-0.3113E+00,0.1140E+00
0.1910E+04,-0.3117E+00,0.1144E+00
0.1915E+04,-0.3120E+00,0.1149E+00
0.1920E+04,-0.3123E+00,0.1153E+00
0.1925E+04,-0.3127E+00,0.1158E+00
0.1930E+04,-0.3130E+00,0.1163E+00
0.1935E+04,-0.3134E+00,0.1167E+00
0.1940E+04,-0.3137E+00,0.1172E+00
0.1945E+04,-0.3141E+00,0.1176E+00
0.1950E+04,-0.3145E+00,0.1180E+00
0.1955E+04,-0.3149E+00,0.1184E+00
0.1960E+04,-0.3154E+00,0.1188E+00
0.1965E+04,-0.3158E+00,0.1192E+00
0.1970E+04,-0.3162E+00,0.1195E+00
0.1975E+04,-0.3166E+00,0.1198E+00
0.1980E+04,-0.3171E+00,0.1202E+00
0.1985E+04,-0.3175E+00,0.1204E+00
0.1990E+04,-0.3179E+00,0.1207E+00
0.1995E+04,-0.3183E+00,0.1209E+00
0.2000E+04,-0.3186E+00,0.1211E+00
0.2005E+04,-0.3190E+00,0.1213E+00
0.2010E+04,-0.3194E+00,0.1215E+00
0.2015E+04,-0.3197E+00,0.1217E+00
0.2020E+04,-0.3200E+00,0.1218E+00
0.2025E+04,-0.3203E+00,0.1220E+00
0.2030E+04,-0.3206E+00,0.1221E+00
0.2035E+04,-0.3208E+00,0.1223E+00
0.2040E+04,-0.3211E+00,0.1224E+00
0.2045E+04,-0.3213E+00,0.1225E+00
0.2050E+04,-0.3215E+00,0.1227E+00
0.2055E+04,-0.3217E+00,0.1228E+00
0.2060E+04,-0.3219E+00,0.1229E+00
0.2065E+04,-0.3220E+00,0.1231E+00
0.2070E+04,-0.3222E+00,0.1232E+00
0.2075E+04,-0.3223E+00,0.1233E+00
0.2080E+04,-0.3225E+00,0.1235E+00
0.2085E+04,-0.3226E+00,0.1236E+00
0.2090E+04,-0.3227E+00,0.1237E+00
0.2095E+04,-0.3229E+00,0.1239E+00
0.2100E+04,-0.3230E+00,0.1240E+00
0.2105E+04,-0.3231E+00,0.1241E+00
0.2110E+04,-0.3232E+00,0.1242E+00
0.2115E+04,-0.3232E+00,0.1243E+00
0.2120E+04,-0.3233E+00,0.1244E+00
0.2125E+04,-0.3234E+00,0.1245E+00
0.2130E+04,-0.3235E+00,0.1246E+00
0.2135E+04,-0.3235E+00,0.1247E+00
0.2140E+04,-0.3236E+00,0.1247E+00
0.2145E+04,-0.3236E+00,0.1247E+00
0.2150E+04,-0.3236E+00,0.1248E+00
0.2155E+04,-0.3236E+00,0.1248E+00
0.2160E+04,-0.3236E+00,0.1248E+00
0.2165E+04,-0.3235E+00,0.1248E+00
0.2170E+04,-0.3234E+00,0.1248E+00
0.2175E+04,-0.3234E+00,0.1247E+00
0.2180E+04,-0.3232E+00,0.1247E+00
0.2185E+04,-0.3231E+00,0.1246E+00
0.2190E+04,-0.3229E+00,0.1246E+00
0.2195E+04,-0.3227E+00,0.1245E+00
0.2200E+04,-0.3225E+00,0.1244E+00
