W,Re_T,Im_T
0.1615E+04,-0.3816E-03,0.4553E-05
0.1620E+04,-0.9857E-03,0.1593E-04
0.1625E+04,-0.1662E-02,0.3500E-04
0.1630E+04,-0.2382E-02,0.6335E-04
0.1635E+04,-0.3131E-02,0.1023E-03
0.1640E+04,-0.3902E-02,0.1529E-03
0.1645E+04,-0.4689E-02,0.2153E-03
0.1650E+04,-0.5492E-02,0.2891E-03
0.1655E+04,-0.6307E-02,0.3729E-03
0.1660E+04,-0.7135E-02,0.4645E-03
0.1665E+04,-0.7974E-02,0.5614E-03
0.1670E+04,-0.8823E-02,0.6607E-03
0.1675E+04,-0.9679E-02,0.7596E-03
0.1680E+04,-0.1054E-01,0.8558E-03
0.1685E+04,-0.1141E-01,0.9472E-03
0.1690E+04,-0.1227E-01,0.1033E-02
0.1695E+04,-0.1313E-01,0.1111E-02
0.1700E+04,-0.1399E-01,0.1182E-02
0.1705E+04,-0.1485E-01,0.1247E-02
0.1710E+04,-0.1569E-01,0.1304E-02
0.1715E+04,-0.1653E-01,0.1355E-02
0.1720E+04,-0.1735E-01,0.1400E-02
0.1725E+04,-0.1816E-01,0.1439E-02
0.1730E+04,-0.1897E-01,0.1474E-02
0.1735E+04,-0.1976E-01,0.1504E-02
0.1740E+04,-0.2054E-01,0.1530E-02
0.1745E+04,-0.2130E-01,0.1552E-02
0.1750E+04,-0.2205E-01,0.1571E-02
0.1755E+04,-0.2279E-01,0.1587E-02
0.1760E+04,-0.2352E-01,0.1600E-02
0.1765E+04,-0.2424E-01,0.1611E-02
0.1770E+04,-0.2494E-01,0.1620E-02
0.1775E+04,-0.2564E-01,0.1626E-02
0.1780E+04,-0.2632E-01,0.1631E-02
0.1785E+04,-0.2699E-01,0.1634E-02
0.1790E+04,-0.2764E-01,0.1636E-02
0.1795E+04,-0.2829E-01,0.1636E-02
0.1800E+04,-0.2893E-01,0.1634E-02
0.1805E+04,-0.2955E-01,0.1631E-02
0.1810E+04,-0.3017E-01,0.1627E-02
0.1815E+04,-0.3078E-01,0.1622E-02
0.1820E+04,-0.3137E-01,0.1616E-02
0.1825E+04,-0.3196E-01,0.1608E-02
0.1830E+04,-0.3253E-01,0.1600E-02
0.1835E+04,-0.3310E-01,0.1590E-02
0.1840E+04,-0.3366E-01,0.1579E-02
0.1845E+04,-0.3421E-01,0.1567E-02
0.1850E+04,-0.3475E-01,0.1554E-02
0.1855E+04,-0.3528E-01,0.1540E-02
0.1860E+04,-0.3581E-01,0.1525E-02
0.1865E+04,-0.3633E-01,0.1508E-02
0.1870E+04,-0.3684E-01,0.1491E-02
0.1875E+04,-0.3734E-01,0.1473E-02
0.1880E+04,-0.3784E-01,0.1454E-02
0.1885E+04,-0.3833E-01,0.1433E-02
0.1890E+04,-0.3881E-01,0.1412E-02
0.1895E+04,-0.3929E-01,0.1389E-02
0.1900E+04,-0.3976E-01,0.1365E-02
0.1905E+04,-0.4022E-01,0.1340E-02
0.1910E+04,-0.4068E-01,0.1314E-02
0.1915E+04,-0.4113E-01,0.1286E-02
0.1920E+04,-0.4158E-01,0.1257E-02
0.1925E+04,-0.4202E-01,0.1226E-02
0.1930E+04,-0.4246E-01,0.1193E-02
0.1935E+04,-0.4290E-01,0.1159E-02
0.1940E+04,-0.4332E-01,0.1122E-02
0.1945E+04,-0.4375E-01,0.1084E-02
0.1950E+04,-0.4417E-01,0.1044E-02
0.1955E+04,-0.4458E-01,0.1001E-02
