W,Re_T,Im_T
0.1615E+04,-0.3878E-04,0.2502E-06
0.1620E+04,-0.1485E-03,0.1142E-05
0.1625E+04,-0.3130E-03,0.2856E-05
0.1630E+04,-0.5247E-03,0.5655E-05
0.1635E+04,-0.7786E-03,0.9843E-05
0.1640E+04,-0.1071E-02,0.1574E-04
0.1645E+04,-0.1398E-02,0.2363E-04
0.1650E+04,-0.1759E-02,0.3369E-04
0.1655E+04,-0.2150E-02,0.4594E-04
0.1660E+04,-0.2570E-02,0.6013E-04
0.1665E+04,-0.3017E-02,0.7578E-04
0.1670E+04,-0.3490E-02,0.9218E-04
0.1675E+04,-0.3987E-02,0.1085E-03
0.1680E+04,-0.4506E-02,0.1241E-03
0.1685E+04,-0.5045E-02,0.1383E-03
0.1690E+04,-0.5601E-02,0.1507E-03
0.1695E+04,-0.6173E-02,0.1612E-03
0.1700E+04,-0.6760E-02,0.1699E-03
0.1705E+04,-0.7359E-02,0.1768E-03
0.1710E+04,-0.7968E-02,0.1823E-03
0.1715E+04,-0.8588E-02,0.1865E-03
0.1720E+04,-0.9216E-02,0.1896E-03
0.1725E+04,-0.9852E-02,0.1919E-03
0.1730E+04,-0.1049E-01,0.1936E-03
0.1735E+04,-0.1114E-01,0.1947E-03
0.1740E+04,-0.1180E-01,0.1953E-03
0.1745E+04,-0.1245E-01,0.1957E-03
0.1750E+04,-0.1312E-01,0.1958E-03
0.1755E+04,-0.1378E-01,0.1956E-03
0.1760E+04,-0.1445E-01,0.1953E-03
0.1765E+04,-0.1512E-01,0.1949E-03
0.1770E+04,-0.1579E-01,0.1944E-03
0.1775E+04,-0.1646E-01,0.1937E-03
0.1780E+04,-0.1714E-01,0.1930E-03
0.1785E+04,-0.1781E-01,0.1922E-03
0.1790E+04,-0.1849E-01,0.1913E-03
0.1795E+04,-0.1916E-01,0.1903E-03
0.1800E+04,-0.1984E-01,0.1892E-03
0.1805E+04,-0.2051E-01,0.1881E-03
0.1810E+04,-0.2118E-01,0.1868E-03
0.1815E+04,-0.2185E-01,0.1855E-03
0.1820E+04,-0.2252E-01,0.1840E-03
0.1825E+04,-0.2319E-01,0.1824E-03
0.1830E+04,-0.2385E-01,0.1807E-03
0.1835E+04,-0.2451E-01,0.1789E-03
0.1840E+04,-0.2517E-01,0.1769E-03
0.1845E+04,-0.2583E-01,0.1748E-03
0.1850E+04,-0.2649E-01,0.1726E-03
0.1855E+04,-0.2714E-01,0.1703E-03
0.1860E+04,-0.2779E-01,0.1679E-03
0.1865E+04,-0.2843E-01,0.1653E-03
0.1870E+04,-0.2907E-01,0.1627E-03
0.1875E+04,-0.2971E-01,0.1600E-03
0.1880E+04,-0.3034E-01,0.1572E-03
