W,Re_T,Im_T
0.1615E+04,-0.1154E-05,0.8333E-11
0.1620E+04,-0.6504E-05,0.6321E-10
0.1625E+04,-0.1700E-04,0.2199E-09
0.1630E+04,-0.3312E-04,0.5635E-09
0.1635E+04,-0.5514E-04,0.1220E-08
0.1640E+04,-0.8322E-04,0.2368E-08
0.1645E+04,-0.1174E-03,0.4253E-08
0.1650E+04,-0.1578E-03,0.7197E-08
0.1655E+04,-0.2044E-03,0.1162E-07
0.1660E+04,-0.2570E-03,0.1807E-07
0.1665E+04,-0.3157E-03,0.2719E-07
0.1670E+04,-0.3802E-03,0.3981E-07
0.1675E+04,-0.4505E-03,0.5690E-07
0.1680E+04,-0.5264E-03,0.7965E-07
0.1685E+04,-0.6077E-03,0.1094E-06
0.1690E+04,-0.6944E-03,0.1478E-06
0.1695E+04,-0.7861E-03,0.1967E-06
0.1700E+04,-0.8827E-03,0.2582E-06
0.1705E+04,-0.9842E-03,0.3347E-06
0.1710E+04,-0.1090E-02,0.4288E-06
0.1715E+04,-0.1200E-02,0.5437E-06
0.1720E+04,-0.1315E-02,0.6826E-06
0.1725E+04,-0.1434E-02,0.8494E-06
0.1730E+04,-0.1556E-02,0.1048E-05
0.1735E+04,-0.1682E-02,0.1284E-05
0.1740E+04,-0.1811E-02,0.1560E-05
0.1745E+04,-0.1944E-02,0.1885E-05
0.1750E+04,-0.2080E-02,0.2263E-05
0.1755E+04,-0.2218E-02,0.2701E-05
0.1760E+04,-0.2360E-02,0.3208E-05
0.1765E+04,-0.2504E-02,0.3791E-05
0.1770E+04,-0.2650E-02,0.4461E-05
0.1775E+04,-0.2799E-02,0.5228E-05
0.1780E+04,-0.2949E-02,0.6104E-05
0.1785E+04,-0.3102E-02,0.7102E-05
0.1790E+04,-0.3256E-02,0.8237E-05
0.1795E+04,-0.3412E-02,0.9525E-05
0.1800E+04,-0.3570E-02,0.1098E-04
0.1805E+04,-0.3728E-02,0.1264E-04
0.1810E+04,-0.3888E-02,0.1450E-04
0.1815E+04,-0.4049E-02,0.1660E-04
0.1820E+04,-0.4211E-02,0.1897E-04
0.1825E+04,-0.4374E-02,0.2163E-04
0.1830E+04,-0.4537E-02,0.2462E-04
0.1835E+04,-0.4701E-02,0.2796E-04
0.1840E+04,-0.4866E-02,0.3170E-04
0.1845E+04,-0.5030E-02,0.3587E-04
0.1850E+04,-0.5195E-02,0.4053E-04
0.1855E+04,-0.5360E-02,0.4570E-04
0.1860E+04,-0.5525E-02,0.5144E-04
0.1865E+04,-0.5690E-02,0.5781E-04
0.1870E+04,-0.5854E-02,0.6484E-04
0.1875E+04,-0.6018E-02,0.7260E-04
0.1880E+04,-0.6182E-02,0.8115E-04
0.1885E+04,-0.6346E-02,0.9054E-04
0.1890E+04,-0.6509E-02,0.1008E-03
0.1895E+04,-0.6671E-02,0.1121E-03
0.1900E+04,-0.6833E-02,0.1244E-03
0.1905E+04,-0.6993E-02,0.1379E-03
0.1910E+04,-0.7154E-02,0.1525E-03
0.1915E+04,-0.7313E-02,0.1684E-03
0.1920E+04,-0.7471E-02,0.1856E-03
0.1925E+04,-0.7629E-02,0.2043E-03
0.1930E+04,-0.7785E-02,0.2245E-03
0.1935E+04,-0.7941E-02,0.2463E-03
0.1940E+04,-0.8095E-02,0.2698E-03
0.1945E+04,-0.8248E-02,0.2951E-03
0.1950E+04,-0.8401E-02,0.3222E-03
0.1955E+04,-0.8552E-02,0.3514E-03
0.1960E+04,-0.8702E-02,0.3826E-03
0.1965E+04,-0.8851E-02,0.4160E-03
0.1970E+04,-0.8999E-02,0.4517E-03
0.1975E+04,-0.9146E-02,0.4899E-03
0.1980E+04,-0.9292E-02,0.5305E-03
0.1985E+04,-0.9437E-02,0.5738E-03
0.1990E+04,-0.9581E-02,0.6198E-03
0.1995E+04,-0.9724E-02,0.6688E-03
0.2000E+04,-0.9866E-02,0.7208E-03
0.2005E+04,-0.1001E-01,0.7760E-03
0.2010E+04,-0.1015E-01,0.8346E-03
0.2015E+04,-0.1029E-01,0.8968E-03
0.2020E+04,-0.1043E-01,0.9628E-03
0.2025E+04,-0.1056E-01,0.1033E-02
0.2030E+04,-0.1070E-01,0.1107E-02
0.2035E+04,-0.1084E-01,0.1185E-02
0.2040E+04,-0.1098E-01,0.1269E-02
0.2045E+04,-0.1112E-01,0.1357E-02
0.2050E+04,-0.1126E-01,0.1450E-02
0.2055E+04,-0.1140E-01,0.1548E-02
0.2060E+04,-0.1154E-01,0.1651E-02
0.2065E+04,-0.1168E-01,0.1761E-02
0.2070E+04,-0.1183E-01,0.1875E-02
0.2075E+04,-0.1198E-01,0.1996E-02
0.2080E+04,-0.1213E-01,0.2122E-02
0.2085E+04,-0.1229E-01,0.2253E-02
0.2090E+04,-0.1245E-01,0.2389E-02
0.2095E+04,-0.1262E-01,0.2530E-02
0.2100E+04,-0.1279E-01,0.2675E-02
0.2105E+04,-0.1297E-01,0.2824E-02
0.2110E+04,-0.1316E-01,0.2976E-02
0.2115E+04,-0.1336E-01,0.3130E-02
0.2120E+04,-0.1356E-01,0.3285E-02
0.2125E+04,-0.1377E-01,0.3440E-02
0.2130E+04,-0.1399E-01,0.3596E-02
0.2135E+04,-0.1421E-01,0.3749E-02
0.2140E+04,-0.1445E-01,0.3901E-02
0.2145E+04,-0.1469E-01,0.4049E-02
0.2150E+04,-0.1494E-01,0.4194E-02
0.2155E+04,-0.1519E-01,0.4335E-02
0.2160E+04,-0.1544E-01,0.4472E-02
0.2165E+04,-0.1570E-01,0.4603E-02
0.2170E+04,-0.1597E-01,0.4731E-02
0.2175E+04,-0.1623E-01,0.4853E-02
0.2180E+04,-0.1650E-01,0.4971E-02
0.2185E+04,-0.1677E-01,0.5085E-02
0.2190E+04,-0.1704E-01,0.5195E-02
0.2195E+04,-0.1731E-01,0.5302E-02
0.2200E+04,-0.1758E-01,0.5405E-02
