W,Re_T,Im_T
0.1615E+04,-0.1220E-06,-0.2392E-12
0.1620E+04,-0.1020E-05,-0.2381E-11
0.1625E+04,-0.3334E-05,-0.9206E-11
0.1630E+04,-0.7603E-05,-0.2468E-10
0.1635E+04,-0.1430E-04,-0.5431E-10
0.1640E+04,-0.2387E-04,-0.1055E-09
0.1645E+04,-0.3668E-04,-0.1878E-09
0.1650E+04,-0.5310E-04,-0.3137E-09
0.1655E+04,-0.7342E-04,-0.4990E-09
0.1660E+04,-0.9794E-04,-0.7634E-09
0.1665E+04,-0.1269E-03,-0.1131E-08
0.1670E+04,-0.1605E-03,-0.1633E-08
0.1675E+04,-0.1990E-03,-0.2304E-08
0.1680E+04,-0.2425E-03,-0.3191E-08
0.1685E+04,-0.2911E-03,-0.4345E-08
0.1690E+04,-0.3450E-03,-0.5831E-08
0.1695E+04,-0.4043E-03,-0.7724E-08
0.1700E+04,-0.4691E-03,-0.1011E-07
0.1705E+04,-0.5394E-03,-0.1310E-07
0.1710E+04,-0.6153E-03,-0.1680E-07
0.1715E+04,-0.6968E-03,-0.2136E-07
0.1720E+04,-0.7839E-03,-0.2693E-07
0.1725E+04,-0.8766E-03,-0.3368E-07
0.1730E+04,-0.9750E-03,-0.4181E-07
0.1735E+04,-0.1079E-02,-0.5154E-07
0.1740E+04,-0.1189E-02,-0.6311E-07
0.1745E+04,-0.1304E-02,-0.7678E-07
0.1750E+04,-0.1424E-02,-0.9284E-07
0.1755E+04,-0.1551E-02,-0.1116E-06
0.1760E+04,-0.1682E-02,-0.1334E-06
0.1765E+04,-0.1819E-02,-0.1587E-06
0.1770E+04,-0.1961E-02,-0.1877E-06
0.1775E+04,-0.2109E-02,-0.2210E-06
0.1780E+04,-0.2262E-02,-0.2589E-06
0.1785E+04,-0.2419E-02,-0.3020E-06
0.1790E+04,-0.2582E-02,-0.3509E-06
0.1795E+04,-0.2749E-02,-0.4060E-06
0.1800E+04,-0.2922E-02,-0.4679E-06
0.1805E+04,-0.3099E-02,-0.5373E-06
0.1810E+04,-0.3281E-02,-0.6149E-06
0.1815E+04,-0.3467E-02,-0.7013E-06
0.1820E+04,-0.3658E-02,-0.7972E-06
0.1825E+04,-0.3853E-02,-0.9035E-06
0.1830E+04,-0.4052E-02,-0.1021E-05
0.1835E+04,-0.4256E-02,-0.1150E-05
0.1840E+04,-0.4464E-02,-0.1293E-05
0.1845E+04,-0.4675E-02,-0.1449E-05
0.1850E+04,-0.4891E-02,-0.1619E-05
0.1855E+04,-0.5110E-02,-0.1806E-05
0.1860E+04,-0.5333E-02,-0.2008E-05
0.1865E+04,-0.5560E-02,-0.2229E-05
0.1870E+04,-0.5790E-02,-0.2467E-05
0.1875E+04,-0.6024E-02,-0.2726E-05
0.1880E+04,-0.6261E-02,-0.3005E-05
0.1885E+04,-0.6501E-02,-0.3305E-05
0.1890E+04,-0.6744E-02,-0.3628E-05
0.1895E+04,-0.6991E-02,-0.3975E-05
0.1900E+04,-0.7240E-02,-0.4346E-05
0.1905E+04,-0.7493E-02,-0.4744E-05
0.1910E+04,-0.7748E-02,-0.5169E-05
0.1915E+04,-0.8005E-02,-0.5622E-05
0.1920E+04,-0.8266E-02,-0.6105E-05
0.1925E+04,-0.8528E-02,-0.6619E-05
0.1930E+04,-0.8794E-02,-0.7164E-05
0.1935E+04,-0.9062E-02,-0.7744E-05
0.1940E+04,-0.9332E-02,-0.8359E-05
0.1945E+04,-0.9604E-02,-0.9010E-05
0.1950E+04,-0.9878E-02,-0.9699E-05
0.1955E+04,-0.1016E-01,-0.1043E-04
0.1960E+04,-0.1043E-01,-0.1120E-04
