W,Re_T,Im_T
0.1615E+04,-0.1666E-02,-0.2247E-04
0.1620E+04,-0.2831E-02,-0.2947E-04
0.1625E+04,-0.3729E-02,-0.2342E-04
0.1630E+04,-0.4460E-02,-0.3823E-05
0.1635E+04,-0.5073E-02,0.3108E-04
0.1640E+04,-0.5595E-02,0.8365E-04
0.1645E+04,-0.6049E-02,0.1566E-03
0.1650E+04,-0.6452E-02,0.2528E-03
0.1655E+04,-0.6818E-02,0.3752E-03
0.1660E+04,-0.7161E-02,0.5260E-03
0.1665E+04,-0.7495E-02,0.7067E-03
0.1670E+04,-0.7833E-02,0.9174E-03
0.1675E+04,-0.8189E-02,0.1156E-02
0.1680E+04,-0.8576E-02,0.1417E-02
0.1685E+04,-0.9006E-02,0.1692E-02
0.1690E+04,-0.9491E-02,0.1968E-02
0.1695E+04,-0.1003E-01,0.2225E-02
0.1700E+04,-0.1061E-01,0.2456E-02
0.1705E+04,-0.1125E-01,0.2648E-02
0.1710E+04,-0.1192E-01,0.2791E-02
0.1715E+04,-0.1262E-01,0.2878E-02
0.1720E+04,-0.1333E-01,0.2907E-02
0.1725E+04,-0.1404E-01,0.2880E-02
0.1730E+04,-0.1473E-01,0.2804E-02
0.1735E+04,-0.1541E-01,0.2684E-02
0.1740E+04,-0.1607E-01,0.2529E-02
0.1745E+04,-0.1670E-01,0.2349E-02
0.1750E+04,-0.1730E-01,0.2149E-02
0.1755E+04,-0.1788E-01,0.1938E-02
0.1760E+04,-0.1843E-01,0.1719E-02
0.1765E+04,-0.1896E-01,0.1499E-02
0.1770E+04,-0.1947E-01,0.1279E-02
0.1775E+04,-0.1996E-01,0.1063E-02
0.1780E+04,-0.2043E-01,0.8533E-03
0.1785E+04,-0.2090E-01,0.6505E-03
0.1790E+04,-0.2135E-01,0.4560E-03
0.1795E+04,-0.2179E-01,0.2705E-03
0.1800E+04,-0.2222E-01,0.9447E-04
0.1805E+04,-0.2264E-01,-0.7191E-04
0.1810E+04,-0.2306E-01,-0.2285E-03
0.1815E+04,-0.2348E-01,-0.3752E-03
0.1820E+04,-0.2389E-01,-0.5121E-03
0.1825E+04,-0.2430E-01,-0.6393E-03
0.1830E+04,-0.2470E-01,-0.7568E-03
0.1835E+04,-0.2511E-01,-0.8649E-03
0.1840E+04,-0.2551E-01,-0.9635E-03
0.1845E+04,-0.2591E-01,-0.1053E-02
0.1850E+04,-0.2631E-01,-0.1133E-02
0.1855E+04,-0.2671E-01,-0.1205E-02
0.1860E+04,-0.2712E-01,-0.1269E-02
0.1865E+04,-0.2752E-01,-0.1324E-02
0.1870E+04,-0.2792E-01,-0.1371E-02
0.1875E+04,-0.2833E-01,-0.1411E-02
0.1880E+04,-0.2874E-01,-0.1444E-02
0.1885E+04,-0.2915E-01,-0.1471E-02
0.1890E+04,-0.2956E-01,-0.1492E-02
0.1895E+04,-0.2998E-01,-0.1508E-02
0.1900E+04,-0.3040E-01,-0.1519E-02
0.1905E+04,-0.3082E-01,-0.1526E-02
0.1910E+04,-0.3124E-01,-0.1529E-02
0.1915E+04,-0.3167E-01,-0.1530E-02
0.1920E+04,-0.3210E-01,-0.1527E-02
0.1925E+04,-0.3253E-01,-0.1523E-02
0.1930E+04,-0.3296E-01,-0.1517E-02
0.1935E+04,-0.3340E-01,-0.1509E-02
0.1940E+04,-0.3383E-01,-0.1499E-02
0.1945E+04,-0.3426E-01,-0.1489E-02
0.1950E+04,-0.3470E-01,-0.1478E-02
0.1955E+04,-0.3513E-01,-0.1466E-02
0.1960E+04,-0.3557E-01,-0.1453E-02
0.1965E+04,-0.3600E-01,-0.1439E-02
0.1970E+04,-0.3643E-01,-0.1425E-02
0.1975E+04,-0.3687E-01,-0.1410E-02
0.1980E+04,-0.3730E-01,-0.1394E-02
0.1985E+04,-0.3773E-01,-0.1378E-02
0.1990E+04,-0.3816E-01,-0.1361E-02
0.1995E+04,-0.3858E-01,-0.1343E-02
0.2000E+04,-0.3901E-01,-0.1325E-02
0.2005E+04,-0.3943E-01,-0.1307E-02
0.2010E+04,-0.3985E-01,-0.1288E-02
0.2015E+04,-0.4027E-01,-0.1268E-02
0.2020E+04,-0.4070E-01,-0.1248E-02
0.2025E+04,-0.4111E-01,-0.1228E-02
0.2030E+04,-0.4153E-01,-0.1208E-02
0.2035E+04,-0.4194E-01,-0.1188E-02
0.2040E+04,-0.4235E-01,-0.1167E-02
0.2045E+04,-0.4277E-01,-0.1147E-02
0.2050E+04,-0.4317E-01,-0.1127E-02
0.2055E+04,-0.4358E-01,-0.1108E-02
0.2060E+04,-0.4399E-01,-0.1089E-02
0.2065E+04,-0.4439E-01,-0.1070E-02
0.2070E+04,-0.4479E-01,-0.1051E-02
0.2075E+04,-0.4518E-01,-0.1034E-02
0.2080E+04,-0.4558E-01,-0.1017E-02
0.2085E+04,-0.4597E-01,-0.1000E-02
0.2090E+04,-0.4636E-01,-0.9848E-03
0.2095E+04,-0.4675E-01,-0.9700E-03
0.2100E+04,-0.4713E-01,-0.9560E-03
0.2105E+04,-0.4751E-01,-0.9427E-03
0.2110E+04,-0.4788E-01,-0.9301E-03
0.2115E+04,-0.4826E-01,-0.9182E-03
0.2120E+04,-0.4863E-01,-0.9069E-03
0.2125E+04,-0.4899E-01,-0.8961E-03
0.2130E+04,-0.4935E-01,-0.8857E-03
0.2135E+04,-0.4971E-01,-0.8755E-03
0.2140E+04,-0.5006E-01,-0.8654E-03
0.2145E+04,-0.5041E-01,-0.8552E-03
0.2150E+04,-0.5076E-01,-0.8448E-03
0.2155E+04,-0.5110E-01,-0.8339E-03
0.2160E+04,-0.5144E-01,-0.8224E-03
0.2165E+04,-0.5177E-01,-0.8102E-03
0.2170E+04,-0.5210E-01,-0.7970E-03
0.2175E+04,-0.5242E-01,-0.7828E-03
0.2180E+04,-0.5275E-01,-0.7673E-03
0.2185E+04,-0.5306E-01,-0.7507E-03
0.2190E+04,-0.5338E-01,-0.7327E-03
0.2195E+04,-0.5369E-01,-0.7134E-03
0.2200E+04,-0.5400E-01,-0.6928E-03
