W,Re_T,Im_T
0.1615E+04,-0.7397E-01,0.4439E-01
0.1620E+04,-0.8808E-01,0.5059E-01
0.1625E+04,-0.9600E-01,0.5278E-01
0.1630E+04,-0.1007E+00,0.5313E-01
0.1635E+04,-0.1032E+00,0.5253E-01
0.1640E+04,-0.1040E+00,0.5150E-01
0.1645E+04,-0.1033E+00,0.5042E-01
0.1650E+04,-0.1015E+00,0.4957E-01
0.1655E+04,-0.9871E-01,0.4918E-01
0.1660E+04,-0.9526E-01,0.4938E-01
0.1665E+04,-0.9134E-01,0.5024E-01
0.1670E+04,-0.8712E-01,0.5176E-01
0.1675E+04,-0.8260E-01,0.5373E-01
0.1680E+04,-0.7700E-01,0.5582E-01
0.1685E+04,-0.6678E-01,0.6025E-01
0.1690E+04,-0.6246E-01,0.8308E-01
0.1695E+04,-0.7400E-01,0.9054E-01
0.1700E+04,-0.8045E-01,0.9223E-01
0.1705E+04,-0.8453E-01,0.9323E-01
0.1710E+04,-0.8759E-01,0.9399E-01
0.1715E+04,-0.9006E-01,0.9460E-01
0.1720E+04,-0.9217E-01,0.9513E-01
0.1725E+04,-0.9404E-01,0.9559E-01
0.1730E+04,-0.9576E-01,0.9600E-01
0.1735E+04,-0.9740E-01,0.9635E-01
0.1740E+04,-0.9897E-01,0.9664E-01
0.1745E+04,-0.1005E+00,0.9685E-01
0.1750E+04,-0.1020E+00,0.9697E-01
0.1755E+04,-0.1035E+00,0.9701E-01
0.1760E+04,-0.1050E+00,0.9697E-01
0.1765E+04,-0.1065E+00,0.9684E-01
0.1770E+04,-0.1079E+00,0.9663E-01
0.1775E+04,-0.1093E+00,0.9633E-01
0.1780E+04,-0.1107E+00,0.9595E-01
0.1785E+04,-0.1120E+00,0.9551E-01
0.1790E+04,-0.1134E+00,0.9499E-01
0.1795E+04,-0.1147E+00,0.9441E-01
0.1800E+04,-0.1159E+00,0.9377E-01
0.1805E+04,-0.1171E+00,0.9307E-01
0.1810E+04,-0.1183E+00,0.9234E-01
0.1815E+04,-0.1194E+00,0.9156E-01
0.1820E+04,-0.1205E+00,0.9075E-01
0.1825E+04,-0.1215E+00,0.8990E-01
0.1830E+04,-0.1225E+00,0.8904E-01
0.1835E+04,-0.1234E+00,0.8816E-01
0.1840E+04,-0.1244E+00,0.8726E-01
0.1845E+04,-0.1252E+00,0.8635E-01
