W,Re_T,Im_T
0.1690E+04,-0.1307E-03,-0.4699E-04
0.1695E+04,-0.6077E-03,-0.2236E-03
0.1700E+04,-0.1158E-02,-0.4363E-03
0.1705E+04,-0.1740E-02,-0.6714E-03
0.1710E+04,-0.2336E-02,-0.9235E-03
0.1715E+04,-0.2937E-02,-0.1189E-02
0.1720E+04,-0.3535E-02,-0.1467E-02
0.1725E+04,-0.4127E-02,-0.1755E-02
0.1730E+04,-0.4710E-02,-0.2053E-02
0.1735E+04,-0.5282E-02,-0.2358E-02
0.1740E+04,-0.5840E-02,-0.2670E-02
0.1745E+04,-0.6385E-02,-0.2988E-02
0.1750E+04,-0.6915E-02,-0.3311E-02
0.1755E+04,-0.7431E-02,-0.3637E-02
0.1760E+04,-0.7931E-02,-0.3967E-02
0.1765E+04,-0.8418E-02,-0.4299E-02
0.1770E+04,-0.8890E-02,-0.4632E-02
0.1775E+04,-0.9349E-02,-0.4966E-02
0.1780E+04,-0.9795E-02,-0.5301E-02
0.1785E+04,-0.1023E-01,-0.5637E-02
0.1790E+04,-0.1065E-01,-0.5972E-02
0.1795E+04,-0.1106E-01,-0.6308E-02
0.1800E+04,-0.1146E-01,-0.6644E-02
0.1805E+04,-0.1185E-01,-0.6980E-02
0.1810E+04,-0.1223E-01,-0.7316E-02
0.1815E+04,-0.1260E-01,-0.7652E-02
0.1820E+04,-0.1295E-01,-0.7989E-02
0.1825E+04,-0.1330E-01,-0.8326E-02
0.1830E+04,-0.1364E-01,-0.8662E-02
0.1835E+04,-0.1397E-01,-0.8999E-02
0.1840E+04,-0.1429E-01,-0.9335E-02
0.1845E+04,-0.1460E-01,-0.9671E-02
0.1850E+04,-0.1490E-01,-0.1001E-01
0.1855E+04,-0.1520E-01,-0.1034E-01
0.1860E+04,-0.1548E-01,-0.1067E-01
0.1865E+04,-0.1575E-01,-0.1100E-01
0.1870E+04,-0.1602E-01,-0.1133E-01
0.1875E+04,-0.1628E-01,-0.1165E-01
0.1880E+04,-0.1652E-01,-0.1197E-01
0.1885E+04,-0.1677E-01,-0.1229E-01
0.1890E+04,-0.1700E-01,-0.1261E-01
0.1895E+04,-0.1723E-01,-0.1292E-01
0.1900E+04,-0.1745E-01,-0.1323E-01
0.1905E+04,-0.1767E-01,-0.1353E-01
0.1910E+04,-0.1787E-01,-0.1384E-01
0.1915E+04,-0.1808E-01,-0.1413E-01
0.1920E+04,-0.1828E-01,-0.1443E-01
0.1925E+04,-0.1847E-01,-0.1472E-01
0.1930E+04,-0.1866E-01,-0.1501E-01
0.1935E+04,-0.1884E-01,-0.1530E-01
0.1940E+04,-0.1902E-01,-0.1559E-01
0.1945E+04,-0.1920E-01,-0.1587E-01
0.1950E+04,-0.1936E-01,-0.1615E-01
0.1955E+04,-0.1953E-01,-0.1643E-01
0.1960E+04,-0.1969E-01,-0.1670E-01
0.1965E+04,-0.1984E-01,-0.1698E-01
0.1970E+04,-0.1999E-01,-0.1725E-01
0.1975E+04,-0.2013E-01,-0.1752E-01
0.1980E+04,-0.2027E-01,-0.1779E-01
0.1985E+04,-0.2040E-01,-0.1805E-01
0.1990E+04,-0.2053E-01,-0.1832E-01
0.1995E+04,-0.2065E-01,-0.1858E-01
0.2000E+04,-0.2077E-01,-0.1884E-01
0.2005E+04,-0.2087E-01,-0.1910E-01
0.2010E+04,-0.2098E-01,-0.1936E-01
0.2015E+04,-0.2107E-01,-0.1961E-01
0.2020E+04,-0.2116E-01,-0.1986E-01
0.2025E+04,-0.2123E-01,-0.2011E-01
0.2030E+04,-0.2130E-01,-0.2036E-01
0.2035E+04,-0.2136E-01,-0.2060E-01
0.2040E+04,-0.2142E-01,-0.2084E-01
0.2045E+04,-0.2146E-01,-0.2107E-01
0.2050E+04,-0.2149E-01,-0.2130E-01
0.2055E+04,-0.2152E-01,-0.2152E-01
0.2060E+04,-0.2153E-01,-0.2174E-01
0.2065E+04,-0.2153E-01,-0.2194E-01
0.2070E+04,-0.2153E-01,-0.2214E-01
0.2075E+04,-0.2152E-01,-0.2233E-01
0.2080E+04,-0.2150E-01,-0.2250E-01
0.2085E+04,-0.2147E-01,-0.2267E-01
0.2090E+04,-0.2143E-01,-0.2282E-01
0.2095E+04,-0.2139E-01,-0.2296E-01
0.2100E+04,-0.2134E-01,-0.2309E-01
0.2105E+04,-0.2130E-01,-0.2320E-01
0.2110E+04,-0.2124E-01,-0.2329E-01
0.2115E+04,-0.2119E-01,-0.2338E-01
0.2120E+04,-0.2114E-01,-0.2344E-01
0.2125E+04,-0.2109E-01,-0.2350E-01
0.2130E+04,-0.2105E-01,-0.2354E-01
0.2135E+04,-0.2100E-01,-0.2356E-01
0.2140E+04,-0.2097E-01,-0.2358E-01
0.2145E+04,-0.2094E-01,-0.2358E-01
0.2150E+04,-0.2092E-01,-0.2358E-01
0.2155E+04,-0.2091E-01,-0.2356E-01
0.2160E+04,-0.2090E-01,-0.2354E-01
0.2165E+04,-0.2091E-01,-0.2351E-01
0.2170E+04,-0.2092E-01,-0.2347E-01
0.2175E+04,-0.2095E-01,-0.2343E-01
0.2180E+04,-0.2099E-01,-0.2339E-01
0.2185E+04,-0.2104E-01,-0.2335E-01
0.2190E+04,-0.2109E-01,-0.2331E-01
0.2195E+04,-0.2116E-01,-0.2327E-01
0.2200E+04,-0.2123E-01,-0.2323E-01
