W,Re_T,Im_T
0.1690E+04,-0.5997E-05,-0.8040E-08
0.1695E+04,-0.5228E-04,-0.7674E-07
0.1700E+04,-0.1307E-03,-0.2097E-06
0.1705E+04,-0.2343E-03,-0.4099E-06
0.1710E+04,-0.3585E-03,-0.6833E-06
0.1715E+04,-0.5003E-03,-0.1037E-05
0.1720E+04,-0.6570E-03,-0.1479E-05
0.1725E+04,-0.8266E-03,-0.2019E-05
0.1730E+04,-0.1007E-02,-0.2667E-05
0.1735E+04,-0.1198E-02,-0.3434E-05
0.1740E+04,-0.1397E-02,-0.4332E-05
0.1745E+04,-0.1604E-02,-0.5372E-05
0.1750E+04,-0.1817E-02,-0.6569E-05
0.1755E+04,-0.2036E-02,-0.7938E-05
0.1760E+04,-0.2260E-02,-0.9493E-05
0.1765E+04,-0.2488E-02,-0.1125E-04
0.1770E+04,-0.2720E-02,-0.1323E-04
0.1775E+04,-0.2955E-02,-0.1545E-04
0.1780E+04,-0.3194E-02,-0.1794E-04
0.1785E+04,-0.3434E-02,-0.2070E-04
0.1790E+04,-0.3677E-02,-0.2377E-04
0.1795E+04,-0.3922E-02,-0.2717E-04
0.1800E+04,-0.4169E-02,-0.3093E-04
0.1805E+04,-0.4416E-02,-0.3507E-04
0.1810E+04,-0.4665E-02,-0.3963E-04
0.1815E+04,-0.4915E-02,-0.4463E-04
0.1820E+04,-0.5166E-02,-0.5010E-04
0.1825E+04,-0.5417E-02,-0.5609E-04
0.1830E+04,-0.5669E-02,-0.6261E-04
0.1835E+04,-0.5921E-02,-0.6972E-04
0.1840E+04,-0.6173E-02,-0.7745E-04
0.1845E+04,-0.6425E-02,-0.8583E-04
0.1850E+04,-0.6677E-02,-0.9491E-04
0.1855E+04,-0.6929E-02,-0.1047E-03
0.1860E+04,-0.7181E-02,-0.1153E-03
0.1865E+04,-0.7433E-02,-0.1267E-03
0.1870E+04,-0.7685E-02,-0.1389E-03
0.1875E+04,-0.7935E-02,-0.1521E-03
0.1880E+04,-0.8186E-02,-0.1661E-03
0.1885E+04,-0.8436E-02,-0.1811E-03
0.1890E+04,-0.8685E-02,-0.1971E-03
0.1895E+04,-0.8933E-02,-0.2141E-03
0.1900E+04,-0.9181E-02,-0.2322E-03
0.1905E+04,-0.9428E-02,-0.2513E-03
0.1910E+04,-0.9674E-02,-0.2715E-03
0.1915E+04,-0.9919E-02,-0.2928E-03
0.1920E+04,-0.1016E-01,-0.3153E-03
0.1925E+04,-0.1040E-01,-0.3389E-03
0.1930E+04,-0.1065E-01,-0.3636E-03
0.1935E+04,-0.1089E-01,-0.3895E-03
0.1940E+04,-0.1113E-01,-0.4166E-03
0.1945E+04,-0.1137E-01,-0.4448E-03
0.1950E+04,-0.1160E-01,-0.4742E-03
0.1955E+04,-0.1184E-01,-0.5047E-03
0.1960E+04,-0.1207E-01,-0.5364E-03
0.1965E+04,-0.1230E-01,-0.5692E-03
0.1970E+04,-0.1253E-01,-0.6032E-03
0.1975E+04,-0.1276E-01,-0.6383E-03
0.1980E+04,-0.1299E-01,-0.6745E-03
0.1985E+04,-0.1322E-01,-0.7118E-03
0.1990E+04,-0.1344E-01,-0.7503E-03
0.1995E+04,-0.1367E-01,-0.7898E-03
0.2000E+04,-0.1389E-01,-0.8304E-03
0.2005E+04,-0.1411E-01,-0.8722E-03
0.2010E+04,-0.1432E-01,-0.9151E-03
0.2015E+04,-0.1454E-01,-0.9591E-03
0.2020E+04,-0.1476E-01,-0.1004E-02
0.2025E+04,-0.1497E-01,-0.1051E-02
0.2030E+04,-0.1518E-01,-0.1098E-02
0.2035E+04,-0.1539E-01,-0.1147E-02
0.2040E+04,-0.1560E-01,-0.1197E-02
0.2045E+04,-0.1580E-01,-0.1249E-02
0.2050E+04,-0.1601E-01,-0.1301E-02
0.2055E+04,-0.1621E-01,-0.1355E-02
0.2060E+04,-0.1641E-01,-0.1411E-02
0.2065E+04,-0.1661E-01,-0.1467E-02
0.2070E+04,-0.1680E-01,-0.1525E-02
0.2075E+04,-0.1699E-01,-0.1584E-02
0.2080E+04,-0.1718E-01,-0.1645E-02
0.2085E+04,-0.1737E-01,-0.1706E-02
0.2090E+04,-0.1755E-01,-0.1769E-02
0.2095E+04,-0.1774E-01,-0.1832E-02
0.2100E+04,-0.1791E-01,-0.1896E-02
0.2105E+04,-0.1809E-01,-0.1961E-02
0.2110E+04,-0.1826E-01,-0.2027E-02
0.2115E+04,-0.1843E-01,-0.2092E-02
0.2120E+04,-0.1859E-01,-0.2158E-02
0.2125E+04,-0.1876E-01,-0.2223E-02
0.2130E+04,-0.1892E-01,-0.2288E-02
0.2135E+04,-0.1907E-01,-0.2353E-02
0.2140E+04,-0.1922E-01,-0.2416E-02
0.2145E+04,-0.1937E-01,-0.2479E-02
0.2150E+04,-0.1952E-01,-0.2541E-02
0.2155E+04,-0.1967E-01,-0.2601E-02
0.2160E+04,-0.1981E-01,-0.2660E-02
0.2165E+04,-0.1995E-01,-0.2718E-02
0.2170E+04,-0.2009E-01,-0.2774E-02
0.2175E+04,-0.2023E-01,-0.2829E-02
0.2180E+04,-0.2036E-01,-0.2883E-02
0.2185E+04,-0.2050E-01,-0.2935E-02
0.2190E+04,-0.2063E-01,-0.2985E-02
0.2195E+04,-0.2076E-01,-0.3035E-02
0.2200E+04,-0.2090E-01,-0.3083E-02
