W,Re_T,Im_T
0.1690E+04,-0.3066E-06,-0.1302E-09
0.1695E+04,-0.5000E-05,-0.2386E-08
0.1700E+04,-0.1637E-04,-0.8759E-08
0.1705E+04,-0.3491E-04,-0.2089E-07
0.1710E+04,-0.6075E-04,-0.4058E-07
0.1715E+04,-0.9387E-04,-0.6984E-07
0.1720E+04,-0.1341E-03,-0.1109E-06
0.1725E+04,-0.1814E-03,-0.1664E-06
0.1730E+04,-0.2354E-03,-0.2391E-06
0.1735E+04,-0.2959E-03,-0.3321E-06
0.1740E+04,-0.3627E-03,-0.4491E-06
0.1745E+04,-0.4355E-03,-0.5938E-06
0.1750E+04,-0.5141E-03,-0.7708E-06
0.1755E+04,-0.5982E-03,-0.9846E-06
0.1760E+04,-0.6876E-03,-0.1241E-05
0.1765E+04,-0.7821E-03,-0.1545E-05
0.1770E+04,-0.8815E-03,-0.1903E-05
0.1775E+04,-0.9854E-03,-0.2323E-05
0.1780E+04,-0.1094E-02,-0.2813E-05
0.1785E+04,-0.1206E-02,-0.3381E-05
0.1790E+04,-0.1323E-02,-0.4036E-05
0.1795E+04,-0.1444E-02,-0.4789E-05
0.1800E+04,-0.1568E-02,-0.5652E-05
0.1805E+04,-0.1696E-02,-0.6638E-05
0.1810E+04,-0.1827E-02,-0.7760E-05
0.1815E+04,-0.1961E-02,-0.9035E-05
0.1820E+04,-0.2099E-02,-0.1048E-04
0.1825E+04,-0.2239E-02,-0.1211E-04
0.1830E+04,-0.2383E-02,-0.1395E-04
0.1835E+04,-0.2529E-02,-0.1601E-04
0.1840E+04,-0.2678E-02,-0.1833E-04
0.1845E+04,-0.2829E-02,-0.2093E-04
0.1850E+04,-0.2983E-02,-0.2384E-04
0.1855E+04,-0.3139E-02,-0.2708E-04
0.1860E+04,-0.3298E-02,-0.3068E-04
0.1865E+04,-0.3459E-02,-0.3468E-04
0.1870E+04,-0.3622E-02,-0.3912E-04
0.1875E+04,-0.3787E-02,-0.4403E-04
0.1880E+04,-0.3954E-02,-0.4944E-04
0.1885E+04,-0.4123E-02,-0.5541E-04
0.1890E+04,-0.4293E-02,-0.6197E-04
0.1895E+04,-0.4466E-02,-0.6917E-04
0.1900E+04,-0.4640E-02,-0.7706E-04
0.1905E+04,-0.4817E-02,-0.8568E-04
0.1910E+04,-0.4994E-02,-0.9509E-04
0.1915E+04,-0.5174E-02,-0.1053E-03
0.1920E+04,-0.5355E-02,-0.1165E-03
0.1925E+04,-0.5537E-02,-0.1286E-03
0.1930E+04,-0.5721E-02,-0.1417E-03
0.1935E+04,-0.5906E-02,-0.1558E-03
0.1940E+04,-0.6092E-02,-0.1712E-03
0.1945E+04,-0.6280E-02,-0.1877E-03
0.1950E+04,-0.6469E-02,-0.2054E-03
0.1955E+04,-0.6659E-02,-0.2245E-03
0.1960E+04,-0.6851E-02,-0.2450E-03
0.1965E+04,-0.7043E-02,-0.2670E-03
0.1970E+04,-0.7236E-02,-0.2906E-03
0.1975E+04,-0.7430E-02,-0.3157E-03
0.1980E+04,-0.7626E-02,-0.3426E-03
0.1985E+04,-0.7822E-02,-0.3712E-03
0.1990E+04,-0.8018E-02,-0.4017E-03
0.1995E+04,-0.8216E-02,-0.4343E-03
0.2000E+04,-0.8414E-02,-0.4688E-03
0.2005E+04,-0.8612E-02,-0.5056E-03
0.2010E+04,-0.8811E-02,-0.5446E-03
0.2015E+04,-0.9010E-02,-0.5861E-03
0.2020E+04,-0.9210E-02,-0.6301E-03
0.2025E+04,-0.9410E-02,-0.6768E-03
0.2030E+04,-0.9609E-02,-0.7262E-03
0.2035E+04,-0.9809E-02,-0.7786E-03
0.2040E+04,-0.1001E-01,-0.8342E-03
0.2045E+04,-0.1021E-01,-0.8929E-03
0.2050E+04,-0.1040E-01,-0.9550E-03
0.2055E+04,-0.1060E-01,-0.1021E-02
0.2060E+04,-0.1080E-01,-0.1090E-02
0.2065E+04,-0.1099E-01,-0.1162E-02
0.2070E+04,-0.1118E-01,-0.1239E-02
0.2075E+04,-0.1137E-01,-0.1319E-02
0.2080E+04,-0.1156E-01,-0.1403E-02
0.2085E+04,-0.1174E-01,-0.1490E-02
0.2090E+04,-0.1192E-01,-0.1581E-02
0.2095E+04,-0.1209E-01,-0.1675E-02
0.2100E+04,-0.1227E-01,-0.1771E-02
0.2105E+04,-0.1243E-01,-0.1870E-02
0.2110E+04,-0.1259E-01,-0.1971E-02
0.2115E+04,-0.1275E-01,-0.2074E-02
0.2120E+04,-0.1290E-01,-0.2177E-02
0.2125E+04,-0.1304E-01,-0.2281E-02
0.2130E+04,-0.1318E-01,-0.2385E-02
0.2135E+04,-0.1332E-01,-0.2489E-02
0.2140E+04,-0.1344E-01,-0.2591E-02
0.2145E+04,-0.1357E-01,-0.2691E-02
0.2150E+04,-0.1368E-01,-0.2790E-02
0.2155E+04,-0.1380E-01,-0.2886E-02
0.2160E+04,-0.1391E-01,-0.2980E-02
0.2165E+04,-0.1402E-01,-0.3071E-02
0.2170E+04,-0.1412E-01,-0.3159E-02
0.2175E+04,-0.1422E-01,-0.3245E-02
0.2180E+04,-0.1432E-01,-0.3328E-02
0.2185E+04,-0.1442E-01,-0.3409E-02
0.2190E+04,-0.1452E-01,-0.3487E-02
0.2195E+04,-0.1461E-01,-0.3564E-02
0.2200E+04,-0.1471E-01,-0.3639E-02
