W,Re_T,Im_T
0.1690E+04,-0.2792E-07,-0.3019E-12
0.1695E+04,-0.8516E-06,-0.9447E-11
0.1700E+04,-0.3649E-05,-0.4133E-10
0.1705E+04,-0.9255E-05,-0.1066E-09
0.1710E+04,-0.1830E-04,-0.2139E-09
0.1715E+04,-0.3130E-04,-0.3697E-09
0.1720E+04,-0.4862E-04,-0.5793E-09
0.1725E+04,-0.7059E-04,-0.8469E-09
0.1730E+04,-0.9742E-04,-0.1177E-08
0.1735E+04,-0.1293E-03,-0.1575E-08
0.1740E+04,-0.1663E-03,-0.2050E-08
0.1745E+04,-0.2086E-03,-0.2616E-08
0.1750E+04,-0.2562E-03,-0.3294E-08
0.1755E+04,-0.3092E-03,-0.4118E-08
0.1760E+04,-0.3674E-03,-0.5135E-08
0.1765E+04,-0.4308E-03,-0.6411E-08
0.1770E+04,-0.4995E-03,-0.8033E-08
0.1775E+04,-0.5734E-03,-0.1012E-07
0.1780E+04,-0.6523E-03,-0.1280E-07
0.1785E+04,-0.7361E-03,-0.1628E-07
0.1790E+04,-0.8249E-03,-0.2075E-07
0.1795E+04,-0.9184E-03,-0.2648E-07
0.1800E+04,-0.1017E-02,-0.3377E-07
0.1805E+04,-0.1119E-02,-0.4297E-07
0.1810E+04,-0.1226E-02,-0.5447E-07
0.1815E+04,-0.1338E-02,-0.6871E-07
0.1820E+04,-0.1453E-02,-0.8620E-07
0.1825E+04,-0.1572E-02,-0.1075E-06
0.1830E+04,-0.1696E-02,-0.1332E-06
0.1835E+04,-0.1823E-02,-0.1640E-06
0.1840E+04,-0.1954E-02,-0.2007E-06
0.1845E+04,-0.2088E-02,-0.2440E-06
0.1850E+04,-0.2225E-02,-0.2949E-06
0.1855E+04,-0.2366E-02,-0.3543E-06
0.1860E+04,-0.2510E-02,-0.4234E-06
0.1865E+04,-0.2657E-02,-0.5033E-06
0.1870E+04,-0.2806E-02,-0.5952E-06
0.1875E+04,-0.2959E-02,-0.7004E-06
0.1880E+04,-0.3114E-02,-0.8204E-06
0.1885E+04,-0.3271E-02,-0.9567E-06
0.1890E+04,-0.3431E-02,-0.1111E-05
0.1895E+04,-0.3593E-02,-0.1284E-05
0.1900E+04,-0.3758E-02,-0.1479E-05
0.1905E+04,-0.3924E-02,-0.1697E-05
0.1910E+04,-0.4092E-02,-0.1939E-05
0.1915E+04,-0.4263E-02,-0.2208E-05
0.1920E+04,-0.4435E-02,-0.2505E-05
0.1925E+04,-0.4608E-02,-0.2831E-05
0.1930E+04,-0.4784E-02,-0.3189E-05
0.1935E+04,-0.4960E-02,-0.3580E-05
0.1940E+04,-0.5139E-02,-0.4005E-05
0.1945E+04,-0.5318E-02,-0.4466E-05
0.1950E+04,-0.5499E-02,-0.4964E-05
0.1955E+04,-0.5681E-02,-0.5500E-05
0.1960E+04,-0.5864E-02,-0.6075E-05
0.1965E+04,-0.6048E-02,-0.6691E-05
0.1970E+04,-0.6233E-02,-0.7348E-05
0.1975E+04,-0.6419E-02,-0.8047E-05
0.1980E+04,-0.6606E-02,-0.8789E-05
0.1985E+04,-0.6794E-02,-0.9576E-05
0.1990E+04,-0.6982E-02,-0.1041E-04
0.1995E+04,-0.7171E-02,-0.1128E-04
0.2000E+04,-0.7360E-02,-0.1220E-04
0.2005E+04,-0.7550E-02,-0.1317E-04
0.2010E+04,-0.7741E-02,-0.1419E-04
0.2015E+04,-0.7932E-02,-0.1525E-04
0.2020E+04,-0.8123E-02,-0.1636E-04
0.2025E+04,-0.8315E-02,-0.1751E-04
0.2030E+04,-0.8507E-02,-0.1871E-04
0.2035E+04,-0.8699E-02,-0.1996E-04
0.2040E+04,-0.8892E-02,-0.2126E-04
0.2045E+04,-0.9084E-02,-0.2259E-04
0.2050E+04,-0.9277E-02,-0.2397E-04
0.2055E+04,-0.9470E-02,-0.2540E-04
0.2060E+04,-0.9663E-02,-0.2686E-04
0.2065E+04,-0.9856E-02,-0.2836E-04
0.2070E+04,-0.1005E-01,-0.2990E-04
0.2075E+04,-0.1024E-01,-0.3146E-04
0.2080E+04,-0.1044E-01,-0.3307E-04
0.2085E+04,-0.1063E-01,-0.3470E-04
0.2090E+04,-0.1082E-01,-0.3637E-04
0.2095E+04,-0.1101E-01,-0.3806E-04
0.2100E+04,-0.1121E-01,-0.3977E-04
0.2105E+04,-0.1140E-01,-0.4152E-04
0.2110E+04,-0.1159E-01,-0.4330E-04
0.2115E+04,-0.1179E-01,-0.4510E-04
0.2120E+04,-0.1198E-01,-0.4695E-04
0.2125E+04,-0.1217E-01,-0.4883E-04
0.2130E+04,-0.1236E-01,-0.5077E-04
0.2135E+04,-0.1255E-01,-0.5276E-04
0.2140E+04,-0.1274E-01,-0.5482E-04
0.2145E+04,-0.1294E-01,-0.5696E-04
0.2150E+04,-0.1313E-01,-0.5920E-04
0.2155E+04,-0.1332E-01,-0.6155E-04
0.2160E+04,-0.1351E-01,-0.6403E-04
0.2165E+04,-0.1370E-01,-0.6666E-04
0.2170E+04,-0.1389E-01,-0.6947E-04
0.2175E+04,-0.1408E-01,-0.7246E-04
0.2180E+04,-0.1427E-01,-0.7567E-04
0.2185E+04,-0.1446E-01,-0.7911E-04
0.2190E+04,-0.1465E-01,-0.8280E-04
0.2195E+04,-0.1484E-01,-0.8677E-04
0.2200E+04,-0.1503E-01,-0.9102E-04
