W,Re_T,Im_T
0.1490E+04,0.2890E-05,0.2822E-05
0.1495E+04,0.2443E-04,0.2835E-04
0.1500E+04,0.6906E-04,0.9675E-04
0.1505E+04,0.1296E-03,0.2237E-03
0.1510E+04,0.1911E-03,0.4184E-03
0.1515E+04,0.2353E-03,0.6813E-03
0.1520E+04,0.2454E-03,0.1004E-02
0.1525E+04,0.2099E-03,0.1372E-02
0.1530E+04,0.1246E-03,0.1766E-02
0.1535E+04,-0.8239E-05,0.2172E-02
0.1540E+04,-0.1818E-03,0.2577E-02
0.1545E+04,-0.3871E-03,0.2971E-02
0.1550E+04,-0.6148E-03,0.3350E-02
0.1555E+04,-0.8566E-03,0.3711E-02
0.1560E+04,-0.1105E-02,0.4055E-02
0.1565E+04,-0.1355E-02,0.4383E-02
0.1570E+04,-0.1603E-02,0.4697E-02
0.1575E+04,-0.1844E-02,0.4999E-02
0.1580E+04,-0.2077E-02,0.5290E-02
0.1585E+04,-0.2300E-02,0.5573E-02
0.1590E+04,-0.2512E-02,0.5848E-02
0.1595E+04,-0.2714E-02,0.6118E-02
0.1600E+04,-0.2903E-02,0.6383E-02
0.1605E+04,-0.3079E-02,0.6645E-02
0.1610E+04,-0.3242E-02,0.6902E-02
0.1615E+04,-0.3391E-02,0.7158E-02
0.1620E+04,-0.3524E-02,0.7412E-02
0.1625E+04,-0.3642E-02,0.7669E-02
0.1630E+04,-0.3745E-02,0.7928E-02
0.1635E+04,-0.3834E-02,0.8191E-02
0.1640E+04,-0.3910E-02,0.8458E-02
0.1645E+04,-0.3973E-02,0.8731E-02
0.1650E+04,-0.4024E-02,0.9010E-02
0.1655E+04,-0.4065E-02,0.9295E-02
0.1660E+04,-0.4095E-02,0.9587E-02
0.1665E+04,-0.4115E-02,0.9886E-02
0.1670E+04,-0.4126E-02,0.1019E-01
0.1675E+04,-0.4129E-02,0.1051E-01
0.1680E+04,-0.4124E-02,0.1083E-01
0.1685E+04,-0.4114E-02,0.1116E-01
0.1690E+04,-0.4098E-02,0.1150E-01
0.1695E+04,-0.4079E-02,0.1185E-01
0.1700E+04,-0.4058E-02,0.1221E-01
0.1705E+04,-0.4036E-02,0.1257E-01
0.1710E+04,-0.4015E-02,0.1295E-01
0.1715E+04,-0.3996E-02,0.1333E-01
0.1720E+04,-0.3980E-02,0.1371E-01
0.1725E+04,-0.3969E-02,0.1410E-01
0.1730E+04,-0.3963E-02,0.1449E-01
0.1735E+04,-0.3962E-02,0.1489E-01
0.1740E+04,-0.3966E-02,0.1528E-01
0.1745E+04,-0.3974E-02,0.1567E-01
0.1750E+04,-0.3987E-02,0.1606E-01
0.1755E+04,-0.4002E-02,0.1644E-01
0.1760E+04,-0.4021E-02,0.1682E-01
0.1765E+04,-0.4041E-02,0.1719E-01
0.1770E+04,-0.4061E-02,0.1756E-01
0.1775E+04,-0.4082E-02,0.1792E-01
0.1780E+04,-0.4102E-02,0.1828E-01
0.1785E+04,-0.4120E-02,0.1864E-01
0.1790E+04,-0.4137E-02,0.1899E-01
0.1795E+04,-0.4152E-02,0.1934E-01
0.1800E+04,-0.4165E-02,0.1968E-01
0.1805E+04,-0.4178E-02,0.2003E-01
0.1810E+04,-0.4189E-02,0.2037E-01
0.1815E+04,-0.4200E-02,0.2072E-01
0.1820E+04,-0.4211E-02,0.2106E-01
0.1825E+04,-0.4224E-02,0.2141E-01
0.1830E+04,-0.4238E-02,0.2175E-01
0.1835E+04,-0.4254E-02,0.2209E-01
0.1840E+04,-0.4274E-02,0.2244E-01
0.1845E+04,-0.4298E-02,0.2278E-01
0.1850E+04,-0.4325E-02,0.2312E-01
0.1855E+04,-0.4356E-02,0.2346E-01
0.1860E+04,-0.4392E-02,0.2379E-01
0.1865E+04,-0.4432E-02,0.2412E-01
0.1870E+04,-0.4477E-02,0.2445E-01
0.1875E+04,-0.4525E-02,0.2477E-01
0.1880E+04,-0.4576E-02,0.2508E-01
0.1885E+04,-0.4631E-02,0.2540E-01
0.1890E+04,-0.4689E-02,0.2570E-01
0.1895E+04,-0.4748E-02,0.2600E-01
0.1900E+04,-0.4809E-02,0.2629E-01
0.1905E+04,-0.4871E-02,0.2657E-01
0.1910E+04,-0.4934E-02,0.2685E-01
0.1915E+04,-0.4996E-02,0.2712E-01
0.1920E+04,-0.5058E-02,0.2739E-01
0.1925E+04,-0.5119E-02,0.2765E-01
0.1930E+04,-0.5178E-02,0.2790E-01
0.1935E+04,-0.5236E-02,0.2815E-01
0.1940E+04,-0.5291E-02,0.2839E-01
0.1945E+04,-0.5344E-02,0.2863E-01
0.1950E+04,-0.5394E-02,0.2887E-01
0.1955E+04,-0.5442E-02,0.2910E-01
0.1960E+04,-0.5487E-02,0.2933E-01
0.1965E+04,-0.5530E-02,0.2956E-01
0.1970E+04,-0.5570E-02,0.2978E-01
0.1975E+04,-0.5607E-02,0.3000E-01
0.1980E+04,-0.5642E-02,0.3023E-01
0.1985E+04,-0.5675E-02,0.3045E-01
0.1990E+04,-0.5707E-02,0.3067E-01
0.1995E+04,-0.5737E-02,0.3089E-01
0.2000E+04,-0.5767E-02,0.3112E-01
