W,Re_T,Im_T
0.1490E+04,0.5716E-09,0.8285E-10
0.1495E+04,0.1269E-07,0.1634E-08
0.1500E+04,0.6359E-07,0.7149E-08
0.1505E+04,0.1897E-06,0.1827E-07
0.1510E+04,0.4330E-06,0.3494E-07
0.1515E+04,0.8389E-06,0.5515E-07
0.1520E+04,0.1454E-05,0.7515E-07
0.1525E+04,0.2327E-05,0.8991E-07
0.1530E+04,0.3504E-05,0.9392E-07
0.1535E+04,0.5031E-05,0.8202E-07
0.1540E+04,0.6952E-05,0.5045E-07
0.1545E+04,0.9312E-05,-0.2217E-08
0.1550E+04,0.1215E-04,-0.7405E-07
0.1555E+04,0.1552E-04,-0.1588E-06
0.1560E+04,0.1946E-04,-0.2450E-06
0.1565E+04,0.2401E-04,-0.3152E-06
0.1570E+04,0.2922E-04,-0.3447E-06
0.1575E+04,0.3513E-04,-0.3012E-06
0.1580E+04,0.4182E-04,-0.1433E-06
0.1585E+04,0.4932E-04,0.1807E-06
0.1590E+04,0.5770E-04,0.7337E-06
0.1595E+04,0.6702E-04,0.1592E-05
0.1600E+04,0.7733E-04,0.2845E-05
0.1605E+04,0.8870E-04,0.4598E-05
0.1610E+04,0.1012E-03,0.6978E-05
0.1615E+04,0.1148E-03,0.1013E-04
0.1620E+04,0.1295E-03,0.1422E-04
0.1625E+04,0.1454E-03,0.1946E-04
0.1630E+04,0.1623E-03,0.2605E-04
0.1635E+04,0.1801E-03,0.3419E-04
0.1640E+04,0.1984E-03,0.4400E-04
0.1645E+04,0.2169E-03,0.5551E-04
0.1650E+04,0.2352E-03,0.6861E-04
0.1655E+04,0.2530E-03,0.8300E-04
0.1660E+04,0.2700E-03,0.9824E-04
0.1665E+04,0.2861E-03,0.1137E-03
0.1670E+04,0.3015E-03,0.1289E-03
0.1675E+04,0.3166E-03,0.1432E-03
0.1680E+04,0.3318E-03,0.1564E-03
0.1685E+04,0.3478E-03,0.1683E-03
0.1690E+04,0.3652E-03,0.1790E-03
0.1695E+04,0.3843E-03,0.1889E-03
0.1700E+04,0.4055E-03,0.1983E-03
0.1705E+04,0.4288E-03,0.2075E-03
0.1710E+04,0.4543E-03,0.2169E-03
0.1715E+04,0.4819E-03,0.2269E-03
0.1720E+04,0.5116E-03,0.2375E-03
0.1725E+04,0.5430E-03,0.2490E-03
0.1730E+04,0.5762E-03,0.2616E-03
0.1735E+04,0.6109E-03,0.2754E-03
0.1740E+04,0.6470E-03,0.2903E-03
0.1745E+04,0.6843E-03,0.3065E-03
0.1750E+04,0.7228E-03,0.3240E-03
0.1755E+04,0.7622E-03,0.3428E-03
