W,Re_T,Im_T
0.1490E+04,0.6554E-11,0.9321E-13
0.1495E+04,0.3468E-09,0.3265E-11
0.1500E+04,0.2712E-08,0.1317E-10
0.1505E+04,0.1092E-07,0.6626E-11
0.1510E+04,0.3122E-07,-0.1022E-09
0.1515E+04,0.7245E-07,-0.4885E-09
0.1520E+04,0.1460E-06,-0.1428E-08
0.1525E+04,0.2659E-06,-0.3285E-08
0.1530E+04,0.4485E-06,-0.6487E-08
0.1535E+04,0.7124E-06,-0.1148E-07
0.1540E+04,0.1078E-05,-0.1867E-07
0.1545E+04,0.1570E-05,-0.2836E-07
0.1550E+04,0.2211E-05,-0.4071E-07
0.1555E+04,0.3028E-05,-0.5564E-07
0.1560E+04,0.4051E-05,-0.7281E-07
0.1565E+04,0.5308E-05,-0.9161E-07
0.1570E+04,0.6831E-05,-0.1111E-06
0.1575E+04,0.8653E-05,-0.1300E-06
0.1580E+04,0.1081E-04,-0.1467E-06
0.1585E+04,0.1333E-04,-0.1595E-06
0.1590E+04,0.1626E-04,-0.1663E-06
0.1595E+04,0.1963E-04,-0.1648E-06
0.1600E+04,0.2348E-04,-0.1525E-06
0.1605E+04,0.2786E-04,-0.1271E-06
0.1610E+04,0.3279E-04,-0.8595E-07
0.1615E+04,0.3833E-04,-0.2661E-07
0.1620E+04,0.4451E-04,0.5344E-07
0.1625E+04,0.5138E-04,0.1567E-06
0.1630E+04,0.5898E-04,0.2859E-06
0.1635E+04,0.6735E-04,0.4437E-06
0.1640E+04,0.7654E-04,0.6332E-06
0.1645E+04,0.8659E-04,0.8573E-06
0.1650E+04,0.9754E-04,0.1120E-05
0.1655E+04,0.1094E-03,0.1424E-05
0.1660E+04,0.1223E-03,0.1773E-05
0.1665E+04,0.1362E-03,0.2172E-05
0.1670E+04,0.1512E-03,0.2627E-05
0.1675E+04,0.1672E-03,0.3141E-05
0.1680E+04,0.1845E-03,0.3721E-05
0.1685E+04,0.2028E-03,0.4374E-05
0.1690E+04,0.2225E-03,0.5106E-05
0.1695E+04,0.2433E-03,0.5925E-05
0.1700E+04,0.2654E-03,0.6841E-05
0.1705E+04,0.2889E-03,0.7862E-05
0.1710E+04,0.3137E-03,0.9001E-05
0.1715E+04,0.3399E-03,0.1027E-04
0.1720E+04,0.3675E-03,0.1168E-04
0.1725E+04,0.3965E-03,0.1324E-04
0.1730E+04,0.4270E-03,0.1498E-04
0.1735E+04,0.4591E-03,0.1691E-04
0.1740E+04,0.4926E-03,0.1904E-04
0.1745E+04,0.5277E-03,0.2140E-04
0.1750E+04,0.5644E-03,0.2400E-04
0.1755E+04,0.6027E-03,0.2687E-04
0.1760E+04,0.6427E-03,0.3004E-04
0.1765E+04,0.6843E-03,0.3352E-04
0.1770E+04,0.7276E-03,0.3736E-04
0.1775E+04,0.7727E-03,0.4156E-04
0.1780E+04,0.8196E-03,0.4618E-04
0.1785E+04,0.8682E-03,0.5125E-04
0.1790E+04,0.9187E-03,0.5680E-04
0.1795E+04,0.9711E-03,0.6288E-04
0.1800E+04,0.1025E-02,0.6952E-04
0.1805E+04,0.1081E-02,0.7678E-04
0.1810E+04,0.1140E-02,0.8471E-04
0.1815E+04,0.1200E-02,0.9335E-04
0.1820E+04,0.1262E-02,0.1028E-03
0.1825E+04,0.1326E-02,0.1130E-03
0.1830E+04,0.1392E-02,0.1242E-03
0.1835E+04,0.1460E-02,0.1363E-03
0.1840E+04,0.1531E-02,0.1495E-03
0.1845E+04,0.1603E-02,0.1637E-03
0.1850E+04,0.1678E-02,0.1792E-03
0.1855E+04,0.1754E-02,0.1959E-03
0.1860E+04,0.1833E-02,0.2140E-03
0.1865E+04,0.1914E-02,0.2335E-03
0.1870E+04,0.1998E-02,0.2545E-03
0.1875E+04,0.2083E-02,0.2771E-03
0.1880E+04,0.2170E-02,0.3014E-03
0.1885E+04,0.2260E-02,0.3275E-03
0.1890E+04,0.2352E-02,0.3555E-03
0.1895E+04,0.2446E-02,0.3855E-03
0.1900E+04,0.2541E-02,0.4176E-03
0.1905E+04,0.2639E-02,0.4519E-03
0.1910E+04,0.2739E-02,0.4885E-03
0.1915E+04,0.2841E-02,0.5276E-03
0.1920E+04,0.2945E-02,0.5692E-03
0.1925E+04,0.3051E-02,0.6134E-03
0.1930E+04,0.3159E-02,0.6605E-03
0.1935E+04,0.3268E-02,0.7104E-03
0.1940E+04,0.3380E-02,0.7634E-03
0.1945E+04,0.3492E-02,0.8195E-03
0.1950E+04,0.3607E-02,0.8789E-03
0.1955E+04,0.3723E-02,0.9418E-03
0.1960E+04,0.3841E-02,0.1008E-02
0.1965E+04,0.3960E-02,0.1078E-02
0.1970E+04,0.4080E-02,0.1152E-02
0.1975E+04,0.4202E-02,0.1230E-02
0.1980E+04,0.4324E-02,0.1312E-02
0.1985E+04,0.4448E-02,0.1398E-02
0.1990E+04,0.4572E-02,0.1489E-02
0.1995E+04,0.4698E-02,0.1585E-02
0.2000E+04,0.4823E-02,0.1685E-02
0.2005E+04,0.4950E-02,0.1790E-02
0.2010E+04,0.5077E-02,0.1901E-02
0.2015E+04,0.5204E-02,0.2017E-02
0.2020E+04,0.5331E-02,0.2139E-02
0.2025E+04,0.5457E-02,0.2267E-02
0.2030E+04,0.5583E-02,0.2402E-02
0.2035E+04,0.5708E-02,0.2543E-02
0.2040E+04,0.5831E-02,0.2691E-02
0.2045E+04,0.5953E-02,0.2847E-02
0.2050E+04,0.6072E-02,0.3010E-02
0.2055E+04,0.6188E-02,0.3181E-02
0.2060E+04,0.6300E-02,0.3359E-02
0.2065E+04,0.6407E-02,0.3546E-02
0.2070E+04,0.6509E-02,0.3740E-02
0.2075E+04,0.6605E-02,0.3942E-02
0.2080E+04,0.6693E-02,0.4152E-02
0.2085E+04,0.6772E-02,0.4369E-02
0.2090E+04,0.6843E-02,0.4593E-02
0.2095E+04,0.6903E-02,0.4822E-02
0.2100E+04,0.6952E-02,0.5057E-02
0.2105E+04,0.6990E-02,0.5295E-02
0.2110E+04,0.7015E-02,0.5536E-02
0.2115E+04,0.7027E-02,0.5779E-02
0.2120E+04,0.7027E-02,0.6022E-02
0.2125E+04,0.7014E-02,0.6264E-02
0.2130E+04,0.6988E-02,0.6503E-02
0.2135E+04,0.6950E-02,0.6738E-02
0.2140E+04,0.6900E-02,0.6967E-02
0.2145E+04,0.6841E-02,0.7191E-02
0.2150E+04,0.6771E-02,0.7407E-02
0.2155E+04,0.6694E-02,0.7616E-02
0.2160E+04,0.6610E-02,0.7816E-02
0.2165E+04,0.6520E-02,0.8008E-02
0.2170E+04,0.6425E-02,0.8192E-02
0.2175E+04,0.6327E-02,0.8368E-02
0.2180E+04,0.6227E-02,0.8536E-02
0.2185E+04,0.6125E-02,0.8697E-02
0.2190E+04,0.6022E-02,0.8852E-02
0.2195E+04,0.5919E-02,0.9001E-02
0.2200E+04,0.5816E-02,0.9146E-02
