W,Re_T,Im_T
0.1490E+04,0.1521E-03,0.1653E-03
0.1495E+04,0.5664E-03,0.5965E-03
0.1500E+04,0.1117E-02,0.1141E-02
0.1505E+04,0.1768E-02,0.1755E-02
0.1510E+04,0.2500E-02,0.2415E-02
0.1515E+04,0.3300E-02,0.3107E-02
0.1520E+04,0.4157E-02,0.3824E-02
0.1525E+04,0.5064E-02,0.4561E-02
0.1530E+04,0.6012E-02,0.5314E-02
0.1535E+04,0.6996E-02,0.6081E-02
0.1540E+04,0.8010E-02,0.6862E-02
0.1545E+04,0.9046E-02,0.7653E-02
0.1550E+04,0.1010E-01,0.8455E-02
0.1555E+04,0.1117E-01,0.9266E-02
0.1560E+04,0.1225E-01,0.1009E-01
0.1565E+04,0.1333E-01,0.1091E-01
0.1570E+04,0.1441E-01,0.1174E-01
0.1575E+04,0.1549E-01,0.1257E-01
0.1580E+04,0.1657E-01,0.1341E-01
0.1585E+04,0.1764E-01,0.1424E-01
0.1590E+04,0.1870E-01,0.1507E-01
0.1595E+04,0.1976E-01,0.1589E-01
0.1600E+04,0.2080E-01,0.1671E-01
0.1605E+04,0.2184E-01,0.1751E-01
0.1610E+04,0.2287E-01,0.1830E-01
0.1615E+04,0.2393E-01,0.1906E-01
0.1620E+04,0.2501E-01,0.1984E-01
0.1625E+04,0.2609E-01,0.2063E-01
0.1630E+04,0.2716E-01,0.2143E-01
0.1635E+04,0.2823E-01,0.2223E-01
0.1640E+04,0.2931E-01,0.2304E-01
0.1645E+04,0.3038E-01,0.2385E-01
0.1650E+04,0.3145E-01,0.2467E-01
0.1655E+04,0.3253E-01,0.2549E-01
0.1660E+04,0.3363E-01,0.2632E-01
0.1665E+04,0.3473E-01,0.2716E-01
0.1670E+04,0.3587E-01,0.2800E-01
0.1675E+04,0.3703E-01,0.2887E-01
0.1680E+04,0.3824E-01,0.2976E-01
0.1685E+04,0.3953E-01,0.3067E-01
0.1690E+04,0.4103E-01,0.3171E-01
0.1695E+04,0.4251E-01,0.3311E-01
0.1700E+04,0.4382E-01,0.3469E-01
0.1705E+04,0.4498E-01,0.3641E-01
0.1710E+04,0.4596E-01,0.3824E-01
0.1715E+04,0.4676E-01,0.4014E-01
0.1720E+04,0.4736E-01,0.4207E-01
0.1725E+04,0.4778E-01,0.4401E-01
0.1730E+04,0.4801E-01,0.4593E-01
0.1735E+04,0.4807E-01,0.4780E-01
0.1740E+04,0.4798E-01,0.4960E-01
