W,Re_T,Im_T
0.1490E+04,0.1640E+00,0.9571E-01
0.1495E+04,0.2240E+00,0.1766E+00
0.1500E+04,0.2520E+00,0.2420E+00
0.1505E+04,0.2633E+00,0.3009E+00
0.1510E+04,0.2623E+00,0.3538E+00
0.1515E+04,0.2525E+00,0.4008E+00
0.1520E+04,0.2361E+00,0.4420E+00
0.1525E+04,0.2146E+00,0.4777E+00
0.1530E+04,0.1893E+00,0.5081E+00
0.1535E+04,0.1612E+00,0.5336E+00
0.1540E+04,0.1309E+00,0.5541E+00
0.1545E+04,0.9912E-01,0.5700E+00
0.1550E+04,0.6648E-01,0.5814E+00
0.1555E+04,0.3351E-01,0.5885E+00
0.1560E+04,0.6897E-03,0.5916E+00
0.1565E+04,-0.3158E-01,0.5909E+00
0.1570E+04,-0.6296E-01,0.5867E+00
0.1575E+04,-0.9317E-01,0.5793E+00
0.1580E+04,-0.1220E+00,0.5689E+00
0.1585E+04,-0.1492E+00,0.5558E+00
0.1590E+04,-0.1747E+00,0.5402E+00
0.1595E+04,-0.1983E+00,0.5222E+00
0.1600E+04,-0.2199E+00,0.5018E+00
0.1605E+04,-0.2391E+00,0.4785E+00
0.1610E+04,-0.2543E+00,0.4525E+00
0.1615E+04,-0.2621E+00,0.4296E+00
0.1620E+04,-0.2723E+00,0.4075E+00
0.1625E+04,-0.2812E+00,0.3836E+00
0.1630E+04,-0.2875E+00,0.3583E+00
0.1635E+04,-0.2908E+00,0.3322E+00
0.1640E+04,-0.2908E+00,0.3060E+00
0.1645E+04,-0.2874E+00,0.2802E+00
0.1650E+04,-0.2807E+00,0.2554E+00
0.1655E+04,-0.2709E+00,0.2324E+00
0.1660E+04,-0.2583E+00,0.2115E+00
0.1665E+04,-0.2434E+00,0.1933E+00
0.1670E+04,-0.2269E+00,0.1778E+00
0.1675E+04,-0.2092E+00,0.1647E+00
0.1680E+04,-0.1898E+00,0.1521E+00
0.1685E+04,-0.1604E+00,0.1394E+00
0.1690E+04,-0.1189E+00,0.1655E+00
0.1695E+04,-0.1236E+00,0.1862E+00
0.1700E+04,-0.1270E+00,0.1911E+00
0.1705E+04,-0.1273E+00,0.1923E+00
0.1710E+04,-0.1262E+00,0.1924E+00
0.1715E+04,-0.1242E+00,0.1921E+00
0.1720E+04,-0.1219E+00,0.1919E+00
0.1725E+04,-0.1194E+00,0.1918E+00
0.1730E+04,-0.1170E+00,0.1918E+00
0.1735E+04,-0.1148E+00,0.1920E+00
0.1740E+04,-0.1128E+00,0.1924E+00
0.1745E+04,-0.1111E+00,0.1928E+00
0.1750E+04,-0.1097E+00,0.1933E+00
0.1755E+04,-0.1086E+00,0.1937E+00
0.1760E+04,-0.1077E+00,0.1941E+00
0.1765E+04,-0.1071E+00,0.1944E+00
0.1770E+04,-0.1067E+00,0.1946E+00
0.1775E+04,-0.1064E+00,0.1946E+00
0.1780E+04,-0.1063E+00,0.1946E+00
0.1785E+04,-0.1062E+00,0.1944E+00
0.1790E+04,-0.1063E+00,0.1941E+00
0.1795E+04,-0.1065E+00,0.1938E+00
0.1800E+04,-0.1067E+00,0.1932E+00
0.1805E+04,-0.1069E+00,0.1926E+00
0.1810E+04,-0.1071E+00,0.1920E+00
0.1815E+04,-0.1074E+00,0.1912E+00
0.1820E+04,-0.1076E+00,0.1903E+00
0.1825E+04,-0.1079E+00,0.1894E+00
0.1830E+04,-0.1081E+00,0.1885E+00
0.1835E+04,-0.1084E+00,0.1875E+00
0.1840E+04,-0.1086E+00,0.1865E+00
0.1845E+04,-0.1088E+00,0.1854E+00
0.1850E+04,-0.1089E+00,0.1843E+00
0.1855E+04,-0.1091E+00,0.1832E+00
0.1860E+04,-0.1092E+00,0.1821E+00
0.1865E+04,-0.1094E+00,0.1809E+00
0.1870E+04,-0.1095E+00,0.1798E+00
0.1875E+04,-0.1096E+00,0.1786E+00
0.1880E+04,-0.1096E+00,0.1774E+00
0.1885E+04,-0.1097E+00,0.1762E+00
0.1890E+04,-0.1097E+00,0.1751E+00
0.1895E+04,-0.1097E+00,0.1739E+00
0.1900E+04,-0.1097E+00,0.1727E+00
0.1905E+04,-0.1097E+00,0.1715E+00
0.1910E+04,-0.1097E+00,0.1703E+00
0.1915E+04,-0.1096E+00,0.1691E+00
0.1920E+04,-0.1095E+00,0.1679E+00
0.1925E+04,-0.1095E+00,0.1668E+00
0.1930E+04,-0.1094E+00,0.1656E+00
0.1935E+04,-0.1092E+00,0.1644E+00
0.1940E+04,-0.1091E+00,0.1633E+00
0.1945E+04,-0.1089E+00,0.1622E+00
0.1950E+04,-0.1087E+00,0.1610E+00
0.1955E+04,-0.1085E+00,0.1600E+00
0.1960E+04,-0.1083E+00,0.1589E+00
0.1965E+04,-0.1081E+00,0.1578E+00
0.1970E+04,-0.1079E+00,0.1568E+00
0.1975E+04,-0.1077E+00,0.1557E+00
0.1980E+04,-0.1074E+00,0.1547E+00
0.1985E+04,-0.1072E+00,0.1537E+00
0.1990E+04,-0.1070E+00,0.1527E+00
0.1995E+04,-0.1067E+00,0.1517E+00
0.2000E+04,-0.1065E+00,0.1508E+00
0.2005E+04,-0.1063E+00,0.1498E+00
0.2010E+04,-0.1060E+00,0.1489E+00
0.2015E+04,-0.1058E+00,0.1479E+00
0.2020E+04,-0.1056E+00,0.1470E+00
0.2025E+04,-0.1053E+00,0.1461E+00
0.2030E+04,-0.1051E+00,0.1451E+00
0.2035E+04,-0.1048E+00,0.1442E+00
0.2040E+04,-0.1046E+00,0.1433E+00
0.2045E+04,-0.1043E+00,0.1424E+00
0.2050E+04,-0.1040E+00,0.1414E+00
0.2055E+04,-0.1038E+00,0.1405E+00
0.2060E+04,-0.1035E+00,0.1396E+00
0.2065E+04,-0.1032E+00,0.1387E+00
0.2070E+04,-0.1029E+00,0.1378E+00
0.2075E+04,-0.1026E+00,0.1369E+00
0.2080E+04,-0.1022E+00,0.1360E+00
0.2085E+04,-0.1019E+00,0.1351E+00
0.2090E+04,-0.1015E+00,0.1342E+00
