W,Re_T,Im_T
0.1690E+04,-0.1065E-03,-0.1172E-04
0.1695E+04,-0.4937E-03,-0.5368E-04
0.1700E+04,-0.9388E-03,-0.1003E-03
0.1705E+04,-0.1408E-02,-0.1473E-03
0.1710E+04,-0.1889E-02,-0.1927E-03
0.1715E+04,-0.2373E-02,-0.2357E-03
0.1720E+04,-0.2857E-02,-0.2757E-03
0.1725E+04,-0.3338E-02,-0.3127E-03
0.1730E+04,-0.3815E-02,-0.3467E-03
0.1735E+04,-0.4286E-02,-0.3777E-03
0.1740E+04,-0.4751E-02,-0.4062E-03
0.1745E+04,-0.5209E-02,-0.4322E-03
0.1750E+04,-0.5660E-02,-0.4561E-03
0.1755E+04,-0.6104E-02,-0.4781E-03
0.1760E+04,-0.6541E-02,-0.4985E-03
0.1765E+04,-0.6969E-02,-0.5176E-03
0.1770E+04,-0.7391E-02,-0.5355E-03
0.1775E+04,-0.7805E-02,-0.5525E-03
0.1780E+04,-0.8211E-02,-0.5688E-03
0.1785E+04,-0.8611E-02,-0.5845E-03
0.1790E+04,-0.9003E-02,-0.5998E-03
0.1795E+04,-0.9387E-02,-0.6148E-03
0.1800E+04,-0.9765E-02,-0.6296E-03
0.1805E+04,-0.1014E-01,-0.6443E-03
0.1810E+04,-0.1050E-01,-0.6589E-03
0.1815E+04,-0.1086E-01,-0.6736E-03
0.1820E+04,-0.1121E-01,-0.6884E-03
0.1825E+04,-0.1155E-01,-0.7033E-03
0.1830E+04,-0.1189E-01,-0.7184E-03
0.1835E+04,-0.1222E-01,-0.7338E-03
0.1840E+04,-0.1255E-01,-0.7495E-03
0.1845E+04,-0.1287E-01,-0.7656E-03
0.1850E+04,-0.1319E-01,-0.7820E-03
0.1855E+04,-0.1350E-01,-0.7990E-03
0.1860E+04,-0.1380E-01,-0.8165E-03
0.1865E+04,-0.1410E-01,-0.8347E-03
0.1870E+04,-0.1439E-01,-0.8534E-03
0.1875E+04,-0.1468E-01,-0.8728E-03
0.1880E+04,-0.1497E-01,-0.8930E-03
0.1885E+04,-0.1525E-01,-0.9139E-03
0.1890E+04,-0.1552E-01,-0.9355E-03
0.1895E+04,-0.1579E-01,-0.9580E-03
0.1900E+04,-0.1606E-01,-0.9812E-03
0.1905E+04,-0.1632E-01,-0.1005E-02
0.1910E+04,-0.1657E-01,-0.1030E-02
0.1915E+04,-0.1683E-01,-0.1055E-02
0.1920E+04,-0.1707E-01,-0.1081E-02
0.1925E+04,-0.1732E-01,-0.1108E-02
0.1930E+04,-0.1756E-01,-0.1136E-02
0.1935E+04,-0.1779E-01,-0.1163E-02
0.1940E+04,-0.1802E-01,-0.1192E-02
0.1945E+04,-0.1825E-01,-0.1220E-02
0.1950E+04,-0.1847E-01,-0.1249E-02
0.1955E+04,-0.1869E-01,-0.1279E-02
0.1960E+04,-0.1891E-01,-0.1308E-02
0.1965E+04,-0.1912E-01,-0.1338E-02
0.1970E+04,-0.1933E-01,-0.1367E-02
0.1975E+04,-0.1953E-01,-0.1397E-02
0.1980E+04,-0.1973E-01,-0.1427E-02
0.1985E+04,-0.1993E-01,-0.1457E-02
0.1990E+04,-0.2013E-01,-0.1486E-02
0.1995E+04,-0.2032E-01,-0.1516E-02
0.2000E+04,-0.2051E-01,-0.1545E-02
0.2005E+04,-0.2069E-01,-0.1575E-02
0.2010E+04,-0.2088E-01,-0.1604E-02
0.2015E+04,-0.2106E-01,-0.1633E-02
0.2020E+04,-0.2124E-01,-0.1662E-02
0.2025E+04,-0.2141E-01,-0.1691E-02
0.2030E+04,-0.2159E-01,-0.1719E-02
0.2035E+04,-0.2176E-01,-0.1748E-02
0.2040E+04,-0.2193E-01,-0.1776E-02
0.2045E+04,-0.2209E-01,-0.1804E-02
0.2050E+04,-0.2226E-01,-0.1831E-02
0.2055E+04,-0.2242E-01,-0.1859E-02
0.2060E+04,-0.2258E-01,-0.1886E-02
0.2065E+04,-0.2273E-01,-0.1913E-02
0.2070E+04,-0.2289E-01,-0.1939E-02
0.2075E+04,-0.2304E-01,-0.1966E-02
0.2080E+04,-0.2320E-01,-0.1991E-02
0.2085E+04,-0.2335E-01,-0.2017E-02
0.2090E+04,-0.2350E-01,-0.2042E-02
0.2095E+04,-0.2364E-01,-0.2066E-02
0.2100E+04,-0.2379E-01,-0.2090E-02
0.2105E+04,-0.2393E-01,-0.2113E-02
0.2110E+04,-0.2407E-01,-0.2135E-02
0.2115E+04,-0.2422E-01,-0.2157E-02
0.2120E+04,-0.2436E-01,-0.2179E-02
0.2125E+04,-0.2449E-01,-0.2199E-02
0.2130E+04,-0.2463E-01,-0.2219E-02
0.2135E+04,-0.2477E-01,-0.2238E-02
0.2140E+04,-0.2491E-01,-0.2257E-02
0.2145E+04,-0.2504E-01,-0.2275E-02
0.2150E+04,-0.2518E-01,-0.2292E-02
0.2155E+04,-0.2531E-01,-0.2309E-02
0.2160E+04,-0.2545E-01,-0.2325E-02
0.2165E+04,-0.2558E-01,-0.2342E-02
0.2170E+04,-0.2572E-01,-0.2358E-02
0.2175E+04,-0.2585E-01,-0.2374E-02
0.2180E+04,-0.2599E-01,-0.2390E-02
0.2185E+04,-0.2612E-01,-0.2406E-02
0.2190E+04,-0.2626E-01,-0.2423E-02
0.2195E+04,-0.2639E-01,-0.2441E-02
0.2200E+04,-0.2653E-01,-0.2459E-02
