W,Re_T,Im_T
0.1690E+04,-0.5692E-06,-0.1076E-09
0.1695E+04,-0.9278E-05,-0.1896E-08
0.1700E+04,-0.3036E-04,-0.6687E-08
0.1705E+04,-0.6469E-04,-0.1532E-07
0.1710E+04,-0.1125E-03,-0.2858E-07
0.1715E+04,-0.1736E-03,-0.4725E-07
0.1720E+04,-0.2478E-03,-0.7216E-07
0.1725E+04,-0.3347E-03,-0.1042E-06
0.1730E+04,-0.4337E-03,-0.1443E-06
0.1735E+04,-0.5444E-03,-0.1937E-06
0.1740E+04,-0.6662E-03,-0.2536E-06
0.1745E+04,-0.7985E-03,-0.3254E-06
0.1750E+04,-0.9409E-03,-0.4110E-06
0.1755E+04,-0.1093E-02,-0.5121E-06
0.1760E+04,-0.1254E-02,-0.6310E-06
0.1765E+04,-0.1423E-02,-0.7703E-06
0.1770E+04,-0.1600E-02,-0.9326E-06
0.1775E+04,-0.1784E-02,-0.1121E-05
0.1780E+04,-0.1976E-02,-0.1339E-05
0.1785E+04,-0.2173E-02,-0.1590E-05
0.1790E+04,-0.2377E-02,-0.1878E-05
0.1795E+04,-0.2587E-02,-0.2206E-05
0.1800E+04,-0.2801E-02,-0.2580E-05
0.1805E+04,-0.3021E-02,-0.3002E-05
0.1810E+04,-0.3245E-02,-0.3477E-05
0.1815E+04,-0.3473E-02,-0.4009E-05
0.1820E+04,-0.3705E-02,-0.4601E-05
0.1825E+04,-0.3940E-02,-0.5258E-05
0.1830E+04,-0.4178E-02,-0.5983E-05
0.1835E+04,-0.4419E-02,-0.6779E-05
0.1840E+04,-0.4663E-02,-0.7648E-05
0.1845E+04,-0.4909E-02,-0.8595E-05
0.1850E+04,-0.5157E-02,-0.9621E-05
0.1855E+04,-0.5407E-02,-0.1073E-04
0.1860E+04,-0.5659E-02,-0.1192E-04
0.1865E+04,-0.5911E-02,-0.1319E-04
0.1870E+04,-0.6165E-02,-0.1454E-04
0.1875E+04,-0.6420E-02,-0.1597E-04
0.1880E+04,-0.6676E-02,-0.1749E-04
0.1885E+04,-0.6932E-02,-0.1908E-04
0.1890E+04,-0.7189E-02,-0.2074E-04
0.1895E+04,-0.7446E-02,-0.2246E-04
0.1900E+04,-0.7703E-02,-0.2423E-04
0.1905E+04,-0.7960E-02,-0.2604E-04
0.1910E+04,-0.8217E-02,-0.2788E-04
0.1915E+04,-0.8474E-02,-0.2972E-04
0.1920E+04,-0.8730E-02,-0.3154E-04
0.1925E+04,-0.8985E-02,-0.3332E-04
0.1930E+04,-0.9240E-02,-0.3502E-04
0.1935E+04,-0.9494E-02,-0.3660E-04
0.1940E+04,-0.9747E-02,-0.3803E-04
0.1945E+04,-0.9998E-02,-0.3926E-04
0.1950E+04,-0.1025E-01,-0.4023E-04
0.1955E+04,-0.1050E-01,-0.4089E-04
0.1960E+04,-0.1075E-01,-0.4118E-04
0.1965E+04,-0.1099E-01,-0.4103E-04
0.1970E+04,-0.1124E-01,-0.4038E-04
0.1975E+04,-0.1148E-01,-0.3915E-04
0.1980E+04,-0.1172E-01,-0.3725E-04
0.1985E+04,-0.1197E-01,-0.3462E-04
0.1990E+04,-0.1221E-01,-0.3117E-04
0.1995E+04,-0.1244E-01,-0.2680E-04
0.2000E+04,-0.1268E-01,-0.2144E-04
0.2005E+04,-0.1291E-01,-0.1500E-04
0.2010E+04,-0.1315E-01,-0.7391E-05
0.2015E+04,-0.1338E-01,0.1477E-05
0.2020E+04,-0.1361E-01,0.1169E-04
0.2025E+04,-0.1384E-01,0.2331E-04
0.2030E+04,-0.1406E-01,0.3643E-04
0.2035E+04,-0.1429E-01,0.5111E-04
0.2040E+04,-0.1452E-01,0.6740E-04
0.2045E+04,-0.1474E-01,0.8534E-04
0.2050E+04,-0.1496E-01,0.1050E-03
0.2055E+04,-0.1519E-01,0.1263E-03
0.2060E+04,-0.1541E-01,0.1493E-03
0.2065E+04,-0.1563E-01,0.1740E-03
0.2070E+04,-0.1586E-01,0.2003E-03
0.2075E+04,-0.1608E-01,0.2282E-03
0.2080E+04,-0.1630E-01,0.2575E-03
0.2085E+04,-0.1652E-01,0.2882E-03
0.2090E+04,-0.1675E-01,0.3202E-03
0.2095E+04,-0.1697E-01,0.3532E-03
0.2100E+04,-0.1720E-01,0.3871E-03
0.2105E+04,-0.1742E-01,0.4217E-03
0.2110E+04,-0.1765E-01,0.4568E-03
0.2115E+04,-0.1788E-01,0.4921E-03
0.2120E+04,-0.1811E-01,0.5275E-03
0.2125E+04,-0.1834E-01,0.5627E-03
0.2130E+04,-0.1857E-01,0.5974E-03
0.2135E+04,-0.1880E-01,0.6315E-03
0.2140E+04,-0.1904E-01,0.6647E-03
0.2145E+04,-0.1927E-01,0.6967E-03
0.2150E+04,-0.1951E-01,0.7275E-03
0.2155E+04,-0.1974E-01,0.7568E-03
0.2160E+04,-0.1998E-01,0.7845E-03
0.2165E+04,-0.2021E-01,0.8105E-03
0.2170E+04,-0.2045E-01,0.8347E-03
0.2175E+04,-0.2069E-01,0.8573E-03
0.2180E+04,-0.2092E-01,0.8780E-03
0.2185E+04,-0.2116E-01,0.8970E-03
0.2190E+04,-0.2139E-01,0.9144E-03
0.2195E+04,-0.2162E-01,0.9301E-03
0.2200E+04,-0.2186E-01,0.9444E-03
