W,Re_T,Im_T
0.1690E+04,-0.1351E-02,-0.2421E-03
0.1695E+04,-0.3364E-02,-0.6463E-03
0.1700E+04,-0.4901E-02,-0.1007E-02
0.1705E+04,-0.6184E-02,-0.1352E-02
0.1710E+04,-0.7288E-02,-0.1688E-02
0.1715E+04,-0.8250E-02,-0.2013E-02
0.1720E+04,-0.9097E-02,-0.2325E-02
0.1725E+04,-0.9848E-02,-0.2620E-02
0.1730E+04,-0.1052E-01,-0.2897E-02
0.1735E+04,-0.1112E-01,-0.3156E-02
0.1740E+04,-0.1167E-01,-0.3396E-02
0.1745E+04,-0.1218E-01,-0.3618E-02
0.1750E+04,-0.1264E-01,-0.3824E-02
0.1755E+04,-0.1307E-01,-0.4014E-02
0.1760E+04,-0.1347E-01,-0.4191E-02
0.1765E+04,-0.1385E-01,-0.4357E-02
0.1770E+04,-0.1421E-01,-0.4511E-02
0.1775E+04,-0.1455E-01,-0.4655E-02
0.1780E+04,-0.1487E-01,-0.4791E-02
0.1785E+04,-0.1518E-01,-0.4918E-02
0.1790E+04,-0.1547E-01,-0.5038E-02
0.1795E+04,-0.1576E-01,-0.5151E-02
0.1800E+04,-0.1603E-01,-0.5257E-02
0.1805E+04,-0.1629E-01,-0.5357E-02
0.1810E+04,-0.1655E-01,-0.5450E-02
0.1815E+04,-0.1680E-01,-0.5537E-02
0.1820E+04,-0.1704E-01,-0.5619E-02
0.1825E+04,-0.1728E-01,-0.5696E-02
0.1830E+04,-0.1751E-01,-0.5767E-02
0.1835E+04,-0.1774E-01,-0.5834E-02
0.1840E+04,-0.1797E-01,-0.5896E-02
0.1845E+04,-0.1820E-01,-0.5955E-02
0.1850E+04,-0.1842E-01,-0.6010E-02
0.1855E+04,-0.1864E-01,-0.6062E-02
0.1860E+04,-0.1886E-01,-0.6112E-02
0.1865E+04,-0.1909E-01,-0.6160E-02
0.1870E+04,-0.1931E-01,-0.6206E-02
0.1875E+04,-0.1953E-01,-0.6251E-02
0.1880E+04,-0.1975E-01,-0.6296E-02
0.1885E+04,-0.1997E-01,-0.6341E-02
0.1890E+04,-0.2019E-01,-0.6386E-02
0.1895E+04,-0.2041E-01,-0.6432E-02
0.1900E+04,-0.2063E-01,-0.6478E-02
0.1905E+04,-0.2085E-01,-0.6526E-02
0.1910E+04,-0.2107E-01,-0.6575E-02
0.1915E+04,-0.2129E-01,-0.6625E-02
0.1920E+04,-0.2150E-01,-0.6676E-02
0.1925E+04,-0.2171E-01,-0.6729E-02
0.1930E+04,-0.2193E-01,-0.6782E-02
0.1935E+04,-0.2213E-01,-0.6836E-02
0.1940E+04,-0.2234E-01,-0.6891E-02
0.1945E+04,-0.2255E-01,-0.6946E-02
0.1950E+04,-0.2275E-01,-0.7001E-02
0.1955E+04,-0.2295E-01,-0.7057E-02
0.1960E+04,-0.2315E-01,-0.7112E-02
0.1965E+04,-0.2335E-01,-0.7167E-02
0.1970E+04,-0.2354E-01,-0.7222E-02
0.1975E+04,-0.2374E-01,-0.7277E-02
0.1980E+04,-0.2393E-01,-0.7332E-02
0.1985E+04,-0.2412E-01,-0.7387E-02
0.1990E+04,-0.2431E-01,-0.7442E-02
0.1995E+04,-0.2450E-01,-0.7496E-02
0.2000E+04,-0.2469E-01,-0.7552E-02
0.2005E+04,-0.2488E-01,-0.7608E-02
0.2010E+04,-0.2507E-01,-0.7665E-02
0.2015E+04,-0.2525E-01,-0.7722E-02
0.2020E+04,-0.2544E-01,-0.7781E-02
0.2025E+04,-0.2562E-01,-0.7841E-02
0.2030E+04,-0.2581E-01,-0.7902E-02
0.2035E+04,-0.2599E-01,-0.7964E-02
0.2040E+04,-0.2617E-01,-0.8027E-02
0.2045E+04,-0.2635E-01,-0.8092E-02
0.2050E+04,-0.2652E-01,-0.8159E-02
0.2055E+04,-0.2670E-01,-0.8226E-02
0.2060E+04,-0.2687E-01,-0.8295E-02
0.2065E+04,-0.2704E-01,-0.8365E-02
0.2070E+04,-0.2720E-01,-0.8436E-02
0.2075E+04,-0.2737E-01,-0.8508E-02
0.2080E+04,-0.2753E-01,-0.8580E-02
0.2085E+04,-0.2769E-01,-0.8654E-02
0.2090E+04,-0.2784E-01,-0.8727E-02
0.2095E+04,-0.2800E-01,-0.8801E-02
0.2100E+04,-0.2815E-01,-0.8876E-02
0.2105E+04,-0.2830E-01,-0.8950E-02
0.2110E+04,-0.2844E-01,-0.9024E-02
0.2115E+04,-0.2858E-01,-0.9098E-02
0.2120E+04,-0.2872E-01,-0.9172E-02
0.2125E+04,-0.2885E-01,-0.9245E-02
0.2130E+04,-0.2899E-01,-0.9318E-02
0.2135E+04,-0.2912E-01,-0.9390E-02
0.2140E+04,-0.2925E-01,-0.9461E-02
0.2145E+04,-0.2937E-01,-0.9531E-02
0.2150E+04,-0.2950E-01,-0.9600E-02
0.2155E+04,-0.2962E-01,-0.9668E-02
0.2160E+04,-0.2974E-01,-0.9735E-02
0.2165E+04,-0.2985E-01,-0.9801E-02
0.2170E+04,-0.2997E-01,-0.9866E-02
0.2175E+04,-0.3008E-01,-0.9930E-02
0.2180E+04,-0.3020E-01,-0.9992E-02
0.2185E+04,-0.3031E-01,-0.1005E-01
0.2190E+04,-0.3042E-01,-0.1012E-01
0.2195E+04,-0.3053E-01,-0.1018E-01
0.2200E+04,-0.3064E-01,-0.1024E-01
