W,Re_T,Im_T
0.1615E+04,-0.4506E-06,-0.2749E-04
0.1620E+04,-0.1123E-04,-0.9232E-04
0.1625E+04,-0.3254E-04,-0.1962E-03
0.1630E+04,-0.5971E-04,-0.3451E-03
0.1635E+04,-0.8513E-04,-0.5440E-03
0.1640E+04,-0.9892E-04,-0.7955E-03
0.1645E+04,-0.8985E-04,-0.1099E-02
0.1650E+04,-0.4649E-04,-0.1452E-02
0.1655E+04,0.4136E-04,-0.1845E-02
0.1660E+04,0.1814E-03,-0.2268E-02
0.1665E+04,0.3780E-03,-0.2710E-02
0.1670E+04,0.6317E-03,-0.3157E-02
0.1675E+04,0.9395E-03,-0.3598E-02
0.1680E+04,0.1296E-02,-0.4022E-02
0.1685E+04,0.1693E-02,-0.4423E-02
0.1690E+04,0.2123E-02,-0.4796E-02
0.1695E+04,0.2578E-02,-0.5138E-02
0.1700E+04,0.3051E-02,-0.5449E-02
0.1705E+04,0.3534E-02,-0.5730E-02
0.1710E+04,0.4024E-02,-0.5982E-02
0.1715E+04,0.4515E-02,-0.6208E-02
0.1720E+04,0.5004E-02,-0.6411E-02
0.1725E+04,0.5490E-02,-0.6594E-02
0.1730E+04,0.5970E-02,-0.6758E-02
0.1735E+04,0.6443E-02,-0.6906E-02
0.1740E+04,0.6909E-02,-0.7039E-02
0.1745E+04,0.7367E-02,-0.7161E-02
0.1750E+04,0.7816E-02,-0.7272E-02
0.1755E+04,0.8256E-02,-0.7373E-02
0.1760E+04,0.8687E-02,-0.7467E-02
0.1765E+04,0.9110E-02,-0.7554E-02
0.1770E+04,0.9524E-02,-0.7635E-02
0.1775E+04,0.9929E-02,-0.7711E-02
0.1780E+04,0.1033E-01,-0.7783E-02
0.1785E+04,0.1072E-01,-0.7852E-02
0.1790E+04,0.1110E-01,-0.7918E-02
0.1795E+04,0.1147E-01,-0.7981E-02
0.1800E+04,0.1183E-01,-0.8043E-02
0.1805E+04,0.1219E-01,-0.8103E-02
0.1810E+04,0.1254E-01,-0.8162E-02
0.1815E+04,0.1288E-01,-0.8221E-02
0.1820E+04,0.1321E-01,-0.8280E-02
0.1825E+04,0.1354E-01,-0.8339E-02
0.1830E+04,0.1386E-01,-0.8398E-02
0.1835E+04,0.1418E-01,-0.8459E-02
0.1840E+04,0.1448E-01,-0.8521E-02
0.1845E+04,0.1478E-01,-0.8584E-02
0.1850E+04,0.1507E-01,-0.8649E-02
0.1855E+04,0.1536E-01,-0.8717E-02
0.1860E+04,0.1564E-01,-0.8787E-02
0.1865E+04,0.1591E-01,-0.8861E-02
0.1870E+04,0.1618E-01,-0.8937E-02
0.1875E+04,0.1644E-01,-0.9018E-02
0.1880E+04,0.1670E-01,-0.9102E-02
0.1885E+04,0.1695E-01,-0.9191E-02
0.1890E+04,0.1719E-01,-0.9284E-02
0.1895E+04,0.1743E-01,-0.9382E-02
0.1900E+04,0.1766E-01,-0.9485E-02
0.1905E+04,0.1789E-01,-0.9593E-02
0.1910E+04,0.1812E-01,-0.9707E-02
0.1915E+04,0.1834E-01,-0.9826E-02
0.1920E+04,0.1855E-01,-0.9952E-02
0.1925E+04,0.1876E-01,-0.1008E-01
0.1930E+04,0.1896E-01,-0.1022E-01
0.1935E+04,0.1917E-01,-0.1037E-01
0.1940E+04,0.1936E-01,-0.1052E-01
0.1945E+04,0.1956E-01,-0.1068E-01
0.1950E+04,0.1975E-01,-0.1085E-01
0.1955E+04,0.1993E-01,-0.1103E-01
0.1960E+04,0.2012E-01,-0.1121E-01
0.1965E+04,0.2030E-01,-0.1141E-01
0.1970E+04,0.2048E-01,-0.1162E-01
0.1975E+04,0.2065E-01,-0.1183E-01
0.1980E+04,0.2083E-01,-0.1206E-01
0.1985E+04,0.2101E-01,-0.1229E-01
