W,Re_T,Im_T
0.1615E+04,0.5049E-04,0.3201E-04
0.1620E+04,0.1961E-03,0.1382E-03
0.1625E+04,0.4159E-03,0.3278E-03
0.1630E+04,0.6941E-03,0.6171E-03
0.1635E+04,0.1011E-02,0.1024E-02
0.1640E+04,0.1339E-02,0.1563E-02
0.1645E+04,0.1643E-02,0.2246E-02
0.1650E+04,0.1881E-02,0.3071E-02
0.1655E+04,0.2008E-02,0.4023E-02
0.1660E+04,0.1983E-02,0.5068E-02
0.1665E+04,0.1778E-02,0.6157E-02
0.1670E+04,0.1384E-02,0.7232E-02
0.1675E+04,0.8163E-03,0.8236E-02
0.1680E+04,0.1073E-03,0.9121E-02
0.1685E+04,-0.6974E-03,0.9860E-02
0.1690E+04,-0.1550E-02,0.1044E-01
0.1695E+04,-0.2408E-02,0.1087E-01
0.1700E+04,-0.3236E-02,0.1116E-01
0.1705E+04,-0.4013E-02,0.1134E-01
0.1710E+04,-0.4723E-02,0.1143E-01
0.1715E+04,-0.5361E-02,0.1145E-01
0.1720E+04,-0.5923E-02,0.1142E-01
0.1725E+04,-0.6414E-02,0.1136E-01
0.1730E+04,-0.6837E-02,0.1127E-01
0.1735E+04,-0.7197E-02,0.1116E-01
0.1740E+04,-0.7500E-02,0.1106E-01
0.1745E+04,-0.7751E-02,0.1095E-01
0.1750E+04,-0.7956E-02,0.1084E-01
0.1755E+04,-0.8119E-02,0.1073E-01
0.1760E+04,-0.8244E-02,0.1064E-01
0.1765E+04,-0.8336E-02,0.1055E-01
0.1770E+04,-0.8398E-02,0.1047E-01
0.1775E+04,-0.8433E-02,0.1040E-01
0.1780E+04,-0.8443E-02,0.1033E-01
0.1785E+04,-0.8431E-02,0.1028E-01
0.1790E+04,-0.8398E-02,0.1023E-01
0.1795E+04,-0.8345E-02,0.1018E-01
0.1800E+04,-0.8275E-02,0.1014E-01
0.1805E+04,-0.8187E-02,0.1011E-01
0.1810E+04,-0.8084E-02,0.1008E-01
0.1815E+04,-0.7965E-02,0.1006E-01
0.1820E+04,-0.7831E-02,0.1004E-01
0.1825E+04,-0.7682E-02,0.1002E-01
0.1830E+04,-0.7519E-02,0.1001E-01
0.1835E+04,-0.7343E-02,0.9995E-02
0.1840E+04,-0.7153E-02,0.9984E-02
0.1845E+04,-0.6949E-02,0.9975E-02
0.1850E+04,-0.6732E-02,0.9968E-02
0.1855E+04,-0.6502E-02,0.9962E-02
0.1860E+04,-0.6259E-02,0.9957E-02
0.1865E+04,-0.6003E-02,0.9954E-02
0.1870E+04,-0.5735E-02,0.9951E-02
0.1875E+04,-0.5454E-02,0.9949E-02
0.1880E+04,-0.5161E-02,0.9949E-02
0.1885E+04,-0.4856E-02,0.9949E-02
0.1890E+04,-0.4539E-02,0.9949E-02
0.1895E+04,-0.4210E-02,0.9950E-02
0.1900E+04,-0.3870E-02,0.9952E-02
0.1905E+04,-0.3518E-02,0.9954E-02
0.1910E+04,-0.3155E-02,0.9957E-02
0.1915E+04,-0.2780E-02,0.9960E-02
0.1920E+04,-0.2394E-02,0.9964E-02
0.1925E+04,-0.1996E-02,0.9968E-02
0.1930E+04,-0.1588E-02,0.9973E-02
0.1935E+04,-0.1168E-02,0.9979E-02
0.1940E+04,-0.7377E-03,0.9986E-02
0.1945E+04,-0.2967E-03,0.9994E-02
0.1950E+04,0.1546E-03,0.1000E-01
0.1955E+04,0.6159E-03,0.1001E-01
0.1960E+04,0.1087E-02,0.1003E-01
0.1965E+04,0.1567E-02,0.1004E-01
0.1970E+04,0.2056E-02,0.1006E-01
0.1975E+04,0.2554E-02,0.1008E-01
0.1980E+04,0.3059E-02,0.1009E-01
0.1985E+04,0.3572E-02,0.1012E-01
0.1990E+04,0.4092E-02,0.1014E-01
0.1995E+04,0.4620E-02,0.1016E-01
0.2000E+04,0.5153E-02,0.1018E-01
0.2005E+04,0.5693E-02,0.1021E-01
0.2010E+04,0.6239E-02,0.1023E-01
0.2015E+04,0.6791E-02,0.1025E-01
0.2020E+04,0.7348E-02,0.1027E-01
0.2025E+04,0.7912E-02,0.1029E-01
0.2030E+04,0.8481E-02,0.1031E-01
0.2035E+04,0.9057E-02,0.1032E-01
0.2040E+04,0.9639E-02,0.1033E-01
0.2045E+04,0.1023E-01,0.1034E-01
0.2050E+04,0.1082E-01,0.1034E-01
0.2055E+04,0.1143E-01,0.1034E-01
0.2060E+04,0.1204E-01,0.1034E-01
0.2065E+04,0.1266E-01,0.1033E-01
0.2070E+04,0.1329E-01,0.1031E-01
0.2075E+04,0.1393E-01,0.1029E-01
0.2080E+04,0.1458E-01,0.1027E-01
0.2085E+04,0.1524E-01,0.1025E-01
0.2090E+04,0.1592E-01,0.1022E-01
0.2095E+04,0.1660E-01,0.1018E-01
0.2100E+04,0.1730E-01,0.1015E-01
0.2105E+04,0.1801E-01,0.1012E-01
0.2110E+04,0.1874E-01,0.1008E-01
0.2115E+04,0.1948E-01,0.1004E-01
0.2120E+04,0.2023E-01,0.1001E-01
0.2125E+04,0.2099E-01,0.9971E-02
0.2130E+04,0.2177E-01,0.9939E-02
0.2135E+04,0.2256E-01,0.9909E-02
0.2140E+04,0.2336E-01,0.9883E-02
0.2145E+04,0.2417E-01,0.9861E-02
0.2150E+04,0.2500E-01,0.9843E-02
0.2155E+04,0.2584E-01,0.9831E-02
0.2160E+04,0.2668E-01,0.9824E-02
0.2165E+04,0.2754E-01,0.9824E-02
0.2170E+04,0.2840E-01,0.9829E-02
0.2175E+04,0.2927E-01,0.9840E-02
0.2180E+04,0.3015E-01,0.9858E-02
0.2185E+04,0.3104E-01,0.9882E-02
0.2190E+04,0.3193E-01,0.9911E-02
0.2195E+04,0.3282E-01,0.9946E-02
0.2200E+04,0.3372E-01,0.9987E-02
