W,Re_T,Im_T
0.1615E+04,-0.1292E-07,-0.5587E-09
0.1620E+04,-0.8441E-07,-0.3641E-08
0.1625E+04,-0.2515E-06,-0.1096E-07
0.1630E+04,-0.5513E-06,-0.2449E-07
0.1635E+04,-0.1022E-05,-0.4664E-07
0.1640E+04,-0.1704E-05,-0.8031E-07
0.1645E+04,-0.2639E-05,-0.1289E-06
0.1650E+04,-0.3868E-05,-0.1967E-06
0.1655E+04,-0.5436E-05,-0.2884E-06
0.1660E+04,-0.7387E-05,-0.4098E-06
0.1665E+04,-0.9767E-05,-0.5672E-06
0.1670E+04,-0.1262E-04,-0.7683E-06
0.1675E+04,-0.1600E-04,-0.1022E-05
0.1680E+04,-0.1994E-04,-0.1336E-05
0.1685E+04,-0.2450E-04,-0.1723E-05
0.1690E+04,-0.2973E-04,-0.2194E-05
0.1695E+04,-0.3567E-04,-0.2762E-05
0.1700E+04,-0.4237E-04,-0.3441E-05
0.1705E+04,-0.4989E-04,-0.4246E-05
0.1710E+04,-0.5826E-04,-0.5193E-05
0.1715E+04,-0.6755E-04,-0.6301E-05
0.1720E+04,-0.7781E-04,-0.7589E-05
0.1725E+04,-0.8908E-04,-0.9077E-05
0.1730E+04,-0.1014E-03,-0.1079E-04
0.1735E+04,-0.1149E-03,-0.1274E-04
0.1740E+04,-0.1295E-03,-0.1497E-04
0.1745E+04,-0.1454E-03,-0.1749E-04
0.1750E+04,-0.1625E-03,-0.2035E-04
0.1755E+04,-0.1810E-03,-0.2356E-04
0.1760E+04,-0.2009E-03,-0.2717E-04
0.1765E+04,-0.2223E-03,-0.3122E-04
0.1770E+04,-0.2452E-03,-0.3574E-04
0.1775E+04,-0.2697E-03,-0.4079E-04
0.1780E+04,-0.2958E-03,-0.4641E-04
0.1785E+04,-0.3237E-03,-0.5267E-04
0.1790E+04,-0.3534E-03,-0.5962E-04
0.1795E+04,-0.3849E-03,-0.6734E-04
0.1800E+04,-0.4184E-03,-0.7590E-04
0.1805E+04,-0.4539E-03,-0.8538E-04
0.1810E+04,-0.4914E-03,-0.9587E-04
0.1815E+04,-0.5311E-03,-0.1075E-03
0.1820E+04,-0.5729E-03,-0.1203E-03
0.1825E+04,-0.6170E-03,-0.1344E-03
0.1830E+04,-0.6635E-03,-0.1500E-03
0.1835E+04,-0.7123E-03,-0.1671E-03
0.1840E+04,-0.7635E-03,-0.1859E-03
0.1845E+04,-0.8171E-03,-0.2066E-03
0.1850E+04,-0.8733E-03,-0.2293E-03
0.1855E+04,-0.9320E-03,-0.2541E-03
0.1860E+04,-0.9933E-03,-0.2812E-03
0.1865E+04,-0.1057E-02,-0.3108E-03
0.1870E+04,-0.1124E-02,-0.3430E-03
0.1875E+04,-0.1193E-02,-0.3781E-03
0.1880E+04,-0.1264E-02,-0.4161E-03
0.1885E+04,-0.1339E-02,-0.4573E-03
0.1890E+04,-0.1415E-02,-0.5019E-03
0.1895E+04,-0.1495E-02,-0.5501E-03
0.1900E+04,-0.1577E-02,-0.6021E-03
0.1905E+04,-0.1661E-02,-0.6581E-03
0.1910E+04,-0.1748E-02,-0.7183E-03
0.1915E+04,-0.1838E-02,-0.7830E-03
0.1920E+04,-0.1929E-02,-0.8523E-03
0.1925E+04,-0.2023E-02,-0.9266E-03
0.1930E+04,-0.2120E-02,-0.1006E-02
0.1935E+04,-0.2218E-02,-0.1091E-02
0.1940E+04,-0.2318E-02,-0.1181E-02
0.1945E+04,-0.2420E-02,-0.1278E-02
0.1950E+04,-0.2524E-02,-0.1380E-02
0.1955E+04,-0.2630E-02,-0.1490E-02
0.1960E+04,-0.2737E-02,-0.1605E-02
0.1965E+04,-0.2845E-02,-0.1728E-02
0.1970E+04,-0.2955E-02,-0.1858E-02
0.1975E+04,-0.3065E-02,-0.1996E-02
0.1980E+04,-0.3176E-02,-0.2142E-02
0.1985E+04,-0.3288E-02,-0.2295E-02
0.1990E+04,-0.3400E-02,-0.2458E-02
0.1995E+04,-0.3512E-02,-0.2629E-02
0.2000E+04,-0.3624E-02,-0.2809E-02
0.2005E+04,-0.3735E-02,-0.3000E-02
0.2010E+04,-0.3846E-02,-0.3200E-02
0.2015E+04,-0.3955E-02,-0.3411E-02
0.2020E+04,-0.4063E-02,-0.3633E-02
0.2025E+04,-0.4169E-02,-0.3867E-02
0.2030E+04,-0.4273E-02,-0.4113E-02
0.2035E+04,-0.4372E-02,-0.4372E-02
0.2040E+04,-0.4468E-02,-0.4644E-02
0.2045E+04,-0.4558E-02,-0.4930E-02
0.2050E+04,-0.4642E-02,-0.5231E-02
0.2055E+04,-0.4719E-02,-0.5546E-02
0.2060E+04,-0.4787E-02,-0.5877E-02
0.2065E+04,-0.4844E-02,-0.6222E-02
0.2070E+04,-0.4889E-02,-0.6583E-02
0.2075E+04,-0.4921E-02,-0.6959E-02
0.2080E+04,-0.4936E-02,-0.7350E-02
0.2085E+04,-0.4934E-02,-0.7754E-02
0.2090E+04,-0.4913E-02,-0.8171E-02
0.2095E+04,-0.4870E-02,-0.8599E-02
0.2100E+04,-0.4805E-02,-0.9037E-02
0.2105E+04,-0.4715E-02,-0.9482E-02
0.2110E+04,-0.4600E-02,-0.9932E-02
0.2115E+04,-0.4458E-02,-0.1039E-01
0.2120E+04,-0.4290E-02,-0.1084E-01
0.2125E+04,-0.4096E-02,-0.1129E-01
0.2130E+04,-0.3875E-02,-0.1173E-01
0.2135E+04,-0.3630E-02,-0.1217E-01
0.2140E+04,-0.3361E-02,-0.1259E-01
0.2145E+04,-0.3070E-02,-0.1300E-01
0.2150E+04,-0.2760E-02,-0.1340E-01
0.2155E+04,-0.2432E-02,-0.1378E-01
0.2160E+04,-0.2090E-02,-0.1415E-01
0.2165E+04,-0.1735E-02,-0.1450E-01
0.2170E+04,-0.1370E-02,-0.1483E-01
0.2175E+04,-0.9977E-03,-0.1514E-01
0.2180E+04,-0.6194E-03,-0.1544E-01
0.2185E+04,-0.2372E-03,-0.1572E-01
0.2190E+04,0.1475E-03,-0.1599E-01
0.2195E+04,0.5337E-03,-0.1625E-01
0.2200E+04,0.9206E-03,-0.1649E-01
