W,Re_T,Im_T
0.1615E+04,0.1471E-07,0.1721E-09
0.1620E+04,0.1238E-06,0.1506E-08
0.1625E+04,0.4075E-06,0.5155E-08
0.1630E+04,0.9370E-06,0.1232E-07
0.1635E+04,0.1780E-05,0.2431E-07
0.1640E+04,0.3000E-05,0.4255E-07
0.1645E+04,0.4662E-05,0.6865E-07
0.1650E+04,0.6826E-05,0.1043E-06
0.1655E+04,0.9556E-05,0.1515E-06
0.1660E+04,0.1291E-04,0.2124E-06
0.1665E+04,0.1695E-04,0.2891E-06
0.1670E+04,0.2174E-04,0.3843E-06
0.1675E+04,0.2733E-04,0.5007E-06
0.1680E+04,0.3378E-04,0.6412E-06
0.1685E+04,0.4115E-04,0.8091E-06
0.1690E+04,0.4950E-04,0.1008E-05
0.1695E+04,0.5888E-04,0.1241E-05
0.1700E+04,0.6936E-04,0.1512E-05
0.1705E+04,0.8098E-04,0.1826E-05
0.1710E+04,0.9381E-04,0.2187E-05
0.1715E+04,0.1079E-03,0.2600E-05
0.1720E+04,0.1233E-03,0.3070E-05
0.1725E+04,0.1400E-03,0.3602E-05
0.1730E+04,0.1582E-03,0.4202E-05
0.1735E+04,0.1779E-03,0.4876E-05
0.1740E+04,0.1990E-03,0.5629E-05
0.1745E+04,0.2217E-03,0.6468E-05
0.1750E+04,0.2461E-03,0.7400E-05
0.1755E+04,0.2721E-03,0.8432E-05
0.1760E+04,0.2998E-03,0.9571E-05
0.1765E+04,0.3293E-03,0.1083E-04
0.1770E+04,0.3606E-03,0.1220E-04
0.1775E+04,0.3937E-03,0.1371E-04
0.1780E+04,0.4287E-03,0.1535E-04
0.1785E+04,0.4657E-03,0.1714E-04
0.1790E+04,0.5046E-03,0.1909E-04
0.1795E+04,0.5456E-03,0.2121E-04
0.1800E+04,0.5886E-03,0.2350E-04
0.1805E+04,0.6337E-03,0.2597E-04
0.1810E+04,0.6809E-03,0.2864E-04
0.1815E+04,0.7302E-03,0.3152E-04
0.1820E+04,0.7818E-03,0.3461E-04
0.1825E+04,0.8356E-03,0.3794E-04
0.1830E+04,0.8917E-03,0.4150E-04
0.1835E+04,0.9501E-03,0.4532E-04
0.1840E+04,0.1011E-02,0.4940E-04
0.1845E+04,0.1074E-02,0.5376E-04
0.1850E+04,0.1139E-02,0.5842E-04
0.1855E+04,0.1207E-02,0.6339E-04
0.1860E+04,0.1277E-02,0.6867E-04
0.1865E+04,0.1350E-02,0.7430E-04
0.1870E+04,0.1425E-02,0.8029E-04
0.1875E+04,0.1502E-02,0.8665E-04
0.1880E+04,0.1583E-02,0.9340E-04
0.1885E+04,0.1665E-02,0.1006E-03
0.1890E+04,0.1750E-02,0.1082E-03
0.1895E+04,0.1838E-02,0.1162E-03
0.1900E+04,0.1928E-02,0.1247E-03
0.1905E+04,0.2021E-02,0.1338E-03
0.1910E+04,0.2116E-02,0.1433E-03
0.1915E+04,0.2214E-02,0.1534E-03
0.1920E+04,0.2314E-02,0.1641E-03
0.1925E+04,0.2417E-02,0.1753E-03
0.1930E+04,0.2522E-02,0.1871E-03
0.1935E+04,0.2630E-02,0.1996E-03
0.1940E+04,0.2740E-02,0.2127E-03
0.1945E+04,0.2853E-02,0.2265E-03
0.1950E+04,0.2968E-02,0.2409E-03
0.1955E+04,0.3085E-02,0.2560E-03
0.1960E+04,0.3205E-02,0.2718E-03
0.1965E+04,0.3327E-02,0.2883E-03
0.1970E+04,0.3452E-02,0.3055E-03
0.1975E+04,0.3578E-02,0.3234E-03
0.1980E+04,0.3707E-02,0.3420E-03
0.1985E+04,0.3838E-02,0.3613E-03
0.1990E+04,0.3971E-02,0.3813E-03
0.1995E+04,0.4106E-02,0.4020E-03
0.2000E+04,0.4243E-02,0.4233E-03
0.2005E+04,0.4382E-02,0.4453E-03
0.2010E+04,0.4523E-02,0.4680E-03
0.2015E+04,0.4666E-02,0.4913E-03
0.2020E+04,0.4811E-02,0.5152E-03
0.2025E+04,0.4958E-02,0.5397E-03
0.2030E+04,0.5106E-02,0.5648E-03
0.2035E+04,0.5256E-02,0.5905E-03
0.2040E+04,0.5407E-02,0.6166E-03
0.2045E+04,0.5561E-02,0.6433E-03
0.2050E+04,0.5715E-02,0.6704E-03
0.2055E+04,0.5871E-02,0.6978E-03
0.2060E+04,0.6028E-02,0.7257E-03
0.2065E+04,0.6186E-02,0.7538E-03
0.2070E+04,0.6346E-02,0.7821E-03
0.2075E+04,0.6506E-02,0.8106E-03
0.2080E+04,0.6668E-02,0.8391E-03
0.2085E+04,0.6830E-02,0.8676E-03
0.2090E+04,0.6993E-02,0.8958E-03
0.2095E+04,0.7157E-02,0.9238E-03
0.2100E+04,0.7321E-02,0.9513E-03
0.2105E+04,0.7486E-02,0.9781E-03
0.2110E+04,0.7651E-02,0.1004E-02
0.2115E+04,0.7817E-02,0.1029E-02
0.2120E+04,0.7983E-02,0.1053E-02
0.2125E+04,0.8150E-02,0.1075E-02
0.2130E+04,0.8316E-02,0.1096E-02
0.2135E+04,0.8484E-02,0.1115E-02
0.2140E+04,0.8652E-02,0.1131E-02
0.2145E+04,0.8820E-02,0.1145E-02
0.2150E+04,0.8989E-02,0.1156E-02
0.2155E+04,0.9159E-02,0.1164E-02
0.2160E+04,0.9331E-02,0.1169E-02
0.2165E+04,0.9504E-02,0.1170E-02
0.2170E+04,0.9678E-02,0.1168E-02
0.2175E+04,0.9855E-02,0.1162E-02
0.2180E+04,0.1003E-01,0.1152E-02
0.2185E+04,0.1022E-01,0.1139E-02
0.2190E+04,0.1040E-01,0.1122E-02
0.2195E+04,0.1059E-01,0.1101E-02
0.2200E+04,0.1078E-01,0.1077E-02
