W,Re_T,Im_T
0.1690E+04,0.1047E-03,-0.2279E-05
0.1695E+04,0.4998E-03,-0.9596E-05
0.1700E+04,0.9783E-03,-0.1600E-04
0.1705E+04,0.1510E-02,-0.1993E-04
0.1710E+04,0.2081E-02,-0.2024E-04
0.1715E+04,0.2687E-02,-0.1580E-04
0.1720E+04,0.3322E-02,-0.5412E-05
0.1725E+04,0.3984E-02,0.1221E-04
0.1730E+04,0.4671E-02,0.3851E-04
0.1735E+04,0.5382E-02,0.7510E-04
0.1740E+04,0.6116E-02,0.1238E-03
0.1745E+04,0.6873E-02,0.1866E-03
0.1750E+04,0.7652E-02,0.2656E-03
0.1755E+04,0.8452E-02,0.3633E-03
0.1760E+04,0.9272E-02,0.4824E-03
0.1765E+04,0.1011E-01,0.6257E-03
0.1770E+04,0.1097E-01,0.7962E-03
0.1775E+04,0.1185E-01,0.9972E-03
0.1780E+04,0.1275E-01,0.1232E-02
0.1785E+04,0.1366E-01,0.1504E-02
0.1790E+04,0.1458E-01,0.1818E-02
0.1795E+04,0.1552E-01,0.2177E-02
0.1800E+04,0.1646E-01,0.2585E-02
0.1805E+04,0.1741E-01,0.3046E-02
0.1810E+04,0.1835E-01,0.3565E-02
0.1815E+04,0.1929E-01,0.4144E-02
0.1820E+04,0.2023E-01,0.4788E-02
0.1825E+04,0.2114E-01,0.5500E-02
0.1830E+04,0.2203E-01,0.6283E-02
0.1835E+04,0.2289E-01,0.7138E-02
0.1840E+04,0.2371E-01,0.8066E-02
0.1845E+04,0.2447E-01,0.9068E-02
0.1850E+04,0.2518E-01,0.1014E-01
0.1855E+04,0.2581E-01,0.1128E-01
0.1860E+04,0.2637E-01,0.1249E-01
0.1865E+04,0.2683E-01,0.1375E-01
0.1870E+04,0.2719E-01,0.1506E-01
0.1875E+04,0.2745E-01,0.1640E-01
0.1880E+04,0.2759E-01,0.1777E-01
0.1885E+04,0.2762E-01,0.1916E-01
0.1890E+04,0.2753E-01,0.2055E-01
0.1895E+04,0.2733E-01,0.2193E-01
0.1900E+04,0.2700E-01,0.2329E-01
0.1905E+04,0.2656E-01,0.2462E-01
0.1910E+04,0.2601E-01,0.2590E-01
0.1915E+04,0.2536E-01,0.2713E-01
0.1920E+04,0.2461E-01,0.2829E-01
0.1925E+04,0.2377E-01,0.2937E-01
0.1930E+04,0.2285E-01,0.3038E-01
0.1935E+04,0.2186E-01,0.3131E-01
0.1940E+04,0.2081E-01,0.3214E-01
0.1945E+04,0.1971E-01,0.3287E-01
0.1950E+04,0.1856E-01,0.3351E-01
0.1955E+04,0.1739E-01,0.3405E-01
0.1960E+04,0.1619E-01,0.3449E-01
0.1965E+04,0.1498E-01,0.3483E-01
0.1970E+04,0.1377E-01,0.3507E-01
0.1975E+04,0.1257E-01,0.3522E-01
0.1980E+04,0.1139E-01,0.3528E-01
0.1985E+04,0.1023E-01,0.3525E-01
0.1990E+04,0.9107E-02,0.3515E-01
0.1995E+04,0.8021E-02,0.3497E-01
0.2000E+04,0.6978E-02,0.3472E-01
0.2005E+04,0.5983E-02,0.3442E-01
0.2010E+04,0.5038E-02,0.3407E-01
0.2015E+04,0.4145E-02,0.3367E-01
0.2020E+04,0.3305E-02,0.3324E-01
0.2025E+04,0.2519E-02,0.3277E-01
0.2030E+04,0.1786E-02,0.3228E-01
0.2035E+04,0.1105E-02,0.3177E-01
0.2040E+04,0.4751E-03,0.3124E-01
0.2045E+04,-0.1064E-03,0.3071E-01
0.2050E+04,-0.6413E-03,0.3017E-01
0.2055E+04,-0.1132E-02,0.2963E-01
0.2060E+04,-0.1581E-02,0.2909E-01
0.2065E+04,-0.1991E-02,0.2855E-01
0.2070E+04,-0.2365E-02,0.2803E-01
0.2075E+04,-0.2704E-02,0.2751E-01
0.2080E+04,-0.3013E-02,0.2700E-01
0.2085E+04,-0.3293E-02,0.2650E-01
0.2090E+04,-0.3548E-02,0.2602E-01
0.2095E+04,-0.3778E-02,0.2555E-01
0.2100E+04,-0.3987E-02,0.2510E-01
0.2105E+04,-0.4177E-02,0.2466E-01
0.2110E+04,-0.4350E-02,0.2424E-01
0.2115E+04,-0.4507E-02,0.2384E-01
0.2120E+04,-0.4651E-02,0.2345E-01
0.2125E+04,-0.4783E-02,0.2307E-01
0.2130E+04,-0.4905E-02,0.2271E-01
0.2135E+04,-0.5017E-02,0.2237E-01
0.2140E+04,-0.5122E-02,0.2204E-01
0.2145E+04,-0.5220E-02,0.2172E-01
0.2150E+04,-0.5312E-02,0.2142E-01
0.2155E+04,-0.5399E-02,0.2113E-01
0.2160E+04,-0.5482E-02,0.2085E-01
0.2165E+04,-0.5561E-02,0.2059E-01
0.2170E+04,-0.5636E-02,0.2034E-01
0.2175E+04,-0.5708E-02,0.2009E-01
0.2180E+04,-0.5777E-02,0.1986E-01
0.2185E+04,-0.5843E-02,0.1964E-01
0.2190E+04,-0.5906E-02,0.1943E-01
0.2195E+04,-0.5967E-02,0.1923E-01
0.2200E+04,-0.6025E-02,0.1904E-01
