W,Re_T,Im_T
0.1690E+04,-0.6397E-06,0.7279E-06
0.1695E+04,-0.4781E-05,0.7396E-05
0.1700E+04,-0.9933E-05,0.2150E-04
0.1705E+04,-0.1420E-04,0.4465E-04
0.1710E+04,-0.1641E-04,0.7885E-04
0.1715E+04,-0.1597E-04,0.1264E-03
0.1720E+04,-0.1287E-04,0.1895E-03
0.1725E+04,-0.7685E-05,0.2708E-03
0.1730E+04,-0.1554E-05,0.3724E-03
0.1735E+04,0.3862E-05,0.4962E-03
0.1740E+04,0.6462E-05,0.6440E-03
0.1745E+04,0.3799E-05,0.8169E-03
0.1750E+04,-0.6805E-05,0.1016E-02
0.1755E+04,-0.2816E-04,0.1240E-02
0.1760E+04,-0.6312E-04,0.1491E-02
0.1765E+04,-0.1145E-03,0.1766E-02
0.1770E+04,-0.1851E-03,0.2065E-02
0.1775E+04,-0.2774E-03,0.2385E-02
0.1780E+04,-0.3939E-03,0.2726E-02
0.1785E+04,-0.5367E-03,0.3083E-02
0.1790E+04,-0.7074E-03,0.3455E-02
0.1795E+04,-0.9074E-03,0.3837E-02
0.1800E+04,-0.1137E-02,0.4226E-02
0.1805E+04,-0.1397E-02,0.4618E-02
0.1810E+04,-0.1685E-02,0.5010E-02
0.1815E+04,-0.2002E-02,0.5396E-02
0.1820E+04,-0.2343E-02,0.5775E-02
0.1825E+04,-0.2707E-02,0.6143E-02
0.1830E+04,-0.3090E-02,0.6498E-02
0.1835E+04,-0.3490E-02,0.6839E-02
0.1840E+04,-0.3902E-02,0.7164E-02
0.1845E+04,-0.4322E-02,0.7475E-02
0.1850E+04,-0.4749E-02,0.7771E-02
0.1855E+04,-0.5179E-02,0.8054E-02
0.1860E+04,-0.5610E-02,0.8324E-02
0.1865E+04,-0.6040E-02,0.8584E-02
0.1870E+04,-0.6468E-02,0.8836E-02
0.1875E+04,-0.6892E-02,0.9080E-02
0.1880E+04,-0.7312E-02,0.9320E-02
0.1885E+04,-0.7728E-02,0.9556E-02
0.1890E+04,-0.8140E-02,0.9790E-02
0.1895E+04,-0.8548E-02,0.1002E-01
0.1900E+04,-0.8952E-02,0.1026E-01
0.1905E+04,-0.9353E-02,0.1049E-01
0.1910E+04,-0.9751E-02,0.1073E-01
0.1915E+04,-0.1015E-01,0.1097E-01
0.1920E+04,-0.1054E-01,0.1121E-01
0.1925E+04,-0.1094E-01,0.1146E-01
0.1930E+04,-0.1133E-01,0.1171E-01
0.1935E+04,-0.1173E-01,0.1197E-01
0.1940E+04,-0.1212E-01,0.1223E-01
0.1945E+04,-0.1252E-01,0.1249E-01
0.1950E+04,-0.1292E-01,0.1276E-01
0.1955E+04,-0.1333E-01,0.1303E-01
0.1960E+04,-0.1373E-01,0.1331E-01
0.1965E+04,-0.1414E-01,0.1358E-01
0.1970E+04,-0.1455E-01,0.1387E-01
0.1975E+04,-0.1497E-01,0.1415E-01
0.1980E+04,-0.1539E-01,0.1443E-01
0.1985E+04,-0.1581E-01,0.1472E-01
0.1990E+04,-0.1625E-01,0.1501E-01
0.1995E+04,-0.1668E-01,0.1530E-01
0.2000E+04,-0.1712E-01,0.1559E-01
0.2005E+04,-0.1757E-01,0.1588E-01
0.2010E+04,-0.1802E-01,0.1617E-01
0.2015E+04,-0.1848E-01,0.1647E-01
0.2020E+04,-0.1894E-01,0.1675E-01
0.2025E+04,-0.1941E-01,0.1704E-01
0.2030E+04,-0.1988E-01,0.1733E-01
0.2035E+04,-0.2036E-01,0.1761E-01
0.2040E+04,-0.2085E-01,0.1789E-01
0.2045E+04,-0.2133E-01,0.1816E-01
0.2050E+04,-0.2183E-01,0.1843E-01
0.2055E+04,-0.2233E-01,0.1870E-01
0.2060E+04,-0.2283E-01,0.1897E-01
0.2065E+04,-0.2333E-01,0.1923E-01
0.2070E+04,-0.2384E-01,0.1948E-01
0.2075E+04,-0.2435E-01,0.1973E-01
0.2080E+04,-0.2486E-01,0.1998E-01
0.2085E+04,-0.2538E-01,0.2022E-01
0.2090E+04,-0.2590E-01,0.2046E-01
0.2095E+04,-0.2642E-01,0.2070E-01
0.2100E+04,-0.2695E-01,0.2093E-01
0.2105E+04,-0.2748E-01,0.2115E-01
0.2110E+04,-0.2802E-01,0.2138E-01
0.2115E+04,-0.2856E-01,0.2160E-01
0.2120E+04,-0.2910E-01,0.2181E-01
0.2125E+04,-0.2965E-01,0.2202E-01
0.2130E+04,-0.3021E-01,0.2223E-01
0.2135E+04,-0.3077E-01,0.2243E-01
0.2140E+04,-0.3134E-01,0.2262E-01
0.2145E+04,-0.3192E-01,0.2280E-01
0.2150E+04,-0.3251E-01,0.2298E-01
0.2155E+04,-0.3310E-01,0.2315E-01
0.2160E+04,-0.3370E-01,0.2330E-01
0.2165E+04,-0.3431E-01,0.2345E-01
0.2170E+04,-0.3492E-01,0.2358E-01
0.2175E+04,-0.3554E-01,0.2370E-01
0.2180E+04,-0.3617E-01,0.2381E-01
0.2185E+04,-0.3680E-01,0.2390E-01
0.2190E+04,-0.3743E-01,0.2397E-01
0.2195E+04,-0.3807E-01,0.2403E-01
0.2200E+04,-0.3871E-01,0.2407E-01
