W,Re_T,Im_T
0.1690E+04,-0.2849E-07,0.9032E-10
0.1695E+04,-0.4708E-06,0.1741E-08
0.1700E+04,-0.1560E-05,0.6690E-08
0.1705E+04,-0.3367E-05,0.1664E-07
0.1710E+04,-0.5926E-05,0.3356E-07
0.1715E+04,-0.9255E-05,0.5976E-07
0.1720E+04,-0.1336E-04,0.9786E-07
0.1725E+04,-0.1823E-04,0.1509E-06
0.1730E+04,-0.2387E-04,0.2221E-06
0.1735E+04,-0.3025E-04,0.3154E-06
0.1740E+04,-0.3736E-04,0.4349E-06
0.1745E+04,-0.4518E-04,0.5851E-06
0.1750E+04,-0.5368E-04,0.7711E-06
0.1755E+04,-0.6283E-04,0.9984E-06
0.1760E+04,-0.7260E-04,0.1273E-05
0.1765E+04,-0.8297E-04,0.1602E-05
0.1770E+04,-0.9389E-04,0.1993E-05
0.1775E+04,-0.1053E-03,0.2454E-05
0.1780E+04,-0.1173E-03,0.2993E-05
0.1785E+04,-0.1297E-03,0.3622E-05
0.1790E+04,-0.1424E-03,0.4351E-05
0.1795E+04,-0.1556E-03,0.5193E-05
0.1800E+04,-0.1691E-03,0.6161E-05
0.1805E+04,-0.1829E-03,0.7270E-05
0.1810E+04,-0.1969E-03,0.8538E-05
0.1815E+04,-0.2112E-03,0.9981E-05
0.1820E+04,-0.2256E-03,0.1162E-04
0.1825E+04,-0.2401E-03,0.1348E-04
0.1830E+04,-0.2548E-03,0.1557E-04
0.1835E+04,-0.2695E-03,0.1794E-04
0.1840E+04,-0.2842E-03,0.2059E-04
0.1845E+04,-0.2989E-03,0.2356E-04
0.1850E+04,-0.3135E-03,0.2689E-04
0.1855E+04,-0.3281E-03,0.3059E-04
0.1860E+04,-0.3425E-03,0.3471E-04
0.1865E+04,-0.3568E-03,0.3928E-04
0.1870E+04,-0.3709E-03,0.4433E-04
0.1875E+04,-0.3848E-03,0.4989E-04
0.1880E+04,-0.3986E-03,0.5601E-04
0.1885E+04,-0.4120E-03,0.6273E-04
0.1890E+04,-0.4252E-03,0.7008E-04
0.1895E+04,-0.4381E-03,0.7810E-04
0.1900E+04,-0.4508E-03,0.8682E-04
0.1905E+04,-0.4631E-03,0.9630E-04
0.1910E+04,-0.4751E-03,0.1066E-03
0.1915E+04,-0.4868E-03,0.1177E-03
0.1920E+04,-0.4982E-03,0.1297E-03
0.1925E+04,-0.5093E-03,0.1425E-03
0.1930E+04,-0.5200E-03,0.1564E-03
0.1935E+04,-0.5305E-03,0.1712E-03
0.1940E+04,-0.5406E-03,0.1871E-03
0.1945E+04,-0.5504E-03,0.2040E-03
0.1950E+04,-0.5598E-03,0.2221E-03
0.1955E+04,-0.5690E-03,0.2413E-03
0.1960E+04,-0.5779E-03,0.2616E-03
0.1965E+04,-0.5865E-03,0.2832E-03
0.1970E+04,-0.5948E-03,0.3061E-03
0.1975E+04,-0.6029E-03,0.3302E-03
0.1980E+04,-0.6107E-03,0.3557E-03
0.1985E+04,-0.6182E-03,0.3825E-03
0.1990E+04,-0.6255E-03,0.4108E-03
0.1995E+04,-0.6325E-03,0.4406E-03
0.2000E+04,-0.6393E-03,0.4719E-03
0.2005E+04,-0.6459E-03,0.5048E-03
0.2010E+04,-0.6523E-03,0.5394E-03
0.2015E+04,-0.6585E-03,0.5758E-03
0.2020E+04,-0.6645E-03,0.6140E-03
0.2025E+04,-0.6704E-03,0.6542E-03
0.2030E+04,-0.6764E-03,0.6964E-03
0.2035E+04,-0.6823E-03,0.7408E-03
0.2040E+04,-0.6884E-03,0.7875E-03
0.2045E+04,-0.6948E-03,0.8365E-03
0.2050E+04,-0.7015E-03,0.8881E-03
0.2055E+04,-0.7089E-03,0.9422E-03
0.2060E+04,-0.7170E-03,0.9989E-03
0.2065E+04,-0.7261E-03,0.1058E-02
0.2070E+04,-0.7363E-03,0.1120E-02
0.2075E+04,-0.7481E-03,0.1185E-02
0.2080E+04,-0.7616E-03,0.1253E-02
0.2085E+04,-0.7771E-03,0.1323E-02
0.2090E+04,-0.7949E-03,0.1396E-02
0.2095E+04,-0.8152E-03,0.1471E-02
0.2100E+04,-0.8383E-03,0.1548E-02
0.2105E+04,-0.8645E-03,0.1627E-02
0.2110E+04,-0.8939E-03,0.1708E-02
0.2115E+04,-0.9266E-03,0.1789E-02
0.2120E+04,-0.9629E-03,0.1872E-02
0.2125E+04,-0.1003E-02,0.1955E-02
0.2130E+04,-0.1046E-02,0.2038E-02
0.2135E+04,-0.1092E-02,0.2121E-02
0.2140E+04,-0.1142E-02,0.2203E-02
0.2145E+04,-0.1195E-02,0.2284E-02
0.2150E+04,-0.1250E-02,0.2364E-02
0.2155E+04,-0.1308E-02,0.2442E-02
0.2160E+04,-0.1368E-02,0.2518E-02
0.2165E+04,-0.1429E-02,0.2593E-02
0.2170E+04,-0.1492E-02,0.2666E-02
0.2175E+04,-0.1556E-02,0.2737E-02
0.2180E+04,-0.1620E-02,0.2806E-02
0.2185E+04,-0.1685E-02,0.2873E-02
0.2190E+04,-0.1750E-02,0.2939E-02
0.2195E+04,-0.1814E-02,0.3004E-02
0.2200E+04,-0.1878E-02,0.3067E-02
