W,Re_T,Im_T
0.1690E+04,-0.3670E-08,0.3054E-10
0.1695E+04,-0.1123E-06,0.1023E-08
0.1700E+04,-0.4825E-06,0.4822E-08
0.1705E+04,-0.1226E-05,0.1348E-07
0.1710E+04,-0.2427E-05,0.2943E-07
0.1715E+04,-0.4151E-05,0.5562E-07
0.1720E+04,-0.6445E-05,0.9560E-07
0.1725E+04,-0.9341E-05,0.1537E-06
0.1730E+04,-0.1286E-04,0.2349E-06
0.1735E+04,-0.1701E-04,0.3455E-06
0.1740E+04,-0.2179E-04,0.4925E-06
0.1745E+04,-0.2718E-04,0.6842E-06
0.1750E+04,-0.3316E-04,0.9305E-06
0.1755E+04,-0.3969E-04,0.1242E-05
0.1760E+04,-0.4674E-04,0.1633E-05
0.1765E+04,-0.5424E-04,0.2115E-05
0.1770E+04,-0.6215E-04,0.2708E-05
0.1775E+04,-0.7039E-04,0.3428E-05
0.1780E+04,-0.7889E-04,0.4296E-05
0.1785E+04,-0.8756E-04,0.5337E-05
0.1790E+04,-0.9632E-04,0.6577E-05
0.1795E+04,-0.1051E-03,0.8045E-05
0.1800E+04,-0.1137E-03,0.9774E-05
0.1805E+04,-0.1220E-03,0.1180E-04
0.1810E+04,-0.1301E-03,0.1417E-04
0.1815E+04,-0.1376E-03,0.1693E-04
0.1820E+04,-0.1445E-03,0.2012E-04
0.1825E+04,-0.1507E-03,0.2380E-04
0.1830E+04,-0.1560E-03,0.2805E-04
0.1835E+04,-0.1603E-03,0.3291E-04
0.1840E+04,-0.1633E-03,0.3848E-04
0.1845E+04,-0.1651E-03,0.4483E-04
0.1850E+04,-0.1653E-03,0.5205E-04
0.1855E+04,-0.1638E-03,0.6023E-04
0.1860E+04,-0.1605E-03,0.6948E-04
0.1865E+04,-0.1552E-03,0.7990E-04
0.1870E+04,-0.1478E-03,0.9161E-04
0.1875E+04,-0.1379E-03,0.1047E-03
0.1880E+04,-0.1256E-03,0.1194E-03
0.1885E+04,-0.1106E-03,0.1357E-03
0.1890E+04,-0.9268E-04,0.1539E-03
0.1895E+04,-0.7171E-04,0.1740E-03
0.1900E+04,-0.4749E-04,0.1962E-03
0.1905E+04,-0.1985E-04,0.2207E-03
0.1910E+04,0.1142E-04,0.2477E-03
0.1915E+04,0.4650E-04,0.2773E-03
0.1920E+04,0.8560E-04,0.3098E-03
0.1925E+04,0.1289E-03,0.3453E-03
0.1930E+04,0.1766E-03,0.3840E-03
0.1935E+04,0.2290E-03,0.4263E-03
0.1940E+04,0.2861E-03,0.4723E-03
0.1945E+04,0.3482E-03,0.5223E-03
0.1950E+04,0.4155E-03,0.5767E-03
0.1955E+04,0.4882E-03,0.6356E-03
0.1960E+04,0.5663E-03,0.6994E-03
0.1965E+04,0.6503E-03,0.7685E-03
0.1970E+04,0.7400E-03,0.8432E-03
0.1975E+04,0.8358E-03,0.9238E-03
0.1980E+04,0.9378E-03,0.1011E-02
0.1985E+04,0.1046E-02,0.1104E-02
0.1990E+04,0.1161E-02,0.1205E-02
0.1995E+04,0.1282E-02,0.1313E-02
0.2000E+04,0.1410E-02,0.1429E-02
0.2005E+04,0.1545E-02,0.1554E-02
0.2010E+04,0.1687E-02,0.1688E-02
0.2015E+04,0.1836E-02,0.1831E-02
0.2020E+04,0.1992E-02,0.1985E-02
0.2025E+04,0.2155E-02,0.2149E-02
0.2030E+04,0.2326E-02,0.2325E-02
0.2035E+04,0.2504E-02,0.2513E-02
0.2040E+04,0.2689E-02,0.2714E-02
0.2045E+04,0.2882E-02,0.2930E-02
0.2050E+04,0.3081E-02,0.3161E-02
0.2055E+04,0.3287E-02,0.3407E-02
0.2060E+04,0.3499E-02,0.3671E-02
0.2065E+04,0.3716E-02,0.3953E-02
0.2070E+04,0.3939E-02,0.4255E-02
0.2075E+04,0.4165E-02,0.4577E-02
0.2080E+04,0.4395E-02,0.4921E-02
0.2085E+04,0.4627E-02,0.5287E-02
0.2090E+04,0.4859E-02,0.5677E-02
0.2095E+04,0.5090E-02,0.6091E-02
0.2100E+04,0.5318E-02,0.6531E-02
0.2105E+04,0.5541E-02,0.6997E-02
0.2110E+04,0.5757E-02,0.7488E-02
0.2115E+04,0.5965E-02,0.8005E-02
0.2120E+04,0.6162E-02,0.8549E-02
0.2125E+04,0.6345E-02,0.9117E-02
0.2130E+04,0.6513E-02,0.9709E-02
0.2135E+04,0.6663E-02,0.1033E-01
0.2140E+04,0.6794E-02,0.1096E-01
0.2145E+04,0.6904E-02,0.1162E-01
0.2150E+04,0.6992E-02,0.1229E-01
0.2155E+04,0.7056E-02,0.1299E-01
0.2160E+04,0.7097E-02,0.1369E-01
0.2165E+04,0.7113E-02,0.1440E-01
0.2170E+04,0.7105E-02,0.1513E-01
0.2175E+04,0.7073E-02,0.1586E-01
0.2180E+04,0.7019E-02,0.1660E-01
0.2185E+04,0.6942E-02,0.1733E-01
0.2190E+04,0.6846E-02,0.1808E-01
0.2195E+04,0.6730E-02,0.1882E-01
0.2200E+04,0.6597E-02,0.1956E-01
