W,Re_T,Im_T
0.1690E+04,-0.8186E-03,0.1178E-03
0.1695E+04,-0.1992E-02,0.2937E-03
0.1700E+04,-0.2837E-02,0.4300E-03
0.1705E+04,-0.3502E-02,0.5480E-03
0.1710E+04,-0.4040E-02,0.6559E-03
0.1715E+04,-0.4480E-02,0.7583E-03
0.1720E+04,-0.4842E-02,0.8582E-03
0.1725E+04,-0.5140E-02,0.9574E-03
0.1730E+04,-0.5386E-02,0.1057E-02
0.1735E+04,-0.5588E-02,0.1159E-02
0.1740E+04,-0.5754E-02,0.1261E-02
0.1745E+04,-0.5891E-02,0.1366E-02
0.1750E+04,-0.6004E-02,0.1471E-02
0.1755E+04,-0.6096E-02,0.1578E-02
0.1760E+04,-0.6172E-02,0.1685E-02
0.1765E+04,-0.6234E-02,0.1793E-02
0.1770E+04,-0.6286E-02,0.1900E-02
0.1775E+04,-0.6328E-02,0.2006E-02
0.1780E+04,-0.6364E-02,0.2111E-02
0.1785E+04,-0.6394E-02,0.2216E-02
0.1790E+04,-0.6419E-02,0.2318E-02
0.1795E+04,-0.6441E-02,0.2419E-02
0.1800E+04,-0.6461E-02,0.2519E-02
0.1805E+04,-0.6479E-02,0.2617E-02
0.1810E+04,-0.6496E-02,0.2714E-02
0.1815E+04,-0.6513E-02,0.2810E-02
0.1820E+04,-0.6531E-02,0.2903E-02
0.1825E+04,-0.6551E-02,0.2996E-02
0.1830E+04,-0.6572E-02,0.3086E-02
0.1835E+04,-0.6596E-02,0.3175E-02
0.1840E+04,-0.6622E-02,0.3263E-02
0.1845E+04,-0.6651E-02,0.3348E-02
0.1850E+04,-0.6683E-02,0.3430E-02
0.1855E+04,-0.6719E-02,0.3510E-02
0.1860E+04,-0.6757E-02,0.3588E-02
0.1865E+04,-0.6799E-02,0.3662E-02
0.1870E+04,-0.6844E-02,0.3734E-02
0.1875E+04,-0.6892E-02,0.3803E-02
0.1880E+04,-0.6943E-02,0.3868E-02
0.1885E+04,-0.6995E-02,0.3931E-02
0.1890E+04,-0.7050E-02,0.3991E-02
0.1895E+04,-0.7107E-02,0.4048E-02
0.1900E+04,-0.7165E-02,0.4103E-02
0.1905E+04,-0.7225E-02,0.4155E-02
0.1910E+04,-0.7286E-02,0.4205E-02
0.1915E+04,-0.7347E-02,0.4254E-02
0.1920E+04,-0.7410E-02,0.4301E-02
0.1925E+04,-0.7474E-02,0.4347E-02
0.1930E+04,-0.7539E-02,0.4392E-02
0.1935E+04,-0.7604E-02,0.4436E-02
0.1940E+04,-0.7671E-02,0.4480E-02
0.1945E+04,-0.7738E-02,0.4524E-02
0.1950E+04,-0.7806E-02,0.4567E-02
0.1955E+04,-0.7876E-02,0.4610E-02
0.1960E+04,-0.7946E-02,0.4654E-02
0.1965E+04,-0.8018E-02,0.4697E-02
0.1970E+04,-0.8091E-02,0.4740E-02
0.1975E+04,-0.8165E-02,0.4783E-02
0.1980E+04,-0.8240E-02,0.4826E-02
0.1985E+04,-0.8316E-02,0.4870E-02
0.1990E+04,-0.8393E-02,0.4913E-02
0.1995E+04,-0.8471E-02,0.4956E-02
0.2000E+04,-0.8550E-02,0.5000E-02
0.2005E+04,-0.8629E-02,0.5044E-02
0.2010E+04,-0.8709E-02,0.5087E-02
0.2015E+04,-0.8790E-02,0.5131E-02
0.2020E+04,-0.8871E-02,0.5176E-02
0.2025E+04,-0.8953E-02,0.5220E-02
0.2030E+04,-0.9035E-02,0.5265E-02
0.2035E+04,-0.9118E-02,0.5311E-02
0.2040E+04,-0.9200E-02,0.5357E-02
0.2045E+04,-0.9283E-02,0.5404E-02
0.2050E+04,-0.9366E-02,0.5451E-02
0.2055E+04,-0.9450E-02,0.5499E-02
0.2060E+04,-0.9534E-02,0.5548E-02
0.2065E+04,-0.9617E-02,0.5598E-02
0.2070E+04,-0.9702E-02,0.5649E-02
0.2075E+04,-0.9787E-02,0.5701E-02
0.2080E+04,-0.9872E-02,0.5753E-02
0.2085E+04,-0.9957E-02,0.5807E-02
0.2090E+04,-0.1004E-01,0.5862E-02
0.2095E+04,-0.1013E-01,0.5917E-02
0.2100E+04,-0.1022E-01,0.5973E-02
0.2105E+04,-0.1030E-01,0.6031E-02
0.2110E+04,-0.1039E-01,0.6089E-02
0.2115E+04,-0.1048E-01,0.6147E-02
0.2120E+04,-0.1057E-01,0.6207E-02
0.2125E+04,-0.1066E-01,0.6266E-02
0.2130E+04,-0.1075E-01,0.6326E-02
0.2135E+04,-0.1085E-01,0.6386E-02
0.2140E+04,-0.1094E-01,0.6447E-02
0.2145E+04,-0.1103E-01,0.6507E-02
0.2150E+04,-0.1113E-01,0.6567E-02
0.2155E+04,-0.1122E-01,0.6626E-02
0.2160E+04,-0.1132E-01,0.6685E-02
0.2165E+04,-0.1141E-01,0.6743E-02
0.2170E+04,-0.1151E-01,0.6800E-02
0.2175E+04,-0.1161E-01,0.6856E-02
0.2180E+04,-0.1170E-01,0.6910E-02
0.2185E+04,-0.1180E-01,0.6964E-02
0.2190E+04,-0.1189E-01,0.7016E-02
0.2195E+04,-0.1199E-01,0.7067E-02
0.2200E+04,-0.1208E-01,0.7117E-02
