W,Re_T,Im_T
0.1690E+04,-0.1283E-01,0.1355E-01
0.1695E+04,-0.1632E-01,0.1987E-01
0.1700E+04,-0.1787E-01,0.2392E-01
0.1705E+04,-0.1879E-01,0.2706E-01
0.1710E+04,-0.1936E-01,0.2972E-01
0.1715E+04,-0.1971E-01,0.3205E-01
0.1720E+04,-0.1993E-01,0.3413E-01
0.1725E+04,-0.2004E-01,0.3600E-01
0.1730E+04,-0.2006E-01,0.3771E-01
0.1735E+04,-0.2003E-01,0.3927E-01
0.1740E+04,-0.1994E-01,0.4070E-01
0.1745E+04,-0.1979E-01,0.4201E-01
0.1750E+04,-0.1961E-01,0.4322E-01
0.1755E+04,-0.1939E-01,0.4435E-01
0.1760E+04,-0.1914E-01,0.4539E-01
0.1765E+04,-0.1886E-01,0.4637E-01
0.1770E+04,-0.1857E-01,0.4727E-01
0.1775E+04,-0.1825E-01,0.4812E-01
0.1780E+04,-0.1792E-01,0.4891E-01
0.1785E+04,-0.1759E-01,0.4965E-01
0.1790E+04,-0.1725E-01,0.5033E-01
0.1795E+04,-0.1691E-01,0.5096E-01
0.1800E+04,-0.1656E-01,0.5154E-01
0.1805E+04,-0.1622E-01,0.5208E-01
0.1810E+04,-0.1588E-01,0.5256E-01
0.1815E+04,-0.1553E-01,0.5299E-01
0.1820E+04,-0.1519E-01,0.5338E-01
0.1825E+04,-0.1484E-01,0.5371E-01
0.1830E+04,-0.1448E-01,0.5400E-01
0.1835E+04,-0.1412E-01,0.5425E-01
0.1840E+04,-0.1374E-01,0.5445E-01
0.1845E+04,-0.1336E-01,0.5461E-01
0.1850E+04,-0.1296E-01,0.5473E-01
0.1855E+04,-0.1255E-01,0.5482E-01
0.1860E+04,-0.1212E-01,0.5488E-01
0.1865E+04,-0.1168E-01,0.5491E-01
0.1870E+04,-0.1122E-01,0.5491E-01
0.1875E+04,-0.1075E-01,0.5490E-01
0.1880E+04,-0.1026E-01,0.5487E-01
0.1885E+04,-0.9763E-02,0.5483E-01
0.1890E+04,-0.9253E-02,0.5478E-01
0.1895E+04,-0.8733E-02,0.5471E-01
0.1900E+04,-0.8207E-02,0.5464E-01
0.1905E+04,-0.7677E-02,0.5457E-01
0.1910E+04,-0.7143E-02,0.5449E-01
0.1915E+04,-0.6609E-02,0.5440E-01
0.1920E+04,-0.6076E-02,0.5431E-01
0.1925E+04,-0.5545E-02,0.5422E-01
0.1930E+04,-0.5018E-02,0.5412E-01
0.1935E+04,-0.4497E-02,0.5402E-01
0.1940E+04,-0.3982E-02,0.5391E-01
0.1945E+04,-0.3474E-02,0.5379E-01
0.1950E+04,-0.2974E-02,0.5367E-01
0.1955E+04,-0.2481E-02,0.5354E-01
0.1960E+04,-0.1996E-02,0.5339E-01
0.1965E+04,-0.1519E-02,0.5324E-01
0.1970E+04,-0.1048E-02,0.5308E-01
0.1975E+04,-0.5852E-03,0.5291E-01
0.1980E+04,-0.1285E-03,0.5273E-01
0.1985E+04,0.3221E-03,0.5253E-01
0.1990E+04,0.7675E-03,0.5233E-01
0.1995E+04,0.1208E-02,0.5211E-01
0.2000E+04,0.1644E-02,0.5187E-01
0.2005E+04,0.2077E-02,0.5163E-01
0.2010E+04,0.2508E-02,0.5137E-01
0.2015E+04,0.2936E-02,0.5110E-01
0.2020E+04,0.3362E-02,0.5082E-01
0.2025E+04,0.3788E-02,0.5053E-01
0.2030E+04,0.4214E-02,0.5022E-01
0.2035E+04,0.4641E-02,0.4990E-01
0.2040E+04,0.5069E-02,0.4957E-01
0.2045E+04,0.5498E-02,0.4922E-01
0.2050E+04,0.5930E-02,0.4887E-01
0.2055E+04,0.6364E-02,0.4851E-01
0.2060E+04,0.6802E-02,0.4813E-01
0.2065E+04,0.7243E-02,0.4775E-01
0.2070E+04,0.7687E-02,0.4735E-01
0.2075E+04,0.8136E-02,0.4695E-01
0.2080E+04,0.8587E-02,0.4653E-01
0.2085E+04,0.9043E-02,0.4611E-01
0.2090E+04,0.9502E-02,0.4568E-01
0.2095E+04,0.9964E-02,0.4523E-01
0.2100E+04,0.1043E-01,0.4478E-01
0.2105E+04,0.1090E-01,0.4432E-01
0.2110E+04,0.1137E-01,0.4385E-01
0.2115E+04,0.1185E-01,0.4336E-01
0.2120E+04,0.1233E-01,0.4286E-01
0.2125E+04,0.1282E-01,0.4234E-01
0.2130E+04,0.1331E-01,0.4181E-01
0.2135E+04,0.1381E-01,0.4126E-01
0.2140E+04,0.1432E-01,0.4070E-01
0.2145E+04,0.1484E-01,0.4011E-01
0.2150E+04,0.1537E-01,0.3951E-01
0.2155E+04,0.1592E-01,0.3889E-01
0.2160E+04,0.1649E-01,0.3825E-01
0.2165E+04,0.1707E-01,0.3759E-01
0.2170E+04,0.1768E-01,0.3691E-01
0.2175E+04,0.1831E-01,0.3621E-01
0.2180E+04,0.1896E-01,0.3550E-01
0.2185E+04,0.1964E-01,0.3477E-01
0.2190E+04,0.2035E-01,0.3402E-01
0.2195E+04,0.2108E-01,0.3326E-01
0.2200E+04,0.2185E-01,0.3249E-01
