  
   ANL-osaka amplitudes : < MB (nf)|T| MB (ni) > 
   Relation to S-matrix : S = 1 + 2 i T
 ---------------------------------- 
  Requested Amplitudes
  MB(nf)=  K-Sigma,   MB(ni)=  pi-N   
                   
                   
   Partial-wave = S11
   W (MeV)   < MB (nf)|T| MB (ni) > 
  0.1690E+04  0.1867E-01 -0.1845E+00
  0.1695E+04  0.4493E-01 -0.1909E+00
  0.1700E+04  0.5206E-01 -0.1765E+00
  0.1705E+04  0.5493E-01 -0.1598E+00
  0.1710E+04  0.5484E-01 -0.1424E+00
  0.1715E+04  0.5230E-01 -0.1256E+00
  0.1720E+04  0.4790E-01 -0.1100E+00
  0.1725E+04  0.4220E-01 -0.9592E-01
  0.1730E+04  0.3566E-01 -0.8350E-01
  0.1735E+04  0.2866E-01 -0.7269E-01
  0.1740E+04  0.2148E-01 -0.6339E-01
  0.1745E+04  0.1434E-01 -0.5544E-01
  0.1750E+04  0.7389E-02 -0.4870E-01
  0.1755E+04  0.7392E-03 -0.4302E-01
  0.1760E+04 -0.5546E-02 -0.3824E-01
  0.1765E+04 -0.1143E-01 -0.3424E-01
  0.1770E+04 -0.1689E-01 -0.3089E-01
  0.1775E+04 -0.2193E-01 -0.2809E-01
  0.1780E+04 -0.2655E-01 -0.2575E-01
  0.1785E+04 -0.3079E-01 -0.2379E-01
  0.1790E+04 -0.3466E-01 -0.2215E-01
  0.1795E+04 -0.3819E-01 -0.2076E-01
  0.1800E+04 -0.4140E-01 -0.1959E-01
  0.1805E+04 -0.4433E-01 -0.1859E-01
  0.1810E+04 -0.4700E-01 -0.1774E-01
  0.1815E+04 -0.4943E-01 -0.1702E-01
  0.1820E+04 -0.5166E-01 -0.1641E-01
  0.1825E+04 -0.5369E-01 -0.1589E-01
  0.1830E+04 -0.5554E-01 -0.1545E-01
  0.1835E+04 -0.5724E-01 -0.1509E-01
  0.1840E+04 -0.5878E-01 -0.1479E-01
  0.1845E+04 -0.6019E-01 -0.1455E-01
  0.1850E+04 -0.6148E-01 -0.1437E-01
  0.1855E+04 -0.6264E-01 -0.1423E-01
  0.1860E+04 -0.6369E-01 -0.1414E-01
  0.1865E+04 -0.6463E-01 -0.1409E-01
  0.1870E+04 -0.6546E-01 -0.1407E-01
  0.1875E+04 -0.6620E-01 -0.1408E-01
  0.1880E+04 -0.6685E-01 -0.1411E-01
  0.1885E+04 -0.6741E-01 -0.1416E-01
  0.1890E+04 -0.6788E-01 -0.1422E-01
  0.1895E+04 -0.6828E-01 -0.1428E-01
  0.1900E+04 -0.6860E-01 -0.1435E-01
  0.1905E+04 -0.6886E-01 -0.1441E-01
  0.1910E+04 -0.6906E-01 -0.1447E-01
  0.1915E+04 -0.6921E-01 -0.1452E-01
  0.1920E+04 -0.6932E-01 -0.1455E-01
  0.1925E+04 -0.6938E-01 -0.1457E-01
  0.1930E+04 -0.6941E-01 -0.1458E-01
  0.1935E+04 -0.6941E-01 -0.1458E-01
  0.1940E+04 -0.6939E-01 -0.1457E-01
  0.1945E+04 -0.6935E-01 -0.1454E-01
  0.1950E+04 -0.6931E-01 -0.1451E-01
  0.1955E+04 -0.6925E-01 -0.1447E-01
  0.1960E+04 -0.6919E-01 -0.1442E-01
  0.1965E+04 -0.6912E-01 -0.1437E-01
  0.1970E+04 -0.6905E-01 -0.1433E-01
  0.1975E+04 -0.6899E-01 -0.1429E-01
  0.1980E+04 -0.6892E-01 -0.1425E-01
  0.1985E+04 -0.6885E-01 -0.1422E-01
  0.1990E+04 -0.6879E-01 -0.1421E-01
  0.1995E+04 -0.6872E-01 -0.1420E-01
  0.2000E+04 -0.6865E-01 -0.1421E-01
  0.2005E+04 -0.6859E-01 -0.1423E-01
  0.2010E+04 -0.6851E-01 -0.1426E-01
  0.2015E+04 -0.6844E-01 -0.1431E-01
  0.2020E+04 -0.6835E-01 -0.1437E-01
  0.2025E+04 -0.6827E-01 -0.1445E-01
  0.2030E+04 -0.6817E-01 -0.1454E-01
  0.2035E+04 -0.6806E-01 -0.1464E-01
  0.2040E+04 -0.6795E-01 -0.1475E-01
  0.2045E+04 -0.6782E-01 -0.1487E-01
  0.2050E+04 -0.6768E-01 -0.1500E-01
  0.2055E+04 -0.6754E-01 -0.1513E-01
  0.2060E+04 -0.6738E-01 -0.1527E-01
  0.2065E+04 -0.6721E-01 -0.1541E-01
