W,Re_T,Im_T
0.1490E+04,-0.3952E-03,-0.6146E-04
0.1495E+04,-0.1213E-02,-0.1996E-03
0.1500E+04,-0.2190E-02,-0.3819E-03
0.1505E+04,-0.3290E-02,-0.6083E-03
0.1510E+04,-0.4495E-02,-0.8827E-03
0.1515E+04,-0.5797E-02,-0.1210E-02
0.1520E+04,-0.7192E-02,-0.1598E-02
0.1525E+04,-0.8674E-02,-0.2054E-02
0.1530E+04,-0.1024E-01,-0.2588E-02
0.1535E+04,-0.1189E-01,-0.3210E-02
0.1540E+04,-0.1363E-01,-0.3934E-02
0.1545E+04,-0.1544E-01,-0.4771E-02
0.1550E+04,-0.1732E-01,-0.5739E-02
0.1555E+04,-0.1928E-01,-0.6854E-02
0.1560E+04,-0.2129E-01,-0.8137E-02
0.1565E+04,-0.2336E-01,-0.9609E-02
0.1570E+04,-0.2547E-01,-0.1129E-01
0.1575E+04,-0.2760E-01,-0.1322E-01
0.1580E+04,-0.2972E-01,-0.1541E-01
0.1585E+04,-0.3182E-01,-0.1789E-01
0.1590E+04,-0.3384E-01,-0.2069E-01
0.1595E+04,-0.3574E-01,-0.2384E-01
0.1600E+04,-0.3746E-01,-0.2736E-01
0.1605E+04,-0.3893E-01,-0.3126E-01
0.1610E+04,-0.4006E-01,-0.3553E-01
0.1615E+04,-0.4076E-01,-0.4017E-01
0.1620E+04,-0.4092E-01,-0.4511E-01
0.1625E+04,-0.4045E-01,-0.5030E-01
0.1630E+04,-0.3925E-01,-0.5561E-01
0.1635E+04,-0.3726E-01,-0.6091E-01
0.1640E+04,-0.3444E-01,-0.6602E-01
0.1645E+04,-0.3081E-01,-0.7077E-01
0.1650E+04,-0.2645E-01,-0.7497E-01
0.1655E+04,-0.2148E-01,-0.7845E-01
0.1660E+04,-0.1607E-01,-0.8111E-01
0.1665E+04,-0.1042E-01,-0.8288E-01
0.1670E+04,-0.4725E-02,-0.8376E-01
0.1675E+04,0.8284E-03,-0.8379E-01
0.1680E+04,0.6091E-02,-0.8307E-01
0.1685E+04,0.1095E-01,-0.8173E-01
0.1690E+04,0.1534E-01,-0.7989E-01
0.1695E+04,0.1923E-01,-0.7767E-01
0.1700E+04,0.2262E-01,-0.7521E-01
0.1705E+04,0.2552E-01,-0.7258E-01
0.1710E+04,0.2798E-01,-0.6988E-01
0.1715E+04,0.3003E-01,-0.6716E-01
0.1720E+04,0.3173E-01,-0.6447E-01
0.1725E+04,0.3310E-01,-0.6185E-01
0.1730E+04,0.3420E-01,-0.5931E-01
0.1735E+04,0.3507E-01,-0.5688E-01
0.1740E+04,0.3574E-01,-0.5456E-01
0.1745E+04,0.3624E-01,-0.5236E-01
0.1750E+04,0.3659E-01,-0.5027E-01
0.1755E+04,0.3682E-01,-0.4829E-01
0.1760E+04,0.3695E-01,-0.4642E-01
0.1765E+04,0.3699E-01,-0.4466E-01
0.1770E+04,0.3696E-01,-0.4300E-01
0.1775E+04,0.3688E-01,-0.4143E-01
0.1780E+04,0.3674E-01,-0.3995E-01
0.1785E+04,0.3658E-01,-0.3856E-01
0.1790E+04,0.3638E-01,-0.3724E-01
0.1795E+04,0.3615E-01,-0.3600E-01
0.1800E+04,0.3591E-01,-0.3483E-01
0.1805E+04,0.3566E-01,-0.3371E-01
0.1810E+04,0.3539E-01,-0.3266E-01
0.1815E+04,0.3512E-01,-0.3166E-01
0.1820E+04,0.3485E-01,-0.3071E-01
0.1825E+04,0.3458E-01,-0.2980E-01
0.1830E+04,0.3431E-01,-0.2894E-01
0.1835E+04,0.3404E-01,-0.2811E-01
0.1840E+04,0.3378E-01,-0.2732E-01
0.1845E+04,0.3352E-01,-0.2657E-01
0.1850E+04,0.3327E-01,-0.2584E-01
0.1855E+04,0.3302E-01,-0.2515E-01
0.1860E+04,0.3279E-01,-0.2448E-01
0.1865E+04,0.3256E-01,-0.2383E-01
0.1870E+04,0.3234E-01,-0.2321E-01
0.1875E+04,0.3213E-01,-0.2260E-01
0.1880E+04,0.3193E-01,-0.2202E-01
0.1885E+04,0.3175E-01,-0.2145E-01
0.1890E+04,0.3157E-01,-0.2090E-01
0.1895E+04,0.3140E-01,-0.2036E-01
0.1900E+04,0.3125E-01,-0.1983E-01
0.1905E+04,0.3110E-01,-0.1932E-01
0.1910E+04,0.3097E-01,-0.1881E-01
0.1915E+04,0.3085E-01,-0.1832E-01
0.1920E+04,0.3074E-01,-0.1783E-01
0.1925E+04,0.3063E-01,-0.1734E-01
0.1930E+04,0.3054E-01,-0.1687E-01
0.1935E+04,0.3046E-01,-0.1639E-01
0.1940E+04,0.3039E-01,-0.1592E-01
0.1945E+04,0.3033E-01,-0.1545E-01
0.1950E+04,0.3027E-01,-0.1498E-01
0.1955E+04,0.3023E-01,-0.1451E-01
0.1960E+04,0.3019E-01,-0.1404E-01
0.1965E+04,0.3016E-01,-0.1356E-01
0.1970E+04,0.3014E-01,-0.1309E-01
0.1975E+04,0.3012E-01,-0.1260E-01
0.1980E+04,0.3011E-01,-0.1212E-01
0.1985E+04,0.3011E-01,-0.1162E-01
0.1990E+04,0.3011E-01,-0.1112E-01
0.1995E+04,0.3011E-01,-0.1062E-01
0.2000E+04,0.3011E-01,-0.1010E-01
0.2005E+04,0.3011E-01,-0.9577E-02
0.2010E+04,0.3011E-01,-0.9045E-02
0.2015E+04,0.3012E-01,-0.8503E-02
0.2020E+04,0.3012E-01,-0.7951E-02
0.2025E+04,0.3012E-01,-0.7390E-02
0.2030E+04,0.3011E-01,-0.6819E-02
0.2035E+04,0.3010E-01,-0.6238E-02
0.2040E+04,0.3008E-01,-0.5646E-02
0.2045E+04,0.3006E-01,-0.5045E-02
0.2050E+04,0.3003E-01,-0.4433E-02
0.2055E+04,0.2999E-01,-0.3812E-02
0.2060E+04,0.2994E-01,-0.3181E-02
0.2065E+04,0.2988E-01,-0.2539E-02
0.2070E+04,0.2982E-01,-0.1888E-02
0.2075E+04,0.2973E-01,-0.1228E-02
0.2080E+04,0.2964E-01,-0.5577E-03
0.2085E+04,0.2953E-01,0.1215E-03
0.2090E+04,0.2941E-01,0.8097E-03
0.2095E+04,0.2927E-01,0.1507E-02
0.2100E+04,0.2911E-01,0.2212E-02
0.2105E+04,0.2893E-01,0.2925E-02
0.2110E+04,0.2874E-01,0.3645E-02
0.2115E+04,0.2852E-01,0.4372E-02
0.2120E+04,0.2828E-01,0.5104E-02
0.2125E+04,0.2802E-01,0.5841E-02
0.2130E+04,0.2772E-01,0.6580E-02
0.2135E+04,0.2740E-01,0.7319E-02
0.2140E+04,0.2706E-01,0.8057E-02
0.2145E+04,0.2668E-01,0.8791E-02
0.2150E+04,0.2627E-01,0.9518E-02
0.2155E+04,0.2583E-01,0.1023E-01
0.2160E+04,0.2536E-01,0.1094E-01
0.2165E+04,0.2486E-01,0.1162E-01
0.2170E+04,0.2433E-01,0.1229E-01
0.2175E+04,0.2378E-01,0.1293E-01
0.2180E+04,0.2320E-01,0.1355E-01
0.2185E+04,0.2260E-01,0.1414E-01
0.2190E+04,0.2198E-01,0.1470E-01
0.2195E+04,0.2135E-01,0.1523E-01
0.2200E+04,0.2071E-01,0.1573E-01
