W,Re_T,Im_T
0.1490E+04,0.8641E-06,0.1089E-07
0.1495E+04,0.4144E-05,0.5513E-07
0.1500E+04,0.9450E-05,0.1326E-06
0.1505E+04,0.1664E-04,0.2463E-06
0.1510E+04,0.2564E-04,0.4001E-06
0.1515E+04,0.3642E-04,0.5991E-06
0.1520E+04,0.4896E-04,0.8486E-06
0.1525E+04,0.6325E-04,0.1155E-05
0.1530E+04,0.7930E-04,0.1524E-05
0.1535E+04,0.9708E-04,0.1963E-05
0.1540E+04,0.1166E-03,0.2480E-05
0.1545E+04,0.1379E-03,0.3082E-05
0.1550E+04,0.1610E-03,0.3779E-05
0.1555E+04,0.1858E-03,0.4579E-05
0.1560E+04,0.2124E-03,0.5493E-05
0.1565E+04,0.2408E-03,0.6530E-05
0.1570E+04,0.2710E-03,0.7704E-05
0.1575E+04,0.3030E-03,0.9025E-05
0.1580E+04,0.3368E-03,0.1051E-04
0.1585E+04,0.3724E-03,0.1217E-04
0.1590E+04,0.4098E-03,0.1402E-04
0.1595E+04,0.4491E-03,0.1609E-04
0.1600E+04,0.4902E-03,0.1839E-04
0.1605E+04,0.5332E-03,0.2094E-04
0.1610E+04,0.5780E-03,0.2377E-04
0.1615E+04,0.6247E-03,0.2691E-04
0.1620E+04,0.6732E-03,0.3038E-04
0.1625E+04,0.7236E-03,0.3421E-04
0.1630E+04,0.7759E-03,0.3842E-04
0.1635E+04,0.8300E-03,0.4305E-04
0.1640E+04,0.8860E-03,0.4812E-04
0.1645E+04,0.9439E-03,0.5367E-04
0.1650E+04,0.1004E-02,0.5974E-04
0.1655E+04,0.1065E-02,0.6634E-04
0.1660E+04,0.1129E-02,0.7353E-04
0.1665E+04,0.1194E-02,0.8134E-04
0.1670E+04,0.1261E-02,0.8980E-04
0.1675E+04,0.1330E-02,0.9896E-04
0.1680E+04,0.1401E-02,0.1088E-03
0.1685E+04,0.1473E-02,0.1195E-03
0.1690E+04,0.1547E-02,0.1309E-03
0.1695E+04,0.1623E-02,0.1432E-03
0.1700E+04,0.1700E-02,0.1563E-03
0.1705E+04,0.1780E-02,0.1703E-03
0.1710E+04,0.1861E-02,0.1853E-03
0.1715E+04,0.1943E-02,0.2012E-03
0.1720E+04,0.2028E-02,0.2180E-03
0.1725E+04,0.2114E-02,0.2358E-03
0.1730E+04,0.2201E-02,0.2547E-03
0.1735E+04,0.2290E-02,0.2746E-03
0.1740E+04,0.2381E-02,0.2957E-03
0.1745E+04,0.2474E-02,0.3178E-03
0.1750E+04,0.2568E-02,0.3412E-03
0.1755E+04,0.2664E-02,0.3657E-03
0.1760E+04,0.2761E-02,0.3916E-03
0.1765E+04,0.2860E-02,0.4188E-03
0.1770E+04,0.2961E-02,0.4475E-03
0.1775E+04,0.3064E-02,0.4777E-03
0.1780E+04,0.3168E-02,0.5096E-03
0.1785E+04,0.3274E-02,0.5432E-03
0.1790E+04,0.3382E-02,0.5786E-03
0.1795E+04,0.3491E-02,0.6161E-03
0.1800E+04,0.3603E-02,0.6557E-03
0.1805E+04,0.3715E-02,0.6976E-03
0.1810E+04,0.3830E-02,0.7419E-03
0.1815E+04,0.3946E-02,0.7888E-03
0.1820E+04,0.4063E-02,0.8384E-03
0.1825E+04,0.4182E-02,0.8909E-03
0.1830E+04,0.4301E-02,0.9464E-03
0.1835E+04,0.4422E-02,0.1005E-02
0.1840E+04,0.4544E-02,0.1067E-02
0.1845E+04,0.4667E-02,0.1133E-02
0.1850E+04,0.4790E-02,0.1202E-02
0.1855E+04,0.4914E-02,0.1274E-02
0.1860E+04,0.5037E-02,0.1351E-02
0.1865E+04,0.5161E-02,0.1431E-02
0.1870E+04,0.5284E-02,0.1515E-02
0.1875E+04,0.5407E-02,0.1602E-02
0.1880E+04,0.5530E-02,0.1694E-02
0.1885E+04,0.5651E-02,0.1790E-02
0.1890E+04,0.5771E-02,0.1889E-02
0.1895E+04,0.5891E-02,0.1992E-02
0.1900E+04,0.6008E-02,0.2099E-02
0.1905E+04,0.6124E-02,0.2210E-02
0.1910E+04,0.6239E-02,0.2324E-02
0.1915E+04,0.6351E-02,0.2442E-02
0.1920E+04,0.6461E-02,0.2563E-02
0.1925E+04,0.6569E-02,0.2688E-02
0.1930E+04,0.6674E-02,0.2816E-02
0.1935E+04,0.6777E-02,0.2947E-02
0.1940E+04,0.6877E-02,0.3082E-02
0.1945E+04,0.6975E-02,0.3220E-02
0.1950E+04,0.7069E-02,0.3360E-02
0.1955E+04,0.7160E-02,0.3504E-02
0.1960E+04,0.7248E-02,0.3650E-02
0.1965E+04,0.7333E-02,0.3798E-02
0.1970E+04,0.7414E-02,0.3950E-02
0.1975E+04,0.7492E-02,0.4103E-02
0.1980E+04,0.7567E-02,0.4259E-02
0.1985E+04,0.7638E-02,0.4417E-02
0.1990E+04,0.7705E-02,0.4576E-02
0.1995E+04,0.7770E-02,0.4738E-02
0.2000E+04,0.7830E-02,0.4902E-02
0.2005E+04,0.7888E-02,0.5067E-02
0.2010E+04,0.7942E-02,0.5234E-02
0.2015E+04,0.7992E-02,0.5404E-02
0.2020E+04,0.8040E-02,0.5575E-02
0.2025E+04,0.8084E-02,0.5749E-02
0.2030E+04,0.8124E-02,0.5925E-02
0.2035E+04,0.8160E-02,0.6104E-02
0.2040E+04,0.8193E-02,0.6285E-02
0.2045E+04,0.8221E-02,0.6468E-02
0.2050E+04,0.8245E-02,0.6654E-02
0.2055E+04,0.8264E-02,0.6844E-02
0.2060E+04,0.8278E-02,0.7036E-02
0.2065E+04,0.8285E-02,0.7231E-02
0.2070E+04,0.8287E-02,0.7428E-02
0.2075E+04,0.8282E-02,0.7628E-02
0.2080E+04,0.8270E-02,0.7831E-02
0.2085E+04,0.8249E-02,0.8034E-02
0.2090E+04,0.8221E-02,0.8240E-02
0.2095E+04,0.8184E-02,0.8446E-02
0.2100E+04,0.8137E-02,0.8652E-02
0.2105E+04,0.8082E-02,0.8857E-02
0.2110E+04,0.8016E-02,0.9060E-02
0.2115E+04,0.7941E-02,0.9261E-02
0.2120E+04,0.7856E-02,0.9459E-02
0.2125E+04,0.7762E-02,0.9652E-02
0.2130E+04,0.7658E-02,0.9840E-02
0.2135E+04,0.7546E-02,0.1002E-01
0.2140E+04,0.7426E-02,0.1020E-01
0.2145E+04,0.7298E-02,0.1036E-01
0.2150E+04,0.7164E-02,0.1052E-01
0.2155E+04,0.7025E-02,0.1067E-01
0.2160E+04,0.6881E-02,0.1081E-01
0.2165E+04,0.6735E-02,0.1094E-01
0.2170E+04,0.6585E-02,0.1106E-01
0.2175E+04,0.6435E-02,0.1117E-01
0.2180E+04,0.6285E-02,0.1127E-01
0.2185E+04,0.6136E-02,0.1136E-01
0.2190E+04,0.5989E-02,0.1144E-01
0.2195E+04,0.5845E-02,0.1151E-01
0.2200E+04,0.5705E-02,0.1158E-01
