W,Re_T,Im_T
0.1490E+04,-0.7655E-07,-0.3486E-09
0.1495E+04,-0.5736E-06,-0.2739E-08
0.1500E+04,-0.1652E-05,-0.8282E-08
0.1505E+04,-0.3413E-05,-0.1797E-07
0.1510E+04,-0.5942E-05,-0.3288E-07
0.1515E+04,-0.9317E-05,-0.5422E-07
0.1520E+04,-0.1361E-04,-0.8335E-07
0.1525E+04,-0.1890E-04,-0.1218E-06
0.1530E+04,-0.2524E-04,-0.1713E-06
0.1535E+04,-0.3270E-04,-0.2337E-06
0.1540E+04,-0.4136E-04,-0.3112E-06
0.1545E+04,-0.5126E-04,-0.4063E-06
0.1550E+04,-0.6248E-04,-0.5214E-06
0.1555E+04,-0.7507E-04,-0.6596E-06
0.1560E+04,-0.8909E-04,-0.8240E-06
0.1565E+04,-0.1046E-03,-0.1018E-05
0.1570E+04,-0.1217E-03,-0.1246E-05
0.1575E+04,-0.1404E-03,-0.1512E-05
0.1580E+04,-0.1607E-03,-0.1820E-05
0.1585E+04,-0.1828E-03,-0.2177E-05
0.1590E+04,-0.2066E-03,-0.2587E-05
0.1595E+04,-0.2323E-03,-0.3057E-05
0.1600E+04,-0.2599E-03,-0.3594E-05
0.1605E+04,-0.2895E-03,-0.4206E-05
0.1610E+04,-0.3210E-03,-0.4902E-05
0.1615E+04,-0.3546E-03,-0.5691E-05
0.1620E+04,-0.3903E-03,-0.6585E-05
0.1625E+04,-0.4282E-03,-0.7595E-05
0.1630E+04,-0.4684E-03,-0.8735E-05
0.1635E+04,-0.5108E-03,-0.1002E-04
0.1640E+04,-0.5555E-03,-0.1146E-04
0.1645E+04,-0.6026E-03,-0.1308E-04
0.1650E+04,-0.6522E-03,-0.1490E-04
0.1655E+04,-0.7043E-03,-0.1694E-04
0.1660E+04,-0.7589E-03,-0.1922E-04
0.1665E+04,-0.8161E-03,-0.2176E-04
0.1670E+04,-0.8759E-03,-0.2459E-04
0.1675E+04,-0.9385E-03,-0.2774E-04
0.1680E+04,-0.1004E-02,-0.3123E-04
0.1685E+04,-0.1072E-02,-0.3511E-04
0.1690E+04,-0.1143E-02,-0.3939E-04
0.1695E+04,-0.1217E-02,-0.4412E-04
0.1700E+04,-0.1293E-02,-0.4932E-04
0.1705E+04,-0.1373E-02,-0.5504E-04
0.1710E+04,-0.1456E-02,-0.6132E-04
0.1715E+04,-0.1542E-02,-0.6818E-04
0.1720E+04,-0.1631E-02,-0.7567E-04
0.1725E+04,-0.1723E-02,-0.8383E-04
0.1730E+04,-0.1819E-02,-0.9272E-04
0.1735E+04,-0.1918E-02,-0.1024E-03
0.1740E+04,-0.2020E-02,-0.1128E-03
0.1745E+04,-0.2126E-02,-0.1242E-03
0.1750E+04,-0.2235E-02,-0.1364E-03
0.1755E+04,-0.2348E-02,-0.1497E-03
0.1760E+04,-0.2464E-02,-0.1640E-03
0.1765E+04,-0.2584E-02,-0.1794E-03
0.1770E+04,-0.2708E-02,-0.1960E-03
0.1775E+04,-0.2835E-02,-0.2140E-03
0.1780E+04,-0.2967E-02,-0.2334E-03
0.1785E+04,-0.3103E-02,-0.2543E-03
0.1790E+04,-0.3243E-02,-0.2768E-03
0.1795E+04,-0.3387E-02,-0.3012E-03
0.1800E+04,-0.3535E-02,-0.3274E-03
0.1805E+04,-0.3687E-02,-0.3558E-03
0.1810E+04,-0.3844E-02,-0.3863E-03
0.1815E+04,-0.4006E-02,-0.4193E-03
0.1820E+04,-0.4172E-02,-0.4549E-03
0.1825E+04,-0.4343E-02,-0.4933E-03
0.1830E+04,-0.4518E-02,-0.5347E-03
0.1835E+04,-0.4697E-02,-0.5794E-03
0.1840E+04,-0.4882E-02,-0.6275E-03
0.1845E+04,-0.5071E-02,-0.6794E-03
0.1850E+04,-0.5265E-02,-0.7351E-03
0.1855E+04,-0.5463E-02,-0.7951E-03
0.1860E+04,-0.5667E-02,-0.8596E-03
0.1865E+04,-0.5874E-02,-0.9287E-03
0.1870E+04,-0.6087E-02,-0.1003E-02
0.1875E+04,-0.6304E-02,-0.1082E-02
0.1880E+04,-0.6525E-02,-0.1167E-02
0.1885E+04,-0.6750E-02,-0.1258E-02
0.1890E+04,-0.6980E-02,-0.1355E-02
0.1895E+04,-0.7214E-02,-0.1458E-02
0.1900E+04,-0.7452E-02,-0.1568E-02
0.1905E+04,-0.7694E-02,-0.1684E-02
0.1910E+04,-0.7940E-02,-0.1808E-02
0.1915E+04,-0.8190E-02,-0.1940E-02
0.1920E+04,-0.8443E-02,-0.2079E-02
0.1925E+04,-0.8699E-02,-0.2227E-02
0.1930E+04,-0.8958E-02,-0.2383E-02
0.1935E+04,-0.9221E-02,-0.2548E-02
0.1940E+04,-0.9486E-02,-0.2722E-02
0.1945E+04,-0.9753E-02,-0.2906E-02
0.1950E+04,-0.1002E-01,-0.3100E-02
0.1955E+04,-0.1029E-01,-0.3303E-02
0.1960E+04,-0.1057E-01,-0.3518E-02
0.1965E+04,-0.1084E-01,-0.3743E-02
0.1970E+04,-0.1112E-01,-0.3979E-02
0.1975E+04,-0.1139E-01,-0.4227E-02
0.1980E+04,-0.1167E-01,-0.4487E-02
0.1985E+04,-0.1195E-01,-0.4759E-02
0.1990E+04,-0.1222E-01,-0.5044E-02
