W,Re_T,Im_T
0.1490E+04,-0.1366E-09,-0.1407E-11
0.1495E+04,-0.1636E-08,-0.1526E-10
0.1500E+04,-0.6089E-08,-0.5134E-10
0.1505E+04,-0.1509E-07,-0.1151E-09
0.1510E+04,-0.3032E-07,-0.2101E-09
0.1515E+04,-0.5361E-07,-0.3395E-09
0.1520E+04,-0.8692E-07,-0.5085E-09
0.1525E+04,-0.1324E-06,-0.7262E-09
0.1530E+04,-0.1923E-06,-0.1008E-08
0.1535E+04,-0.2690E-06,-0.1378E-08
0.1540E+04,-0.3654E-06,-0.1872E-08
0.1545E+04,-0.4841E-06,-0.2541E-08
0.1550E+04,-0.6283E-06,-0.3454E-08
0.1555E+04,-0.8012E-06,-0.4698E-08
0.1560E+04,-0.1006E-05,-0.6386E-08
0.1565E+04,-0.1247E-05,-0.8656E-08
0.1570E+04,-0.1528E-05,-0.1168E-07
0.1575E+04,-0.1853E-05,-0.1565E-07
0.1580E+04,-0.2227E-05,-0.2081E-07
0.1585E+04,-0.2654E-05,-0.2742E-07
0.1590E+04,-0.3139E-05,-0.3582E-07
0.1595E+04,-0.3688E-05,-0.4635E-07
0.1600E+04,-0.4307E-05,-0.5941E-07
0.1605E+04,-0.5000E-05,-0.7547E-07
0.1610E+04,-0.5775E-05,-0.9503E-07
0.1615E+04,-0.6638E-05,-0.1187E-06
0.1620E+04,-0.7596E-05,-0.1470E-06
0.1625E+04,-0.8656E-05,-0.1807E-06
0.1630E+04,-0.9826E-05,-0.2206E-06
0.1635E+04,-0.1111E-04,-0.2674E-06
0.1640E+04,-0.1253E-04,-0.3222E-06
0.1645E+04,-0.1408E-04,-0.3860E-06
0.1650E+04,-0.1577E-04,-0.4599E-06
0.1655E+04,-0.1762E-04,-0.5452E-06
0.1660E+04,-0.1963E-04,-0.6433E-06
0.1665E+04,-0.2182E-04,-0.7557E-06
0.1670E+04,-0.2419E-04,-0.8842E-06
0.1675E+04,-0.2676E-04,-0.1031E-05
0.1680E+04,-0.2953E-04,-0.1197E-05
0.1685E+04,-0.3253E-04,-0.1386E-05
0.1690E+04,-0.3576E-04,-0.1599E-05
0.1695E+04,-0.3923E-04,-0.1841E-05
0.1700E+04,-0.4297E-04,-0.2112E-05
0.1705E+04,-0.4697E-04,-0.2418E-05
0.1710E+04,-0.5127E-04,-0.2762E-05
0.1715E+04,-0.5587E-04,-0.3147E-05
0.1720E+04,-0.6079E-04,-0.3578E-05
0.1725E+04,-0.6604E-04,-0.4059E-05
0.1730E+04,-0.7165E-04,-0.4597E-05
0.1735E+04,-0.7762E-04,-0.5197E-05
0.1740E+04,-0.8398E-04,-0.5864E-05
0.1745E+04,-0.9075E-04,-0.6607E-05
0.1750E+04,-0.9793E-04,-0.7431E-05
0.1755E+04,-0.1056E-03,-0.8346E-05
0.1760E+04,-0.1137E-03,-0.9360E-05
0.1765E+04,-0.1222E-03,-0.1048E-04
0.1770E+04,-0.1313E-03,-0.1173E-04
0.1775E+04,-0.1409E-03,-0.1310E-04
0.1780E+04,-0.1511E-03,-0.1461E-04
