W,Re_T,Im_T
0.1490E+04,0.9273E-03,0.9833E-02
0.1495E+04,0.1629E-02,0.1860E-01
0.1500E+04,0.2102E-02,0.2561E-01
0.1505E+04,0.2449E-02,0.3164E-01
0.1510E+04,0.2715E-02,0.3700E-01
0.1515E+04,0.2919E-02,0.4186E-01
0.1520E+04,0.3071E-02,0.4634E-01
0.1525E+04,0.3169E-02,0.5054E-01
0.1530E+04,0.3208E-02,0.5451E-01
0.1535E+04,0.3182E-02,0.5829E-01
0.1540E+04,0.3080E-02,0.6193E-01
0.1545E+04,0.2892E-02,0.6544E-01
0.1550E+04,0.2610E-02,0.6884E-01
0.1555E+04,0.2223E-02,0.7214E-01
0.1560E+04,0.1725E-02,0.7534E-01
0.1565E+04,0.1108E-02,0.7845E-01
0.1570E+04,0.3680E-03,0.8147E-01
0.1575E+04,-0.4994E-03,0.8439E-01
0.1580E+04,-0.1496E-02,0.8720E-01
0.1585E+04,-0.2621E-02,0.8990E-01
0.1590E+04,-0.3873E-02,0.9248E-01
0.1595E+04,-0.5247E-02,0.9492E-01
0.1600E+04,-0.6734E-02,0.9722E-01
0.1605E+04,-0.8337E-02,0.9937E-01
0.1610E+04,-0.1005E-01,0.1013E+00
0.1615E+04,-0.1171E-01,0.1030E+00
0.1620E+04,-0.1331E-01,0.1046E+00
0.1625E+04,-0.1493E-01,0.1061E+00
0.1630E+04,-0.1659E-01,0.1076E+00
0.1635E+04,-0.1829E-01,0.1090E+00
0.1640E+04,-0.2004E-01,0.1103E+00
0.1645E+04,-0.2184E-01,0.1115E+00
0.1650E+04,-0.2369E-01,0.1127E+00
0.1655E+04,-0.2560E-01,0.1137E+00
0.1660E+04,-0.2758E-01,0.1147E+00
0.1665E+04,-0.2963E-01,0.1155E+00
0.1670E+04,-0.3175E-01,0.1163E+00
0.1675E+04,-0.3398E-01,0.1169E+00
0.1680E+04,-0.3630E-01,0.1174E+00
0.1685E+04,-0.3878E-01,0.1178E+00
0.1690E+04,-0.4164E-01,0.1179E+00
0.1695E+04,-0.4449E-01,0.1173E+00
0.1700E+04,-0.4706E-01,0.1163E+00
0.1705E+04,-0.4935E-01,0.1150E+00
0.1710E+04,-0.5134E-01,0.1135E+00
0.1715E+04,-0.5301E-01,0.1118E+00
0.1720E+04,-0.5434E-01,0.1100E+00
0.1725E+04,-0.5535E-01,0.1083E+00
0.1730E+04,-0.5607E-01,0.1065E+00
0.1735E+04,-0.5653E-01,0.1048E+00
0.1740E+04,-0.5677E-01,0.1032E+00
0.1745E+04,-0.5681E-01,0.1018E+00
0.1750E+04,-0.5671E-01,0.1005E+00
0.1755E+04,-0.5649E-01,0.9938E-01
0.1760E+04,-0.5619E-01,0.9841E-01
0.1765E+04,-0.5584E-01,0.9760E-01
0.1770E+04,-0.5548E-01,0.9694E-01
0.1775E+04,-0.5511E-01,0.9642E-01
0.1780E+04,-0.5478E-01,0.9603E-01
0.1785E+04,-0.5448E-01,0.9574E-01
0.1790E+04,-0.5425E-01,0.9553E-01
0.1795E+04,-0.5407E-01,0.9540E-01
0.1800E+04,-0.5396E-01,0.9532E-01
0.1805E+04,-0.5392E-01,0.9527E-01
0.1810E+04,-0.5395E-01,0.9523E-01
0.1815E+04,-0.5403E-01,0.9520E-01
0.1820E+04,-0.5416E-01,0.9517E-01
0.1825E+04,-0.5433E-01,0.9512E-01
0.1830E+04,-0.5454E-01,0.9505E-01
0.1835E+04,-0.5477E-01,0.9496E-01
0.1840E+04,-0.5503E-01,0.9485E-01
0.1845E+04,-0.5530E-01,0.9471E-01
0.1850E+04,-0.5558E-01,0.9455E-01
0.1855E+04,-0.5586E-01,0.9438E-01
0.1860E+04,-0.5615E-01,0.9418E-01
0.1865E+04,-0.5644E-01,0.9397E-01
0.1870E+04,-0.5673E-01,0.9374E-01
0.1875E+04,-0.5702E-01,0.9350E-01
0.1880E+04,-0.5731E-01,0.9324E-01
0.1885E+04,-0.5760E-01,0.9297E-01
0.1890E+04,-0.5789E-01,0.9269E-01
0.1895E+04,-0.5818E-01,0.9239E-01
0.1900E+04,-0.5847E-01,0.9208E-01
0.1905E+04,-0.5876E-01,0.9176E-01
0.1910E+04,-0.5904E-01,0.9141E-01
0.1915E+04,-0.5932E-01,0.9105E-01
0.1920E+04,-0.5960E-01,0.9067E-01
0.1925E+04,-0.5987E-01,0.9027E-01
0.1930E+04,-0.6012E-01,0.8986E-01
0.1935E+04,-0.6037E-01,0.8943E-01
0.1940E+04,-0.6061E-01,0.8898E-01
0.1945E+04,-0.6082E-01,0.8852E-01
0.1950E+04,-0.6103E-01,0.8804E-01
0.1955E+04,-0.6121E-01,0.8756E-01
0.1960E+04,-0.6138E-01,0.8706E-01
0.1965E+04,-0.6152E-01,0.8657E-01
0.1970E+04,-0.6165E-01,0.8606E-01
0.1975E+04,-0.6175E-01,0.8556E-01
0.1980E+04,-0.6184E-01,0.8506E-01
0.1985E+04,-0.6191E-01,0.8457E-01
0.1990E+04,-0.6197E-01,0.8408E-01
0.1995E+04,-0.6201E-01,0.8360E-01
0.2000E+04,-0.6204E-01,0.8313E-01
0.2005E+04,-0.6206E-01,0.8266E-01
0.2010E+04,-0.6207E-01,0.8221E-01
0.2015E+04,-0.6208E-01,0.8177E-01
0.2020E+04,-0.6208E-01,0.8135E-01
0.2025E+04,-0.6208E-01,0.8093E-01
0.2030E+04,-0.6209E-01,0.8052E-01
0.2035E+04,-0.6209E-01,0.8011E-01
0.2040E+04,-0.6209E-01,0.7972E-01
0.2045E+04,-0.6210E-01,0.7932E-01
0.2050E+04,-0.6211E-01,0.7894E-01
0.2055E+04,-0.6213E-01,0.7855E-01
0.2060E+04,-0.6215E-01,0.7816E-01
0.2065E+04,-0.6217E-01,0.7777E-01
0.2070E+04,-0.6219E-01,0.7738E-01
0.2075E+04,-0.6221E-01,0.7698E-01
0.2080E+04,-0.6223E-01,0.7658E-01
0.2085E+04,-0.6225E-01,0.7618E-01
0.2090E+04,-0.6226E-01,0.7577E-01
0.2095E+04,-0.6227E-01,0.7535E-01
0.2100E+04,-0.6227E-01,0.7493E-01
0.2105E+04,-0.6226E-01,0.7450E-01
0.2110E+04,-0.6224E-01,0.7407E-01
0.2115E+04,-0.6220E-01,0.7364E-01
0.2120E+04,-0.6215E-01,0.7321E-01
0.2125E+04,-0.6209E-01,0.7278E-01
0.2130E+04,-0.6200E-01,0.7236E-01
0.2135E+04,-0.6190E-01,0.7194E-01
0.2140E+04,-0.6179E-01,0.7153E-01
0.2145E+04,-0.6165E-01,0.7114E-01
0.2150E+04,-0.6151E-01,0.7076E-01
0.2155E+04,-0.6134E-01,0.7040E-01
0.2160E+04,-0.6117E-01,0.7005E-01
0.2165E+04,-0.6099E-01,0.6973E-01
0.2170E+04,-0.6080E-01,0.6944E-01
0.2175E+04,-0.6060E-01,0.6916E-01
0.2180E+04,-0.6040E-01,0.6892E-01
0.2185E+04,-0.6021E-01,0.6870E-01
0.2190E+04,-0.6001E-01,0.6850E-01
0.2195E+04,-0.5983E-01,0.6834E-01
0.2200E+04,-0.5965E-01,0.6820E-01
