W,Re_T,Im_T
0.1080E+04,0.7236E-07,-0.2135E-08
0.1085E+04,0.1189E-05,-0.3186E-07
0.1090E+04,0.5192E-05,-0.1376E-06
0.1095E+04,0.1438E-04,-0.3911E-06
0.1100E+04,0.3135E-04,-0.8898E-06
0.1105E+04,0.5885E-04,-0.1749E-05
0.1110E+04,0.9962E-04,-0.3062E-05
0.1115E+04,0.1563E-03,-0.4819E-05
0.1120E+04,0.2314E-03,-0.6811E-05
0.1125E+04,0.3274E-03,-0.8558E-05
0.1130E+04,0.4466E-03,-0.9331E-05
0.1135E+04,0.5919E-03,-0.8273E-05
0.1140E+04,0.7660E-03,-0.4583E-05
0.1145E+04,0.9719E-03,0.2289E-05
0.1150E+04,0.1212E-02,0.1253E-04
0.1155E+04,0.1490E-02,0.2596E-04
0.1160E+04,0.1807E-02,0.4208E-04
0.1165E+04,0.2165E-02,0.6020E-04
0.1170E+04,0.2565E-02,0.7954E-04
0.1175E+04,0.3009E-02,0.9936E-04
0.1180E+04,0.3496E-02,0.1189E-03
0.1185E+04,0.4027E-02,0.1376E-03
0.1190E+04,0.4602E-02,0.1547E-03
0.1195E+04,0.5220E-02,0.1698E-03
0.1200E+04,0.5880E-02,0.1823E-03
0.1205E+04,0.6583E-02,0.1917E-03
0.1210E+04,0.7326E-02,0.1974E-03
0.1215E+04,0.8109E-02,0.1990E-03
0.1220E+04,0.8929E-02,0.1962E-03
0.1225E+04,0.9786E-02,0.1887E-03
0.1230E+04,0.1068E-01,0.1767E-03
0.1235E+04,0.1160E-01,0.1604E-03
0.1240E+04,0.1255E-01,0.1407E-03
0.1245E+04,0.1353E-01,0.1186E-03
0.1250E+04,0.1453E-01,0.9553E-04
0.1255E+04,0.1556E-01,0.7337E-04
0.1260E+04,0.1660E-01,0.5405E-04
0.1265E+04,0.1767E-01,0.3963E-04
0.1270E+04,0.1876E-01,0.3207E-04
0.1275E+04,0.1987E-01,0.3312E-04
0.1280E+04,0.2101E-01,0.4423E-04
0.1285E+04,0.2216E-01,0.6647E-04
0.1290E+04,0.2334E-01,0.1006E-03
0.1295E+04,0.2454E-01,0.1469E-03
0.1300E+04,0.2576E-01,0.2057E-03
0.1305E+04,0.2701E-01,0.2766E-03
0.1310E+04,0.2829E-01,0.3597E-03
0.1315E+04,0.2959E-01,0.4546E-03
0.1320E+04,0.3093E-01,0.5611E-03
0.1325E+04,0.3229E-01,0.6790E-03
0.1330E+04,0.3368E-01,0.8082E-03
0.1335E+04,0.3510E-01,0.9486E-03
0.1340E+04,0.3655E-01,0.1100E-02
0.1345E+04,0.3803E-01,0.1264E-02
0.1350E+04,0.3954E-01,0.1438E-02
0.1355E+04,0.4110E-01,0.1625E-02
0.1360E+04,0.4268E-01,0.1825E-02
0.1365E+04,0.4431E-01,0.2038E-02
0.1370E+04,0.4597E-01,0.2264E-02
0.1375E+04,0.4768E-01,0.2504E-02
0.1380E+04,0.4943E-01,0.2759E-02
0.1385E+04,0.5123E-01,0.3030E-02
0.1390E+04,0.5308E-01,0.3317E-02
0.1395E+04,0.5498E-01,0.3621E-02
0.1400E+04,0.5693E-01,0.3944E-02
0.1405E+04,0.5895E-01,0.4286E-02
0.1410E+04,0.6103E-01,0.4650E-02
0.1415E+04,0.6317E-01,0.5037E-02
0.1420E+04,0.6538E-01,0.5450E-02
0.1425E+04,0.6767E-01,0.5890E-02
0.1430E+04,0.7004E-01,0.6362E-02
0.1435E+04,0.7248E-01,0.6868E-02
0.1440E+04,0.7502E-01,0.7415E-02
0.1445E+04,0.7764E-01,0.8005E-02
0.1450E+04,0.8037E-01,0.8647E-02
0.1455E+04,0.8320E-01,0.9347E-02
0.1460E+04,0.8613E-01,0.1011E-01
0.1465E+04,0.8919E-01,0.1095E-01
0.1470E+04,0.9237E-01,0.1188E-01
0.1475E+04,0.9567E-01,0.1291E-01
0.1480E+04,0.9913E-01,0.1405E-01
0.1485E+04,0.1027E+00,0.1532E-01
0.1490E+04,0.1065E+00,0.1673E-01
0.1495E+04,0.1104E+00,0.1831E-01
0.1500E+04,0.1145E+00,0.2008E-01
0.1505E+04,0.1188E+00,0.2206E-01
0.1510E+04,0.1232E+00,0.2429E-01
0.1515E+04,0.1279E+00,0.2678E-01
0.1520E+04,0.1328E+00,0.2959E-01
0.1525E+04,0.1378E+00,0.3274E-01
0.1530E+04,0.1431E+00,0.3627E-01
0.1535E+04,0.1485E+00,0.4024E-01
0.1540E+04,0.1542E+00,0.4470E-01
0.1545E+04,0.1600E+00,0.4970E-01
0.1550E+04,0.1660E+00,0.5531E-01
0.1555E+04,0.1722E+00,0.6161E-01
0.1560E+04,0.1784E+00,0.6866E-01
0.1565E+04,0.1847E+00,0.7656E-01
0.1570E+04,0.1910E+00,0.8541E-01
0.1575E+04,0.1972E+00,0.9529E-01
0.1580E+04,0.2032E+00,0.1063E+00
0.1585E+04,0.2089E+00,0.1186E+00
0.1590E+04,0.2140E+00,0.1322E+00
0.1595E+04,0.2183E+00,0.1472E+00
0.1600E+04,0.2216E+00,0.1637E+00
0.1605E+04,0.2236E+00,0.1817E+00
