W,Re_T,Im_T
0.1080E+04,-0.1075E-07,-0.1506E-10
0.1085E+04,-0.3149E-06,-0.2619E-09
0.1090E+04,-0.1629E-05,0.3278E-09
0.1095E+04,-0.4807E-05,0.7859E-08
0.1100E+04,-0.1071E-04,0.3696E-07
0.1105E+04,-0.2011E-04,0.1143E-06
0.1110E+04,-0.3371E-04,0.2815E-06
0.1115E+04,-0.5203E-04,0.5917E-06
0.1120E+04,-0.7545E-04,0.1095E-05
0.1125E+04,-0.1042E-03,0.1806E-05
0.1130E+04,-0.1383E-03,0.2671E-05
0.1135E+04,-0.1777E-03,0.3538E-05
0.1140E+04,-0.2224E-03,0.4157E-05
0.1145E+04,-0.2722E-03,0.4209E-05
0.1150E+04,-0.3273E-03,0.3367E-05
0.1155E+04,-0.3876E-03,0.1353E-05
0.1160E+04,-0.4533E-03,-0.2001E-05
0.1165E+04,-0.5247E-03,-0.6734E-05
0.1170E+04,-0.6017E-03,-0.1275E-04
0.1175E+04,-0.6844E-03,-0.1983E-04
0.1180E+04,-0.7727E-03,-0.2769E-04
0.1185E+04,-0.8666E-03,-0.3595E-04
0.1190E+04,-0.9657E-03,-0.4424E-04
0.1195E+04,-0.1070E-02,-0.5214E-04
0.1200E+04,-0.1179E-02,-0.5924E-04
0.1205E+04,-0.1291E-02,-0.6515E-04
0.1210E+04,-0.1408E-02,-0.6947E-04
0.1215E+04,-0.1528E-02,-0.7182E-04
0.1220E+04,-0.1650E-02,-0.7182E-04
0.1225E+04,-0.1775E-02,-0.6913E-04
0.1230E+04,-0.1900E-02,-0.6345E-04
0.1235E+04,-0.2027E-02,-0.5450E-04
0.1240E+04,-0.2153E-02,-0.4210E-04
0.1245E+04,-0.2278E-02,-0.2619E-04
0.1250E+04,-0.2400E-02,-0.6824E-05
0.1255E+04,-0.2520E-02,0.1579E-04
0.1260E+04,-0.2636E-02,0.4127E-04
0.1265E+04,-0.2748E-02,0.6904E-04
0.1270E+04,-0.2855E-02,0.9841E-04
0.1275E+04,-0.2956E-02,0.1285E-03
0.1280E+04,-0.3051E-02,0.1585E-03
0.1285E+04,-0.3140E-02,0.1874E-03
0.1290E+04,-0.3223E-02,0.2144E-03
0.1295E+04,-0.3301E-02,0.2386E-03
0.1300E+04,-0.3374E-02,0.2593E-03
0.1305E+04,-0.3443E-02,0.2761E-03
0.1310E+04,-0.3509E-02,0.2886E-03
0.1315E+04,-0.3572E-02,0.2964E-03
0.1320E+04,-0.3632E-02,0.2996E-03
0.1325E+04,-0.3692E-02,0.2981E-03
0.1330E+04,-0.3750E-02,0.2920E-03
0.1335E+04,-0.3808E-02,0.2817E-03
0.1340E+04,-0.3867E-02,0.2673E-03
0.1345E+04,-0.3926E-02,0.2492E-03
0.1350E+04,-0.3987E-02,0.2279E-03
0.1355E+04,-0.4049E-02,0.2036E-03
0.1360E+04,-0.4112E-02,0.1768E-03
0.1365E+04,-0.4178E-02,0.1480E-03
0.1370E+04,-0.4245E-02,0.1175E-03
0.1375E+04,-0.4315E-02,0.8592E-04
