W,Re_T,Im_T
0.1080E+04,-0.5390E-10,-0.7050E-12
0.1085E+04,-0.4210E-08,-0.9137E-10
0.1090E+04,-0.3535E-07,-0.1068E-08
0.1095E+04,-0.1444E-06,-0.5594E-08
0.1100E+04,-0.4118E-06,-0.1936E-07
0.1105E+04,-0.9460E-06,-0.5112E-07
0.1110E+04,-0.1883E-05,-0.1093E-06
0.1115E+04,-0.3383E-05,-0.1937E-06
0.1120E+04,-0.5616E-05,-0.2836E-06
0.1125E+04,-0.8749E-05,-0.3291E-06
0.1130E+04,-0.1291E-04,-0.2528E-06
0.1135E+04,-0.1818E-04,0.3430E-07
0.1140E+04,-0.2458E-04,0.6076E-06
0.1145E+04,-0.3205E-04,0.1504E-05
0.1150E+04,-0.4052E-04,0.2709E-05
0.1155E+04,-0.4991E-04,0.4158E-05
0.1160E+04,-0.6015E-04,0.5754E-05
0.1165E+04,-0.7114E-04,0.7383E-05
0.1170E+04,-0.8285E-04,0.8926E-05
0.1175E+04,-0.9520E-04,0.1027E-04
0.1180E+04,-0.1081E-03,0.1132E-04
0.1185E+04,-0.1215E-03,0.1197E-04
0.1190E+04,-0.1354E-03,0.1211E-04
0.1195E+04,-0.1495E-03,0.1164E-04
0.1200E+04,-0.1638E-03,0.1045E-04
0.1205E+04,-0.1783E-03,0.8408E-05
0.1210E+04,-0.1928E-03,0.5402E-05
0.1215E+04,-0.2073E-03,0.1315E-05
0.1220E+04,-0.2218E-03,-0.3945E-05
0.1225E+04,-0.2365E-03,-0.1042E-04
0.1230E+04,-0.2513E-03,-0.1811E-04
0.1235E+04,-0.2664E-03,-0.2689E-04
0.1240E+04,-0.2818E-03,-0.3655E-04
0.1245E+04,-0.2978E-03,-0.4677E-04
0.1250E+04,-0.3141E-03,-0.5711E-04
0.1255E+04,-0.3308E-03,-0.6705E-04
0.1260E+04,-0.3476E-03,-0.7604E-04
0.1265E+04,-0.3640E-03,-0.8353E-04
0.1270E+04,-0.3794E-03,-0.8901E-04
0.1275E+04,-0.3932E-03,-0.9212E-04
0.1280E+04,-0.4047E-03,-0.9259E-04
0.1285E+04,-0.4129E-03,-0.9034E-04
0.1290E+04,-0.4172E-03,-0.8540E-04
0.1295E+04,-0.4170E-03,-0.7794E-04
0.1300E+04,-0.4114E-03,-0.6822E-04
0.1305E+04,-0.4001E-03,-0.5654E-04
0.1310E+04,-0.3827E-03,-0.4325E-04
0.1315E+04,-0.3588E-03,-0.2869E-04
0.1320E+04,-0.3282E-03,-0.1317E-04
0.1325E+04,-0.2907E-03,0.3005E-05
0.1330E+04,-0.2462E-03,0.1957E-04
0.1335E+04,-0.1947E-03,0.3631E-04
0.1340E+04,-0.1360E-03,0.5300E-04
0.1345E+04,-0.7009E-04,0.6949E-04
0.1350E+04,0.3046E-05,0.8562E-04
0.1355E+04,0.8346E-04,0.1012E-03
0.1360E+04,0.1712E-03,0.1162E-03
0.1365E+04,0.2663E-03,0.1304E-03
0.1370E+04,0.3687E-03,0.1436E-03
0.1375E+04,0.4785E-03,0.1557E-03
0.1380E+04,0.5956E-03,0.1665E-03
0.1385E+04,0.7201E-03,0.1758E-03
0.1390E+04,0.8518E-03,0.1834E-03
0.1395E+04,0.9906E-03,0.1890E-03
0.1400E+04,0.1136E-02,0.1924E-03
0.1405E+04,0.1289E-02,0.1935E-03
0.1410E+04,0.1448E-02,0.1918E-03
0.1415E+04,0.1612E-02,0.1874E-03
0.1420E+04,0.1783E-02,0.1800E-03
0.1425E+04,0.1958E-02,0.1695E-03
0.1430E+04,0.2139E-02,0.1561E-03
0.1435E+04,0.2323E-02,0.1397E-03
0.1440E+04,0.2510E-02,0.1206E-03
0.1445E+04,0.2701E-02,0.9909E-04
0.1450E+04,0.2894E-02,0.7563E-04
0.1455E+04,0.3089E-02,0.5073E-04
0.1460E+04,0.3285E-02,0.2496E-04
0.1465E+04,0.3484E-02,-0.1018E-05
0.1470E+04,0.3683E-02,-0.2655E-04
0.1475E+04,0.3884E-02,-0.5098E-04
0.1480E+04,0.4086E-02,-0.7368E-04
0.1485E+04,0.4291E-02,-0.9411E-04
0.1490E+04,0.4497E-02,-0.1118E-03
0.1495E+04,0.4707E-02,-0.1263E-03
0.1500E+04,0.4919E-02,-0.1375E-03
