W,Re_T,Im_T
0.1080E+04,0.8664E-13,0.1956E-13
0.1085E+04,-0.7380E-10,0.6140E-11
0.1090E+04,-0.1009E-08,0.1050E-09
0.1095E+04,-0.5605E-08,0.7068E-09
0.1100E+04,-0.1990E-07,0.3072E-08
0.1105E+04,-0.5348E-07,0.1028E-07
0.1110E+04,-0.1177E-06,0.2804E-07
0.1115E+04,-0.2213E-06,0.6311E-07
0.1120E+04,-0.3665E-06,0.1168E-06
0.1125E+04,-0.5491E-06,0.1737E-06
0.1130E+04,-0.7687E-06,0.1899E-06
0.1135E+04,-0.1047E-05,0.8935E-07
0.1140E+04,-0.1452E-05,-0.2254E-06
0.1145E+04,-0.2108E-05,-0.8470E-06
0.1150E+04,-0.3189E-05,-0.1831E-05
0.1155E+04,-0.4902E-05,-0.3170E-05
0.1160E+04,-0.7445E-05,-0.4785E-05
0.1165E+04,-0.1098E-04,-0.6532E-05
0.1170E+04,-0.1559E-04,-0.8233E-05
0.1175E+04,-0.2133E-04,-0.9692E-05
0.1180E+04,-0.2815E-04,-0.1072E-04
0.1185E+04,-0.3599E-04,-0.1116E-04
0.1190E+04,-0.4473E-04,-0.1087E-04
0.1195E+04,-0.5423E-04,-0.9739E-05
0.1200E+04,-0.6436E-04,-0.7663E-05
0.1205E+04,-0.7493E-04,-0.4556E-05
0.1210E+04,-0.8576E-04,-0.3337E-06
0.1215E+04,-0.9664E-04,0.5091E-05
0.1220E+04,-0.1073E-03,0.1180E-04
0.1225E+04,-0.1175E-03,0.1989E-04
0.1230E+04,-0.1268E-03,0.2939E-04
0.1235E+04,-0.1347E-03,0.4035E-04
0.1240E+04,-0.1409E-03,0.5271E-04
0.1245E+04,-0.1447E-03,0.6631E-04
0.1250E+04,-0.1455E-03,0.8088E-04
0.1255E+04,-0.1428E-03,0.9598E-04
0.1260E+04,-0.1361E-03,0.1110E-03
0.1265E+04,-0.1249E-03,0.1253E-03
0.1270E+04,-0.1091E-03,0.1379E-03
0.1275E+04,-0.8864E-04,0.1481E-03
0.1280E+04,-0.6382E-04,0.1548E-03
0.1285E+04,-0.3507E-04,0.1574E-03
0.1290E+04,-0.3041E-05,0.1553E-03
0.1295E+04,0.3151E-04,0.1480E-03
0.1300E+04,0.6774E-04,0.1353E-03
