W,Re_T,Im_T
0.1080E+04,0.1533E-02,0.2477E-05
0.1085E+04,0.6825E-02,0.4409E-04
0.1090E+04,0.1447E-01,0.2099E-03
0.1095E+04,0.2413E-01,0.5966E-03
0.1100E+04,0.3572E-01,0.1305E-02
0.1105E+04,0.4921E-01,0.2459E-02
0.1110E+04,0.6465E-01,0.4219E-02
0.1115E+04,0.8210E-01,0.6790E-02
0.1120E+04,0.1017E+00,0.1042E-01
0.1125E+04,0.1234E+00,0.1542E-01
0.1130E+04,0.1474E+00,0.2214E-01
0.1135E+04,0.1736E+00,0.3104E-01
0.1140E+04,0.2022E+00,0.4262E-01
0.1145E+04,0.2330E+00,0.5752E-01
0.1150E+04,0.2659E+00,0.7647E-01
0.1155E+04,0.3006E+00,0.1003E+00
0.1160E+04,0.3365E+00,0.1300E+00
0.1165E+04,0.3729E+00,0.1666E+00
0.1170E+04,0.4085E+00,0.2112E+00
0.1175E+04,0.4417E+00,0.2646E+00
0.1180E+04,0.4701E+00,0.3275E+00
0.1185E+04,0.4911E+00,0.4000E+00
0.1190E+04,0.5013E+00,0.4812E+00
0.1195E+04,0.4975E+00,0.5690E+00
0.1200E+04,0.4768E+00,0.6599E+00
0.1205E+04,0.4376E+00,0.7492E+00
0.1210E+04,0.3801E+00,0.8313E+00
0.1215E+04,0.3065E+00,0.9009E+00
0.1220E+04,0.2213E+00,0.9538E+00
0.1225E+04,0.1299E+00,0.9878E+00
0.1230E+04,0.3777E-01,0.1003E+01
0.1235E+04,-0.5018E-01,0.1001E+01
0.1240E+04,-0.1306E+00,0.9857E+00
0.1245E+04,-0.2015E+00,0.9596E+00
0.1250E+04,-0.2624E+00,0.9265E+00
0.1255E+04,-0.3133E+00,0.8891E+00
0.1260E+04,-0.3552E+00,0.8496E+00
0.1265E+04,-0.3890E+00,0.8097E+00
0.1270E+04,-0.4161E+00,0.7704E+00
0.1275E+04,-0.4374E+00,0.7326E+00
0.1280E+04,-0.4539E+00,0.6965E+00
0.1285E+04,-0.4666E+00,0.6623E+00
0.1290E+04,-0.4762E+00,0.6302E+00
0.1295E+04,-0.4832E+00,0.6000E+00
0.1300E+04,-0.4881E+00,0.5716E+00
0.1305E+04,-0.4914E+00,0.5450E+00
0.1310E+04,-0.4932E+00,0.5199E+00
0.1315E+04,-0.4940E+00,0.4963E+00
0.1320E+04,-0.4938E+00,0.4739E+00
0.1325E+04,-0.4927E+00,0.4527E+00
0.1330E+04,-0.4910E+00,0.4326E+00
0.1335E+04,-0.4887E+00,0.4133E+00
0.1340E+04,-0.4859E+00,0.3950E+00
0.1345E+04,-0.4825E+00,0.3774E+00
0.1350E+04,-0.4787E+00,0.3605E+00
0.1355E+04,-0.4744E+00,0.3443E+00
0.1360E+04,-0.4697E+00,0.3288E+00
0.1365E+04,-0.4647E+00,0.3138E+00
0.1370E+04,-0.4593E+00,0.2995E+00
0.1375E+04,-0.4535E+00,0.2857E+00
0.1380E+04,-0.4475E+00,0.2725E+00
0.1385E+04,-0.4411E+00,0.2598E+00
0.1390E+04,-0.4345E+00,0.2476E+00
0.1395E+04,-0.4277E+00,0.2360E+00
0.1400E+04,-0.4206E+00,0.2249E+00
0.1405E+04,-0.4134E+00,0.2143E+00
0.1410E+04,-0.4060E+00,0.2041E+00
0.1415E+04,-0.3985E+00,0.1945E+00
