W,Re_T,Im_T
0.1080E+04,0.3166E-01,0.9945E-03
0.1085E+04,0.5210E-01,0.2561E-02
0.1090E+04,0.6643E-01,0.4459E-02
0.1095E+04,0.7784E-01,0.6283E-02
0.1100E+04,0.8749E-01,0.7943E-02
0.1105E+04,0.9593E-01,0.9486E-02
0.1110E+04,0.1034E+00,0.1095E-01
0.1115E+04,0.1101E+00,0.1235E-01
0.1120E+04,0.1161E+00,0.1367E-01
0.1125E+04,0.1215E+00,0.1491E-01
0.1130E+04,0.1262E+00,0.1604E-01
0.1135E+04,0.1305E+00,0.1707E-01
0.1140E+04,0.1343E+00,0.1798E-01
0.1145E+04,0.1376E+00,0.1879E-01
0.1150E+04,0.1406E+00,0.1950E-01
0.1155E+04,0.1431E+00,0.2012E-01
0.1160E+04,0.1454E+00,0.2068E-01
0.1165E+04,0.1473E+00,0.2117E-01
0.1170E+04,0.1490E+00,0.2163E-01
0.1175E+04,0.1504E+00,0.2207E-01
0.1180E+04,0.1516E+00,0.2250E-01
0.1185E+04,0.1527E+00,0.2293E-01
0.1190E+04,0.1536E+00,0.2338E-01
0.1195E+04,0.1544E+00,0.2385E-01
0.1200E+04,0.1552E+00,0.2435E-01
0.1205E+04,0.1559E+00,0.2488E-01
0.1210E+04,0.1566E+00,0.2545E-01
0.1215E+04,0.1573E+00,0.2605E-01
0.1220E+04,0.1581E+00,0.2669E-01
0.1225E+04,0.1589E+00,0.2735E-01
0.1230E+04,0.1598E+00,0.2804E-01
0.1235E+04,0.1608E+00,0.2876E-01
0.1240E+04,0.1619E+00,0.2949E-01
0.1245E+04,0.1631E+00,0.3023E-01
0.1250E+04,0.1644E+00,0.3097E-01
0.1255E+04,0.1659E+00,0.3171E-01
0.1260E+04,0.1675E+00,0.3244E-01
0.1265E+04,0.1692E+00,0.3316E-01
0.1270E+04,0.1710E+00,0.3386E-01
0.1275E+04,0.1730E+00,0.3456E-01
0.1280E+04,0.1750E+00,0.3526E-01
0.1285E+04,0.1772E+00,0.3595E-01
0.1290E+04,0.1795E+00,0.3666E-01
0.1295E+04,0.1820E+00,0.3739E-01
0.1300E+04,0.1845E+00,0.3817E-01
0.1305E+04,0.1872E+00,0.3899E-01
0.1310E+04,0.1899E+00,0.3988E-01
0.1315E+04,0.1929E+00,0.4085E-01
0.1320E+04,0.1959E+00,0.4192E-01
0.1325E+04,0.1991E+00,0.4312E-01
0.1330E+04,0.2025E+00,0.4445E-01
0.1335E+04,0.2061E+00,0.4594E-01
0.1340E+04,0.2098E+00,0.4761E-01
